№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.        ;Канівський природний заповідник;природний заповідник;;8634,88;Адмінмежі м. Канів, Бубнівсько-Слобідської сільської ради Золотоніського району, Пекарівської, Прохорівської, Хмільнянської, Яблунівської сільських рад Канівського району;Державний університет ім.Т.Г.Шевченка;Постанова РМ УРСР від 27.11.68 р. № 568, Указ Президента України від 01.01.2010 № 2
1.;Всього природних заповідників;1;;8634,88;;;
Національні природні парки;;;;;;;
1.                    ;Білоозерський;національний природний парк;;3356,22;Канівський район, адміністративні межі Ліплявської сільської ради та Озерищанської сільських рад;;Указ Президента України від 11.12.2009 № 1048
2.   ;Нижньосульський;національний природний парк;;7871,0083;Чорнобаївський район, адмінмежі Мохнацької, Великобурімської, Лящівської сільських рад (створено на базі ландшафтного заказника загальнодержавного значення «Сулинський»);;Указ Президента України від 10.02.2010 № 155
2.;Всього національних природних парків;2;;11227,2283;;;
1;Тарасів обрій;заказник;ландшафтний;405;Канівський район, кв. 10, 12, 13, 15-17 Прохорівського л-ва, КСП “Дніпро”;Прохорівське л-во, КСП “Дніпро”;Постанова РМ УРСР від 18.01.90 р. № 4
2;Сулинський;заказник;ландшафтний;7871,0083;Чорнобаївський район,Адмінмежі Мохнацької, Великобурімської, Кліщ енської сільських рад;Чорнобаївська РДА;Указ президента України від 09.12.98 № 134/98
2;Разом заказниів ландшафтних;1;;8276,0083;;;
1.                    ;Липівський заказник;заказник;орнітологічний;4500;Акваторія Кременчуцького водосховища в трикутнику с.Кедина гора – с.Чапаєвка – ст.Панське Золотоніського району;"МГ ""Вільхівська дача""";Постанова РМ УРСР від 28.10.74 р. № 500
1.;Разом заказників орнітологічних;1;;4500;;;
1.                    ;Русько-Полянський заказник;заказник;ботанічний;166;Черкаський район, Р.-Полянське л-во кв. 106 вид. 6, 9, 10, 13, 17, кв. 107 вид. 1, 2, 143, 15, 17, 19, 23;"ДП ""Черкаське ЛМГ"" ";Постанова РМ УРСР від 11.09.80 р. № 524
1.;Разом  заказників ботанічних;1;;166;;;
1.                    ;Шуляцьке болото;заказник;гідрологічний;940;Жашківський район, с.Пугачівка, с.Бузівка, с.Шуляки;СТОВ “Шуляки”;Ріш. Обл. ради від 28.04.93 р. № 14-21, Указ Президента України від 20.08.96 р.
1.;Разомзаказників гідрологічних;1;;940;;;
5.;Всього заказників загальнодержавного значення;4;;13882,0083;;;
1.                    ;Закревський бір;пам`ятка природи;ботанічна;85;Городищенський район, кв. 11 Закревського л-ва кв. 1 вид. 2, кв. 8 вид. 14, кв 10 вид. 12, кв. 17 вид. 14;"ДП ""Черкаське ЛМГ""";Ріш. Обл ради від 22.05.90 р. № 95 
1.;разом пам`яток природи ботанічних;1;;85;;;
1.                    ;Урочище “Школа”;пам`ятка природи;зоологічна;5;Канівський район, с.Полствин р.Росава;КСП “Росава”;Розпорядж. РМ УРСР від 14.10.75 р. № 780-р
1.;разом пам`яток проироди зоологічних;1;;5;;;
1.                    ;Козацький вал;пам`ятка природи;комплексна;8;Лисянський район с. Журженці, с.Хиженці;Хиженська сільська рада;Розпорядж. РМ УРСР від 14.10.75 р. № 780-р
2.                    ;Мошенська діброва;пам`ятка природи;комплексна;19;Черкаський район, кв. 28 Мошенського л-ва;"ДП "" Черкаське ЛМГ""";Постанова РМ УРСР від 14.10.75 р. № 780-р
3.                    ;“Холодний яр”;пам`ятка природи;комплексна;553;Чигиринський район, кв.кв. 31, 32, 33, 34, 35, 36, 37, 41, 42, 48, 49, 54, 55, 57, 58, 59 Креселецького л-ва;"ДП ""Кам’янське ЛГ""";Розпорядження РМ УРСР від 01.10.68 р. № 1085-р
4.                    ;Урочище “Бурти”;пам`ятка природи;комплексна;10;Чорнобаївський район, с.Лящівка, схил правого берега р.Сули;Лящівська сільська рада;Розпорядж. РМ УРСР від 16.10.75 р. № 780-р
1.;Разом пам`яток природи комплексних;4;;590;;;
6.;Всього пам’яток природи загальнодержавного значення;6;;680;;;
1.                    ;“Софіївка”;дендрологічний парк;;179,18;м.Умань;Національна Академія Наук України;Постанова РМ УРСР від 22.07.83 р.№ 311
1.;Всього дендрологічних парків загальнодержавного значення;1;;179,18;;;
1.                    ;Черкаський зоологічний парк;зоологічний парк;;4,37;м.Черкаси;Черкаська міська рада;Постанова РМ УРСР від 22.07.83 р. № 311
1.;Всього зоологічних парків загальнодержавного значення;1;;4,37;;;
1.                    ;Козачанський;парк-пам`ятка садово-паркового мистецтва;;51;с.Козацьке Звенигородський район;Козачанське СПТУ № 37;Постанова РМ УРСР від 29.01.60 р. № 105
2.                    ;Парк Декабристів;парк-пам`ятка садово-паркового мистецтва;;5,82;м.Кам’янка Кам’янський район;Історико-культурний заповідник;Постанова РМ УРСР від 29.01.60 р. № 105
3.                    ;Корсунь-Шевченківський парк;парк-пам`ятка садово-паркового мистецтва;;100,37;м.Корсунь-Шевченків Корсунь-Шевченківський район;Історико-культурний заповідник;Постанова колегії Держкомприроди УРСР від 30.08.90 р. № 18
4.                    ;Тальнівський парк;парк-пам`ятка садово-паркового мистецтва;;406;м.ТальнеТальнівський район;"ДП "" Уманське лісове господарство""";Постанова РМ УРСР від 29.01.60 р. № 105
5.                    ;Парк ім. 50-річчя Радянської влади;парк-пам`ятка садово-паркового мистецтва;;39,2;м.Черкаси;ЗАТ “Черкаси-зеленгосп”;Постанова колегії Держкомприроди УРСР від 27.07.77 р. № 25
6.                    ;Велико-Бурімський парк;парк-пам`ятка садово-паркового мистецтва;;86,5;с.Велика Бурімка Чорнобаївський район;ДП «Золотоніське ЛГ», племрадгосп “Велико-Бурімський”;Постанова Держкомприроди УРСР від 26.12.89 р. № 32
6.;Всього парків-пам’яток садово-паркового мистецтвазагальнодержавного значення;6;;688,89;;;
22.;Всього територій та об`єктів ПЗФ загальнодержавного значення;21;;35296,5566;;;
Території та об`єкти ПЗФ місцевого значення;;;;;;;
1.                    ;" ""Трахтемирів"" (частина РЛП )*";регіональний ландшафтний парк;;5562,5;Землі Григорівської сільської ради;АТЗТ “Аграрно-Екологічне Об’єднання “Трахтемирів”;Ріш. Обл. ради від 26.02.00 р. № 14-14
1.;Всього регіональних ландшафтних парків;0;;5562,5;;;
1.                    ;Валявський;заказник;ботанічний;2;Городищенський район, за 5 км відм. Городище, поруч з Мліївською садстанцією ;КСП ім.Т.Г.Шевченко;Ріш. ОВК від 22.01.82 р. № 12
2.                    ;Городищенський;заказник;ботанічний;1,5;Городищенський район, кв. 30 вид. 43, 44 Городищенського л-ва;"ДП ""Смілянський лісгосп""";Ріш. ОВК від 22.01.82 р № 12
3.                    ;Закревський;заказник;ботанічний;0,3;Городищенський район, кв. 35 вид. 1 Закревського л-ва;"ДП ""Черкаське ЛМГ""";Ріш. ОВК від 22.01.82 р. № 12
4.                    ;Чуїхський;заказник;ботанічний;1,5;Городищенський район, поруч з Мліївською садстанцією, ур. Чуїха;КСП ім.Шевченка;Ріш. ОВК від 22.01.82 р. № 12
5.                    ;Безбородьківський;заказник;ботанічний;8,8;Драбівський район, с. Безбородьки;Безбородьківська сільська рада;Ріш. Обл. ради від 21.12.07.р. № 14-19/V
6.                    ;Пехівський;заказник;ботанічний;1;Звенигородський район, кв. 43. вид. 1 Пехівського л-ва;"ДП ""Звенигородський лісгосп""";Ріш. ОВК від 12.01.82 р. № 12
7.                    ;Вільхівський;заказник;ботанічний;12;Золотоніський район, кв. 10 вид. 15, кв. 11 вид. 8, кв. 39 вид. 8, кв. 40 вид. 9 Вільхівського л-ва;"ДП ""Золотоніське лісове господарство""";Ріш. ОВК від 11.03.79 р.№ 136
8.                    ;Хлипнівський;заказник;ботанічний;1;Звенигородський район, кв. 56 вид. 2 Хлипнівського л-ва;"ДП ""Звенигородський лісгосп""";Ріш. ОВК від 12.01.82 р. № 12
9.                    ;Довгий;заказник;ботанічний;5;Золотоніський район, кв. 3 вид. 5-15 Вільхівського л-ва;"ДП ""Золотоніське лісове господарство";Ріш. ОВК від 11.03.79 р.№ 136
10.                ;Коробівський;заказник;ботанічний;10;Акваторія Кременчуцького водосховища біля с.Коробівки Золотоніського району;Коробівська сільська рада;Ріш. ОВК від 14.04.83 р. № 205
11.                ;Мар’янівщина;заказник;ботанічний;26,4;Золотоніський район, кв. 65 вид. 5 Вільхівського л-ва;"ДП ""Золотоніське лісове господарство";Ріш. ОВК від 25.05.90 р. № 95
12.                ;Сушківський;заказник;ботанічний;18,3;Золотоніський район, схили по окраїні с.Бубнова Слобідка;Бубново-Слобідська сільська рада;Ріш. ОВК від 08.01.86 р. № 7
13.                ;Тамарівський;заказник;ботанічний;2;Золотоніський район, кв. 19 вид. 4 Деньгівського л-ва;ДП „Золотоніське лісове господарство”;Ріш. ОВК від 11.03.79 р. № 136
