№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.;Ічнянський;національний природний парк;;9665,8;Ічнянський район;Мінприроди України;Указ Президента України № 464/2004 від 21.04.2004 року
2.;Мезинський;національний природний парк;;31035,2;Коропський район;Мінприроди України;Указ Президента України № 122/2006 від 10.02.2006 року
-;Залісся;національний природний парк;;1287,5;Козелецький район;Мінприроди України;Указ Президента України № 1049/2009від 11.12.2009 року
;Всього національних природних парків;2;;41988,5;;;
3.;Замглай;заказник;ландшафтний;4428;Ріпкинський район,                                    смт. Замглай, с. Ловинь;Ріпкинська, Замглайська селищні ради ріпкинського району;Указ Президента України № 1207/2000 від 04.11.2000 року
4.;Рихлівська дача;заказник;ландшафтний;789;Коропський район,                                                  кв. 43-53 Понорницького лісництва Холминського держлісгоспу;"ДП ""Холминське лісове господарство""";Указ Президента України № 750/94 від 10.12.1994 року
;Разом заказників ландшафтних;2;;5217;;;
5.;Брецький;заказник;ботанічний;200;Корюківський район,                           с. Бреч, с. Лубенець;Брецька сільська рада Корюківського району;Указ Президента України № 715/96 від 20.08.1996 року
6.;Оболонський;заказник;ботанічний;400;Коропський район,                                с. Оболоння;"Приватне підприємство ""Оболонь""";Указ Президента України № 715/96 від 20.08.1996 року
7.;Путивський;заказник;ботанічний;150;Новгород-Сіверський район,              с. Путивськ;Горбівська сільська рада Новгород-Сіверського району;Указ Президента України № 715/96 від 20.08.1996 року
8.;Середовщина;заказник;ботанічний;288;Ніжинський район,                                  кв. 1-7 Мринського ліництва  ;"ДП ""Ніжинське лісове господарство""";Указ Президента України № 1207/2000 від 04.11.2000 року
;Разом заказників ботанічних;4;;1038;;;
9.;"Болото ""Мох""";заказник;гідрологічний;98;Щорський район,                               кв. 19, 20, 25, 26 Новгоборовицького лсництва Корюківського держлісгоспу;"ДП ""Корюківське лісове господарство""";Постанова Ради Міністрів УРСР № 500 від 28.10.1974 року
10.;Дорогинськй;заказник;гідрологічний;1880;Ічнянський район,                                  с.с. Бурімка, Томашівка, Припутні, Дорогинка, Бакаївка;Бакаївська, Андріївська, Дорогинська, Бурімська. Припутнівська сільські ради Ічнянського району;Постанова Ради Міністрів УРСР № 524 від 11.09.1980 року
11.;Кравукове болото;заказник;гідрологічний;172;Ніжинський район,                    с.Кравчиха;Великодорізька сільська рада Ніжинського району;Указ Президента України № 1207/2000 від 04.11.2000 року
12.;Сосинський;заказник;гідрологічний;406;На кордоні Чернігівського та Козелецького районів біля                с. Олишівка;Олишівська сільська рада Чернігівського району, Хрещатинська сільська рада Козелецького району;Постанова Ради Міністрів УРСР № 524 від 11.09.1980 року
;Разом заказників гідрологічних;4;;2556;;;
