№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Вижницький;національний природний парк;;11238;Вижницький район;Адміністрація національного природного парку;Указ Президента України від 30.08.95. № 810/95,Указ Президента України від 04.09.07. № 818/2007
2;Черемоський;національний природний парк;;7117,5;Путильський  район:;ДП «Путильський лісгосп»,Карпатський держспецлісгосп АПК;Указ Президента України від 11.12.09. № 1043/2009
3;Хотинський;національний природний парк;;9446,1;Хотинський, Кельменецький , Сокирянський райони;ДП «хотинський лісгосп»,ДП «Хотинське спеціалізоване лісництво АПК», ДП «Сокірянський лісгосп», ДП «Кельмінецьке спеціалізоване лисництва АПК», Дністровське прутське басейнове управління водних ресурсів;Указ Президента України від 22.01.2010.№ 56/2010
3;Всього національних природних парків;3;;27801,6;;;
1;Цецино;заказник;ландшафтний;430;Кіцманський район:ДП «Чернівецький лісгосп» Ревнянське л-во кв.21-25;ДП «Чернівецький лісгосп»;Постанова Ради Міністрів УРСР від 28.10.74 № 500
2;Чорний Діл;заказник;ландшафтний;263;Путильський район: ДП «Путильський лісгосп» Перкалабське лісництво кв.2-6, 8, 15-18;ДП «Путильський лісгосп» ;Постанова Ради Міністрів УРСР від 25.02.80  № 132
3;Кадубівська стінка;заказник;ландшафтний;22,8;Заставнівський район  с.Веренчанка ;Веренчанська сільська рада ;Указ Президента України від 10.12.94  № 750/94                                                                                                                         
4;Совицькі болота;заказник;ландшафтний;105;Кіцманський район с.Кліводинпл.72,6 га, Заставнівський район с.Веренчанкапл.32,4 га;Кліводинська сільська рада,  Веренчанська сільська рада ;Указ Президента Українивід 10.12.94  № 750/94                                                                                                                               
5;Товтрівська стінка;заказник;ландшафтний;15,7;Заставнівський район с.Товтри;Товтрівська сільська рада;Указ Президента України від 10.12.94  № 750/94                                                                                                              
;Разом заказників ландшафтних;5;;836,5;;;
1;Лунківський;заказник;лісовий;106;Сторожинецький район:ДП «Сторожинецький лісгосп» Красноїльське л-во кв.28 вид.7-9, 11-13;ДП «Сторожинець-кий лісгосп»;Постанова Ради Міністрів УРСР від 28.10.74№ 500
2;Петрівецький;заказник;лісовий;170; Сторожинецький район:ДП «Сторожинецький лісгосп»  В-Петрівецьке лісництво кв. 55, 67;ДП «Сторожинець-кий лісгосп»;Постанова Ради Міністрів УРСР від 12.12.83№ 495
;Разом заказників лісових;2;;276;;;
1;Драницький;заказник;орнітологічний;80;Новоселицький район с.Драниця;Драницька сільська рада;Постанова  Ради Міністрів УРСР від 02.11.84 № 434
;Разом заказників орнітологічних;1;;80;;;
1;Молочнобратський карстовий масив;заказник;карстово-спелеологічний;20,3;Путильський район: ДП «Путильський лісгосп» Перкалабське лісництво кв.17 вид.1, 3-10;ДП «Путильський лісгосп» ;Указ Президента Українивід 10.12.94 № 750/94 
2;Чорнопотоцький;заказник;карстово-спелеологічний;49;"Заставнівський район між  селами Погорилівка і Юрківці:Погорилівська сільська рада- 19,2 га;Юрковецька сільська рада- 5,2 га;Боянчуцька сільська рада – 24,6 га.";Погорилівська сільська рада,Юрковецька сільська рада,Боянчуцька сільська рада;Указ Президента Українивід 10.12.94 № 750/94   
;Разом заказників  карстово-спелеологічних;2;;69,3;;;
10;Всього  заказників загальнодержавного значення;10;;1261,8;;;
1;Борівецька;пам`ятка природи;комплексна;20,4;Кіцманський район с.Борівці;Борівецька сільська рада;Указ Президента Українивід  20.08.96№ 715/96 
;Разом пам`яток природи комплексних;1;;20,4;;;
1;Шилівський ліс;пам`ятка природи;ботанічна;60;Хотинський район:ДП «Хотинський лісгосп»Колінківське лісництвокв.60 вид.1;ДП «Хотинський лісгосп»;Постанова Ради МіністрівУРСР від 30.03.81№ 145 -Р
2;Рухотинський ліс;пам`ятка природи;ботанічна;49;Хотинський район:ДП «Хотинський лісгосп»Рухотинське лісництвокв.55   вид.8;ДП «Хотинський лісгосп»;Постанова Ради Міністрів УРСР від 10.10.75№ 780 -Р
3;Тисовий  яр;пам`ятка природи;ботанічна;10;Сторожинецький район:ДП «Чернівецький лісгосп»Кучурівське лісництвокв. 10  вид.16, кв.11  вид.1;ДП «Чернівецький лісгосп»;Постанова Ради Міністрів УРСР від 30.03.81№ 145 -Р
4;Урочище «Білка»;пам`ятка природи;ботанічна;6;Сторожинецький районс. Панка;Панківська сільська рада;Постанова Ради Міністрів УРСР від 30.03.81 № 145Р
;Разом пам`яток природи ботанічних;4;;125;;;
1;Печера «Буковинка»;пам`ятка природи;геологічна;14,7;Новоселицький район, с. Стальнівці;Стальнівецька сільська рада;Постанова Ради Міністрів УРСР від 30.03.81  № 145 
2;Печера «Попелюшка»;пам`ятка природи;геологічна;24;Новоселицький район, с. Подвірне;Сільськогосподар-ський виробничий кооператив ім.Суворова;Постанова Ради Міністрів УРСР від 30.03.81 № 145,Р Указ Президента України від 09.12.98  №1341/98
3;Печера «Баламутівська»;пам`ятка природи;геологічна;1;Заставнівський район,с.Баламутівка;Баламутівська сільська рада;Постанова Ради Міністріввід  21.07.65 № 711 
4;Печера «Піонерка»;пам`ятка природи;геологічна;1;Заставнівський районс. Погорилівка;Погорилівська сільська рада;Постанова Ради Міністріввід 30.03 81 № 145 
;Разом пам`яток природи геологічних;4;;40,7;;;
9;Всього пам»яток природи загальнодержавного значення;9;;186,1;;;
1;Сторожинецький;дендрологічний парк;;17,5;Сторожинецький район м. Сторожинець;Сторожинецький лісовий коледж;Постанова Ради Міністрів УРСР від 01.11.68 № 1035-р 
2;Чернівецький;дендрологічний парк;;4,8;м. Чернівці  вул.Коцюбинського, 2  ;ЧНУ ім..Ю.Федьковича;Постанова Ради Міністрів УРСР від 07.07.63№ 1180-р 
2;Всього дендрологічних парків загальнодержавного значення;2;;22,3;;;
1;Чернівецький;ботанічний сад;;3,5;м. Чернівцівул. Федьковича, 11;ЧНУім..Ю.Федьковича;Постанова Ради Міністрів УРСР від 07.07.63 № 1180-р
1;Всього ботанічних садів загальнодержавного значення;1;;3,5;;;
25;Всього територій та об`єктів ПЗФ загальнодержавного значення;25;;29275,3;;;
Території та об’єкти ПЗФ місцевого значення;;;;;;;
