№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Дніпровсько-Орільський;Природний заповідник;;3766,2;Дніпропетровський та Петриківський райони, Орільське лісництво;Дніпровсько-Орільський природний заповідник Дніпропетровське обласне управління лісового та мисливського господарства;Постанова РМ УРСР 15.09.1990  № 262
;Всього природних заповідників;1;;3766,2;;;
1.;Приорільський;заказник;ландшафтний;8377;Між селами Орілька, Багате та Перещепине Новомосковського району та між селами Личкове,Бузівка, Ковпаківка, Котовка, Степанівка, Заплавка, Гупалівка Магдалинівського району;Магдалинівська, Новомосковська райдержадміністрації,  Новомосковський держлісгосп;Указ Президента України 09.12.1998 № 1341/98
2;Богданівський;заказник;ландшафтний;1387;Нікопольський район;ВАТ «ОГЗК» Марганецький держлісгосп;Указ Президента України 09.12.1998 № 1341/98
3;Балка Північна Червона;заказник;ландшафтний;28;Північно-західна околиця  м. Кривий Ріг;Управління містобудування і архітектури виконкому Криворізької міськради;Постанова РМ УРСР 12.12.1983  №495
4;Кільченський;заказник;ландшафтний;100;м. Підгородне  Дніпропетровського району ;Дніпропетровська райдержадміністрація;Постанова РМ УРСР 28.10.1974  №500
5;Комарівщина;заказник;ландшафтний;288;Відрадне лісництво кв.38,39,45,46,47;Новомосковський держлісгосп;Постанова РМ УРСР 12.12.1983  №495
6;Солоний лиман ;заказник;ландшафтний;341;Між с. Новотроїцьке, Знаменівка Новомосковського району;Новомосковська райдержадміністрація;Постанова РМ УРСР 25.02.1980  №132 
7;Інгулецький степ;заказник;ландшафтний;65,6;с. Недайвода Криворізького району;Криворізька райдержадміністрація;Указ Президента України від 21.02.2002 №167/2002
8;Бакаї;заказник;ландшафтний;690;смт. Васильківка, с. Вовчанське Васильківського району;Васильківська райдержадміністрація;Указ Президента України від 12.09.2005 № 1238/2005
9;Преображенський;заказник;ландшафтний;312,6;с. Богданівка, селище Правда,  с. Преображенське Васильківського району;Васильківський держлісгосп, Васильківська райдержадміністрація;Указ Президента України від 12.09.2005  № 1238/2005
