№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;«Гомільшанські ліси»;Національний природний парк;;14314,8;с. Коробів Хутір, с. Задонецьке, с. Гомольша Зміївського району, с. Нижньобишків, с. Гайдари Первомайського району;Державний комітет лісового господарства України Харківське обласне управління лісового господарства дирекція НПП “Гомільшанські ліси”, землекористувачі та землевласники;Указ Президента України від 06.09.2004 № 1047/2004
2;«Дворічанський»;Національний природний парк;;3131,2;с. Камянка, с.Тополі Дворічанський район;Дирекція НПП «Дворічанський», землекористувачі та землевласники;Указ Президента України від 11.12.2009 № 1044/2009
3;«Слобожанський»;Національний природний парк;;5244;Краснокутський район;Дирекція НПП «Слобожанський»;Указ Президента України від 11.12.2009 № 1047/2009
;Всього національних природних парків;3;;22690;;;
4;«Катеринівський»;заказник;загально-зоологічний;527;с.с. Катеринівка, Андріївка,Великобурлуцький район;"ТОВ «Катеринівка»-318,0 га; ПСП «Малинівка»-209,0га.";Постанова РМ УРСР від 19.04.1977 № 198
5;«Бурлуцький»;заказник;загально-зоологічний;326;cмт. Великий Бурлук, с.с. Горяне, Катеринівка,Великобурлуцький район;"Великобурлуцька селищна рада – 66,2 га;ТОВ «Катеринівка»-107,0 га; ПСП «Маяк»-152,8 га.";Постанова РМ УРСР від 19.04.1977 № 198
;Разом заказників загально-зоологічних;2;;853;;;
6;«Вовчанський»;заказник;ботанічний;185;с.с. Мала Вовча, II Жовтневе, Волохівка, Землянки, Нестерне, Охрімівка,Вовчанський район;Вовчанська райдержадміністрація;Указ Президента України від 10.12.1994 № 750/94
;Разом заказників ботанічних;1;;185;;;
;Всього заказників загальнодержавного значення;3;;1038;;;
7;«Шарівський»;парк-пам`ятка садово-паркового мистецтва;;39,3;тубсанаторій “Шарівка” смт. Шарівка-1,Богодухівський район;Обласний туберкульозний санаторій “Шарівка”;Постанова Ради Міністрів від 29.01.1960 №105
8;«Старомерчицький»;парк-пам`ятка садово-паркового мистецтва;;69;смт. Старий Мерчик,Валківський район;Управління містобудування та архітектури Харківської облдержадміністрації;Постанова Держкомекології від 30.08.1990 № 18
