№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.;“Подільські Товтри”;Національний природний парк;;261316;Кам’янець-Подільський, Чемеровецький, Городоцький райони;Дирекція НПП «Подільські Товтри»;Указ Президента України від 27 червня 1996 року №  474/96
2;"""Мале Полісся""";Національний природний парк;;8762,7;Славутський, Ізяславський райони;"Дирекція НПП ""Мале Полісся""";Указ Президента України від 02.08.2013 № 420/2013
;Всього національних природних парків;2;;270078,7;;;
1.;Кошарнинський;заказник;ландшафтний;120;Урочище Кошарна між с.  м. Городок Городоцького району;ГСЛП „Горліс” Городоцького р-ну;Постанова Ради міністрів УРСР від 29 грудня 1981 року № 646
2.;Іванковецький;заказник;ландшафтний;1014,5;Сатанівське л-вокв. 17, 20, 23, 26, 30, 34, 36, 38, 39, 42, 45, 50, 52, 54, 60, 62 Городоцький район;ДП «Ярмолинецький  лісгосп»;Постанова Ради Міністрів УРСР №495 від 12.12.1983 року розширений рішенням ОВК № 181 від 16.10.1991 р.
3.;Івахновецький ;заказник;ландшафтний;155;Чемеровецький р-н поблизу с.Івахнівці ;Івахновецька сільська рада;Постанова Ради Міністрів УРСР №646 від 29.12.1981 року
4.;Кармалюкова гора;заказник;ландшафтний;765;Маківське л-во кв. 44, 45, 48-51, 54, 58, 61, 67, вид. 1-8, 17-31, кв. 69 вид. 8-22, 25-28, кв. 68 вид. 1, 10, 11, кв. 70 вид. 4-15, кв.71 вид 4-9, кв. 52, 53, 55, 63, вид. 1-11 кв.65 вид 1-4 кв.66 вид 1-6 ;ДП «Кам’янець-Подільський лісгосп» ;Постанова Ради Міністрів УРСР№500 від 28.10.1974 року Розширений Постановою Ради Міністрів УРСР №5 від 7.01.1985 року.
5.;Совий яр;заказник;ландшафтний;827;Подільське л-во кв. 20-32;ДП «Кам’янець-Подільський лісгосп» ;Постанова Ради Міністрів УРСР від 3.08.1978 року № 383
6.; Княжпільський;заказник;ландшафтний;821;Подільське л-во кв 7-25;ДП «Кам’янець-Подільський лісгосп» ;Постанова Ради Міністрів УРСР вів 12.12.1983 року № 495, розширений рішенням ОВК № 194 від 26.10.1990 р.
7.;Циківський;заказник;ландшафтний;290;Вербецьке л-во кв. 5,6;ДП «Кам’янець-Подільський лісгосп» ;Постанова Ради Міністрів УРСР№ 646 від 29.12.1981 року
8.;Сокіл;заказник;ландшафтний;56;Поблизу с.Цикова Чемеровецького р-ну ;Циківська сільська рада;Постанова Ради Міністрів УРСР№53 від 13.02.1989 року
9.;Велика і Мала Бугаїха;заказник;ландшафтний;66;Побл. С. Голени-щево Чемеровець-кого р-ну;СЛО “Агроліс”;Указом Президента України від 20.08.1996 р. № 715/96
10.;Долина;заказник;ландшафтний;255,9;Поблизу смт. ЛетичівЛетичівського району;"Летичівська районна рада Українського товариства мисливців та рибалок;Летичівське СЛКП";Указ Президента України від 12.09.2005 року № 1238 / 2005
;Разом заказників ландшафтних;10;;4370,4;;;
1.;Чапля*;заказник;ботанічний;177;Схил р.Тернава на південь від с.Демшин;Калачковецька сільська радаКам’янець-Подільський район;Постанова Ради Міністрів УРСР№53 від 13.02.1989 року
2.;Панівецька дача *;заказник;ботанічний;923;Панівецьке л-во кв. 17-31;ДП «Кам’янець-Подільський лісгосп» ;Постанова Ради Міністрів УРСР№ 500 від 28.10.1974 року 
3.;Товтри Вербецька*;заказник;ботанічний;9,3;Поблизу с.Гуменці Кам’янець-Подільський р-н ;Ніжинська сільська рада;Указ Президента України№ 715/96 від 20.08.1996 року
4.;Нижні Патринці*;заказник;ботанічний;80;Староушицьке л-во кв. 41 вид. 1-24;ДП «Кам’янець-Подільський лісгосп» ;Указ Президента України № 715/96 від 20.08.1996 року
5.;Довжоцький*;заказник;ботанічний;655;Кадієвецьке л-во кв. 48-57, 59-61;ДП «Кам’янець-Подільський лісгосп» ;Указ Президента України № 715/96 від 20.08.1996 року
6.;Карабчіївський*;заказник;ботанічний;111;Поблизу с.Великий Карабчіїв Городоцького р-ну;ГСЛП „исля”Городоцького району;Указ Президента України № 715/96 від 20.08.1996 року
7.;Городоцький;заказник;ботанічний;150;Ярмолинецьке л-во кв.51 вид 23-29, кв. 53, 54, 56 вид 1-7, 10;ДП „Ярмолинецький лісгосп”;Постановою Ради Міністрів УРСР від 12.12.1983 року № 495
8.;Зарудка зелена;заказник;ботанічний;244;Дунаєвецьке л-во кв. 58, 59.;ДП „Кам’янець-Подільський лісгосп”;Указ Президента України від 20.08.1996 року № 715 / 96
9.;Теребіжі;заказник;ботанічний;32,1;Голицьке лісництво кв. 64, вид. 8,13, 14, 21, 27, 31, 33, 34;ДП „Славутський лісгосп”;Указ Президента України від 12.09.2005 року № 1238 / 2005
;Разом заказників ботанічних;9;;2381,4;;;
1.;Сатанівський;заказник;лісовий;1778;Сатанівське л-вокв. 21, 22, 24, 25, 27, 28, 29, 31-33, 35-37, 40,41, 43, 44, 46, 47-49,51, 53, 55-59, 61, 63, 64;ДП «Ярмолинецький лісгосп»;Постанова Ради Міністрів УРСР№ 500 від 28.10.1974 року 
;Разом заказників лісових;1;;1778;;;
