№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;“Войнівський”;заказник;Ландшафтний;50;Новоукраїнський р-н,  поблизу с. Новоолександрівка;Новоукраїнська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
2;“Когутівка”;заказник;Ландшафтний;120;Новоархангельський р-н, с.Ятрань;Новоархангельська р районна державна адміністрація - 39 га, ДП “Голованівський  лісгосп” – 81га;Указом Президента України №750/94 від 10.12.94р.
3;“Миколаївський”;заказник;Ландшафтний;133;Олександрівський р-н, поблизу с. Миколаївка;Червононерубаївське лісництво – 91 га, Олександрівська районна державна адміністрація – 42 га;Указом Президента України №750/94 від 10.12.94р.
4;“Монастирище”;заказник;Ландшафтний;15,3;Устинівський р-н, с.Завтурове;ВК 305/37 Кіровоградського обласного УВС;Указом Президента України №750/94 від 10.12.94р.
5;“Чорноліський”;заказник;Ландшафтний;3491;Знам’янський р-н, Богданівське лісництво;ДП “Чорноліський НВЛГ”;Постановою Ради Міністрів УРСР №524 від 11.09.1980р.
6;“Чорноташлицький”;заказник;Ландшафтний;15;Вільшанський р-н, поблизу с.Синюха;Вільшанська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
7;“Шумок”;заказник;Ландшафтний;20,1;Бобринецький р-н, поблизу с.Великодрюкове;Бобринецька районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
;Разом заказників ландшафтних;7;;3844,4;;;
1;“Велика стінка”;заказник;Лісовий;43,5;Онуфріївський р-н, поблизу с.Вишнівці;ДП “Онуфріївський лісгосп”;Указом Президента України №750/94 від 10.12.94р.
;Разом заказників лісових;1;;43,5;;;
1;“Садківський степ”;заказник;Ботанічний;362,3;Устинівський р-н, поблизу с.Садки;Устинівська районна державна адміністрація;Указом Президента України №1238/2005 від 12.09.2005р.
2;“Богданівська балка”;заказник;Ботанічний;25,2;Бобринецький р-н, поблизу с.Фрунзе;Бобринецька районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
3;“Боковеньківська балка”;заказник;Ботанічний;15;Долинський р-н, поблизу с.Нагірне ;Дослідно-селекційний дендрологічний лісовий центр  “Веселі Боковеньки”;Указом Президента України №715/96 від 20.08.96р.
4;“Бузове”;заказник;Ботанічний;50,7;Онуфріївський р-н, поблизу с.Попівка;ДП “Онуфріївський лісгосп” ;Указом Президента України №750/94 від 10.12.94р.
5;“Власівська балка”;заказник;Ботанічний;130,7; поблизу смт Петрово;Петрівська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
6;“Гранітний степ”;заказник;Ботанічний;13,3;Долинський р-н, поблизу с.Олександрівка;Долинська районна державна адміністрація;Указом Президента України №1238/2005 від 12.09.2005р.
7;“Лікарівський”;заказник;Ботанічний;70;Олександрівський р-н, поблизу с.Лікарівка;Олександрівська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
8;“Цюпина балка”;заказник;Ботанічний;36;Світловодський р-н, поблизу с.Велика Андрусівка;Світловодська районна державна адміністрація;Указом Президента України №715/96 від 20.08.96р.
9;“Шурхи”;заказник;Ботанічний;38,3;Новгородківський р-н,  поблизу с.Новомиколаївка;Новгородківська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
;Разом заказників ботанічних;9;;741,5;;;
1;“Бандурівські ставки”;;Орнітологічні;385,6;Гайворонський р-н, поблизу  с.Бандурове;Гайворонська районна державна адміністрація;Указом Президента України №750/94 від 10.12.94р.
