№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.;«Голосіївський»;Національний природний парк ;;4525,52;Голосіївський район;НПП «Голосіївський»;Указ Президента України від 27.08.07 №794/2007              Указ Президента України від 30.10.08 №976/2008
;Всього національних природних парків;1;;4525,52;;;
1.;Лісники;заказник;ботанічний;1110,2;Голосіївський район;РЛП “Голосіївський”;Постанова Р.М. УРСР від 25.08.89р. №223
;Разом заказників ботанічних;1;;1110,2;;;
;Вссього заказників загальнодержавного значення;1;;1110,2;;;
1.;Романівське болото;пам`ятка природи;ботанічна;30;Святошинський район;Святошинське ЛПГ;Постанова Р.М. УРСР від 26.03.79р. №143
;Разом пам`яток природних ботанічних;1;;30;;;
;Всього пам`яток природи загальнодержавного значення;1;;30;;;
1.;Національний ботанічний сад ім. М.Гришка;ботанічний сад;;130,2;Печерський район;НАН України;ПостановаР.М. УРСР від 22.07.83р.№311 
2.;Ботанічний сад ім. І.Фоміна;ботанічний сад;;22,5;Шевченківський район;Нац. університет ім. Т.Шевченка;-“-
3.;Ботанічний сад  НАУ;ботанічний сад;;53;Голосіївський район;Нац. аграрний університет;ПостановаР.М. УРСР від 13.02.89р.№53 
;Всього ботанічних садів загальнодержавного значення;3;;205,7;;;
1.;Сирецький;дендропарк;;6,5;Подільський район;Агрофірма “Квіти України”;ПостановаР.М. УРСР від 22.07.83р.№311 
;Всього дендропарків загальнодержавного значення ;1;;6,5;;;
1.;Київський зоопарк;зоопарк;;39,5;Шевченківський район;Адміністрація зоопарку;ПостановаР.М. УРСР від 22.07.83р.№311 
;Всього зоопарків загальнодержавного значення;1;;39,5;;;
1.;Володимирська гірка;парк-пам`ятка садово-паркового мистецтва;;16,9;Шевченківський район;КП УЗН Шевченківського району;ПостановаР.М. УРСР від 29.01.60р.№105  Рішення Київради від 17.02.94р. №14
2.;Маріїнський;парк-пам`ятка садово-паркового мистецтва;;14,6;Печерський район;КП УЗН Печерського р-ну;ПостановаР.М. УРСР від 29.01.60р.№105 Рішення Київради від 17.02.94р. №14
3.;Сирецький гай;парк-пам`ятка садово-паркового мистецтва;;194;Шевченківський, Подільський райони;КП УЗН Печерського та Подільського р-н;Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22 Рішення Київради від 17.02.94р. №14
4.;Парк “Нивки” (східна частина);парк-пам`ятка садово-паркового мистецтва;;46,1;Шевченківський район;КП УЗН Шевченківського р-ну;Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22 Рішення Київради від 17.02.94р. №14
5.;Феофанія;парк-пам`ятка садово-паркового мистецтва;;150;Голосіївський район;"НАН України ДЗГ ""Феофанія”";Рішення Київради від 11.11.69р. №206
6.;Голосіївський парк ім.. М.Рильського;парк-пам`ятка садово-паркового мистецтва;;140,9;Голосіївський район;КП УЗН Голосіївського району;ПостановаР.М. УРСР від 29.01.60р.№105 
7.;Голосіївський ліс;парк-пам`ятка садово-паркового мистецтва;;769,23;Голосіївський район;РЛП “Голосіївський”;ПостановаР.М. УРСР від 29.01.60р.№105 Рішення Київради від 17.02.94 №14 та Указ Президента України від 30.10.08 №976/2008
8. ;Святошинський лісопарк;парк-пам`ятка садово-паркового мистецтва;;240;Святошинський район;Святошинське ЛПГ;Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22
9.;Пуща-Водицький лісопарк;парк-пам`ятка садово-паркового мистецтва;;360;Оболонський район;Святошинське ЛПГ;Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22       Указ Президента України від 04.11.00р №1207/00
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;9;;1931,73;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення:;17;;7849,15;;;
Території та об`єкти місцевого значення;;;;;;;
1.;“Партизанська Слава”;регіональний ландшафтний парк;;115;Дарницький район;КП УЗН Дарницького району;Рішення Київради від 17.02.94р. №14
2.;“Лиса Гора”;регіональний ландшафтний парк;;137,1;Голосіївський район;КП УЗН Голосіївського району;Рішення Київради від 17.02.94р. №14
3.;“Дніпровські острови”;регіональний ландшафтний парк;;1214,99;Деснянський, Дніпровський, Дарницький р-ни;ДКП “Плесо”;Рішення Київради від 23.12.04 №878/2288
4.;"""Голосіївський""";регіональний ландшафтний парк;;1184,51;Голосіївський район;"КП ""ЛПГ ""Конча-Заспа""";Рішення Київради від 20.02.95р. №45
;Всього регіональних ландшафтних парків;4;;2651,6;;;
