№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;"ділянки Чорноморського біосферного заповідника: “Волижин ліс"", о-в.Довгий, о-в.Круглий";біосферний заповідник;;2741;Очаківський  р-н;НАНУ;"Постанова Ради Народних комісарів УРСР від 14.07.27 № 172 , Указ Президента України від 26.11.93 р. №563/93Розширено Указом Президента України                   від 25.02.09 р. №100/2009 "
;Всього біосферних заповідників;0;;2741;;;
1;“Єланецький степ”;природний заповідник;;1675,7;Єланецький, Новоодеський;Міністерство екології та природних ресурсів;Указ Президента України від 17.07.96 № 575/96
;Всього природних заповідників;1;;1675,7;;;
1;„Бузький Гард”;національний природний парк;;6138,13;Кривоозерський, Первомайський, Арбузинський, Вознесенський, Доманівський, Братський  р-ни;Міністерство екології та природних ресурсів;Указ Президента України від  30.04.09 № 279/2009
2;«Білобережжя Святослава»;національний природний парк;;35223,15;Очаківський, Березанський р-ни;Міністерство екології та природних ресурсів;Указ Президента України від 16.12.2009 № 1056/2009
;Всього національних природних парків;2;;41361,28;  ;;
1;заказник “Рацинська дача”;заказник;лісовий;1782;Вознесенський р-н;ДП “Вознесенське лісове господарство”;"Постанова Ради Міністрів УРСР від 28.10.74 № 500;  "
;Разом заказників лісових;1;;1782;;;
;Всього заказників загальнодержавного значення;1;;1782;;;
1;“Мостівський парк”;парк-пам’ятка садово-паркового мистецтва;;28;Доманівський р-н;ДП “Веселинівське лісове господарство”;"Постанова Ради Міністрів УРСР № 105 від 29.01.60; "
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;1;;28;;;
1;“Степок”;пам’ятка природи;ботанічна;11;Казанківський р-н;ДП “Володимирівське лісове господарство”;"Розпорядження Ради Міністрів СССР від 14.10.75 № 780;"
;Разом пам’яток природи ботанічних;1;;11;;;
;Всього пам`яток природи загальнодержавного значення;1;;11;;;
1;Миколаївський зоопарк;зоопарк;;18,48;м. Миколаїв;Миколаївський зоопарк;Постанова Ради Міністрів СРСР від 22.07.83 № 311 
;Всього зоопарків загальнодержавного значення;1;;18,48;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;7;;47617,46;    ;;
Території та об’єкти ПЗФ місцевого значення;;;;;;;
1;«Кінбурнська коса»;регіональний ландшафтний парк;;17890,2;Очаківський р-н;Покровська сільська рада, ДП «Очаківське лісомисливське господарство» та ін..;Рішення облради №16 від 15.10.92
2;«Гранітно-степове Побужжя»;регіональний ландшафтний парк;;7394,3;Врадіївський, Кривоозерський, Первомайський, Арбузинський, Вознесенський, Доманівський, Братський  р-ни;Грушівська, Мигійська, Романо-Балківська, Кумарівська, Кам’яномостівська,   Врадіївська, Кумарівська, Березківська, Семенівська, Іванівська, Костянтинівська, Богданівська, Прибузька, Трикратська, Петропавловська сільради, Южноукраїнська міська рада, ДП „Врадіївське лісове господарство”, ДП „Вознесенське лісове господарство”, ДП «Веселинівське лісове господарство”, Южноукраїнська АЕС та ін.;Рішення облради  № 10 від 06.07.06 № 3 від 27.05.05  №5 від 23.12.99 №7 від 25.10.96 №10 від 28.04.95 №27 від 18.03.94
3;«Тилігульський»;регіональний ландшафтний парк;;8195,4;Березанський район;Ташинська, Краснопільська, Анатоліївська, Червоноукраїнська, Коблевська сільради, ДП «Очаківське лісомисливське господарство»;№ 8 від 28.04.95
4;«Приінгульський»;регіональний ландшафтний парк;;3152,7;Новобузький район;Новобузька міська рада, Кам’янська, Софіївська, Розанівська сільради та ін.;№ 6 від 17.12.02
5;«Висунсько-Інгулецький»;регіональний ландшафтний парк;;2712,6;Березнегуватський;Березнегуватська селищна рада, Білокриницька, Висунська, Любомирівська, Маліївська, Мурахівська, Нововолодимирівська, Новосевастопольська, Сергіївська та Федорівська сільські ради;№ 9 від 25.11.11 
;Всього регіональних ландшафтних парків;5;;39345,2;;;
1;Острів Довгий;заказник;ландшафтний;6;м. Первомайськ;;№ 527 від 01.10.74 
2;Півострів Піщаний;заказник;ландшафтний;260;Жовтневий р-н;;№ 24 від 07.07.92
3;Вовча Балка;заказник;ландшафтний;250;Новоодеський р-н;землі державної власності (запас);№ 11 від 12.03.93
4;Новопетрівські плавні  ;заказник;ландшафтний;200;Новоодеський р-н;землі державної власності (запас);№ 11 від 12.03.93
5;Петрово-Солониський;заказник;ландшафтний;300;Миколаївський р-н;землі державної власності (запас), ДП «Миколаївське лісове господарство»;№ 7 від 13.05.93
6;Мурахівський;заказник;ландшафтний;150;Березнегуватський р-н;землі державної власності (запас);№ 20 від 18.03.94
7;Висунський ;заказник;ландшафтний;50;Березнегуватський р-н;землі державної власності (запас);№ 20 від 18.03.94
8;Біла Криниця;заказник;ландшафтний;25;Березнегуватський р-н;землі державної власності (запас);№ 20 від 18.03.94
9;Водоспад;заказник;ландшафтний;30;Казанківський р-н;землі державної власності (запас);№ 24 від 02.02.95
10;Попова Дача;заказник;ландшафтний;15;Казанківський р-н;землі державної власності (запас);№ 24 від 02.02.95
11;Михайлівський;заказник;ландшафтний;87,2;Новоодеський, Вознесенський р-ни;землі державної власності (запас);№ 24 від 02.02.95
12;Пташиний;заказник;ландшафтний;36,8;Доманівський р-н;землі загального користування;№ 20 від 18.03.94
13;Гора;заказник;ландшафтний;239;Доманівський р-н;ДП “Веселинівське лісове господарство”;№ 20 від 18.03.94
14;Михайлівський степ;заказник;ландшафтний;1343,1;Новоодеський р-н;землі запасу Михайлівської сільської ради, ПП «Арчар Тур», ДП „Миколаївське лісове господарство” та ін.;№13 від 14.08.97
15;Бондаревські джерела;заказник;ландшафтний;5,6;Миколаївський р-н;землі державної власності (запас);№15 від 30.12.10
16;Привільний;заказник;ландшафтний;328,3;Баштанський р-н;землі державної власності (запас), ДП «Баштанське лісове господарство»;№12 від 30.12.10
17;Бакшалинські плавні;заказник;ландшафтний;96,06;Доманівський р-н;землі державної власності (запас);№8 від 02.02.2013
18;Воєводський;заказник;ландшафтний;42,78;Арбузинський р-н;землі державної власності (запас);№8 від 02.02.2013
19;Кам`яно-Костуватський;заказник;ландшафтний;523,7;Братський р-н;"землі державної власності (ДП ""Єланецьке лісове господарство"")";№8 від 02.02.2013
20;Новоодеський;заказник;ландшафтний;20,7;Новоодеський р-н;землі державної власності (запас);№8 від 02.02.2013
21;Підгірний;заказник;ландшафтний;114,96;Первомайський р-н;землі державної власності (запас);№8 від 02.02.2013
22;Черталківський;заказник;ландшафтний;159,02;Вознесенський р-н;землі державної власності, фізичні особи-землекористувачіна умовах оренди (Корецький М.М., Корецький О.М., Корецький С.М.);№8 від 02.02.2013
;Разом заказників ландшафтних;22;;4283,22;;;
1;Варюшино;заказник;лісовий;632;Веселинівський р-н;ДП “Веселинівське лісове господарство”;№623 від 25.12.79 
2;Дорошівка;заказник;лісовий;136;Вознесенський р-н;ДП “Вознесенське лісове господарство”;№448 від 23.10.84
3;Балабанівка;заказник;лісовий;510;м. Миколаїв;ДП «Миколаївське лісове господарство» ;№448 від 23.10.84
4;Мішково-Погорілове;заказник;лісовий;180;Жовтневий р-н;ДП «Миколаївське лісове господарство»;№448 від 23.10.84
5;Олександрівська дача;заказник;лісовий;465;Арбузинський р-н;ДП “Врадіївське лісове господарство”;№448 від 23.10.84
6;Новоселівка;заказник;лісовий;112,7;Арбузинський р-н;ДП «Вознесенське лісове господарство»;№448 від 23.10.84
7;Добра Криниця(БОТАНІЧНИЙ);заказник;лісовий;20;Баштанський р-н;ДП «Баштанське лісове господарство» ;№448 від 23.10.84
8;Вільне;заказник;лісовий;10;Братський р-н;ДП «Єланецьке лісове господарство»;№448 від 23.10.84
9;Володимирівська дача;заказник;лісовий;1298;Казанківський р-н;ДП «Володимирівське лісове господарство» ;№448 від 23.10.84
10;Байрак;заказник;лісовий;10;Первомайський р-н;;№448 від 23.10.84
11;Кам’яна Балка;заказник;лісовий;10;Первомайський р-н;землі державної власності (запас), ДП „Єланецьке лісове господарство”;№448 від 23.10.84
12;Мартинівське ;заказник;лісовий;145;Вознесенський р-н;землі державної власності (запас);№ 448 від 23.10.84
;Разом заказників лісових;12;;3528,7;;;
1;Івано-Кепіне;заказник;ботанічний;25,5;Снігурівський р-н;землі державної власності (запас);№ 336 від 16.12.87
2;Яковлівський ;заказник;ботанічний;142,7;Березнегуватський р-н;землі державної власності (запас);№ 336 від 16.12.87 №336 від 16.12.87
3;Пелагеївський;заказник;ботанічний;123,5;Новобузький  р-н;;№ 11 від 12.03.93 
4;Скобелівська балка;заказник;ботанічний;10;Казанківський р-н;землі державної власності (запас);№ 24 від 02.02.95
5;Мар’янівський;заказник;ботанічний;20;Казанківський р-н;землі державної власності (запас);№ 24 від 02.02.95
6;Лощина;заказник;ботанічний;15;Снігурівський р-н;землі державної власності (запас);№ 24 від 02.02.95
