№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;;;;;;
1. ;Дунайський ;біосферний заповідник ;;51547,9;Кілійський р-н, м. Вилкове, вул. Татарбунарського повстання, 132 а ;НАН України ;Укази Президента України від 10.08.98 р. № 861/98, від 02.02.04 р.№ 117/2004 ;;;;;
;Всього біосферних заповідників;1;;51547,9;;;;;;;;
1. ;Нижньодністровський;національний природний парк;;21311,1;Білгород-Дністровський, Біляївський та Овідіопольський райони; Мінприроди України ;Указ Президента України від 13.11. 08 р.    № 1033/2008;;;;;
2.;«Тузловські лимани»;національний природний парк;;27865;Татарбунарський район;Мінприроди України;Указ Президента України від 01.01.2010 р.    № 1/2010;;;;;
;Всього національних природних парків;2;;49176,1;;;;;;;;
1. ;«Петровський» ;заказник;загальнозоологічний;340;"Комінтернівський р-н, Красносільське лісництво кв. 1-5, урочище ""Петрівка"" ";ДП «Одеське лісове господарство» ;Постанова Ради Міністрів України                 від 28.10.74 р. № 500 ;;;;;
2. ;«Острів Зміїний»;заказник;загальнозоологічний;232;Кілійський р-н, о. Зміїний;КП «Острівне»;Указ Президента України від 09.12.98 р.              № 1341/98 ;;;;;
;Разом заказників загальнозоологічних;2;;572;;;;;;;;
1. ;«Савранський ліс» ;заказник;ландшафтний;8397;Савранський р-н, Савранське л-во        кв. 1-40, Слюсарівське л-во кв.1-3, 5-16, 19-71, Осичанського л-во  кв.1-34;ДП «Савранське лісове господарство» ;Постанова Ради Міністрів України                 від 28.10.74 р. №500, від 07.01.85 р. № 5;;;;;
;Разом заказників ландшафтних;1;;8397;;;;;;;;
1. ;«Коса Стрілка» ;заказник;орнітологічний ;394;Комінтернівський р-н, біля с. Петрівка, Петровський державний аграрний технікум ;Петровський державний аграрний технікум ;Постанова Ради Міністрів України                від 28.10.74 р. № 500, від 07.01.85 р. № 5 ;;;;;
;Разом заказників орнітологічних;1;;394;;;;;;;;
