№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;«Байдарський»;заказник;ландшафтний;24295;Розташований на південному заході Гірського Криму. З півдня на північ територія заказнику простирається на 15 км, з заходу на схід – на 22 км. На півдні територія заказнику охоплює північний макросхил головної Кримської гряди (межі стикуються з ландшафтним заказником загальнодержавного значення «Мис Айя»), виходить до Байдарського перевалу та проходить уздовж межі Ялтинського гірсько-лісового заповідника. Північніше цієї межі Байдарський заказник охоплює практично весь водозбір Чорної річки. На заході межа заказнику простирається від території заказнику «Мис Айя» по хребтам лівобережжя долини Сухої річки до гори Гасфорта. Звідти північна межа проходить по водороздільним хребтам до перевалу Бичку. Східна межа проходить по водороздільним хребтам, що оточують правобережні притоки Чорноріченської системи, до Ай-Петринської яйли на південному сході.Чорноріченське  лісництво: всі виділи в межах кварталів 1-4, 6-13, 16-36, 39-53, 55-66, 68-76, 78-81.Орлинівське лісництво: всі виділи в межах кварталів 1-6, 8, 10, 11, 14, 19, 24, 25, 27-62.Тернівське лісництво: всі виділи в межах кварталів 34, 36, 38, 39-41,43;"1. Державне підприємство «Севастопольське досвідне лісомисливське господарство» - на кв. 1-4, 6-13, 39-53, 55-56, 68-76, 78-81 Чорноріченського лісництва, кв. 1-6, 8, 10-11, 14, 19, 24-25, 27-62 Орлинівського лісництва, кв. 40-41, 43, 34, 36, 38-39 Тернівського лісництва2.  Виробниче управління водопровідно-каналізаційного господарства м.Севастополя(ГКП «Севміськводоканал» СМР) - Територія, прилегла до Чорноріченського водосховища3. Державне   підприємство «Куйбишевське   лісове господарство» - кв. 70-71 вид. 1-7, 9, 12, 15, 16; кв. 68 вид. 2, 8, 12-14; кв. 74 вид. 1-10; кв. 80 вид. 1-7, 9, 11; кв. 82 Соколинського лісництва; кв. 44 вид. 14, 17, 18, 20, 21; кв. 46 вид. 1, 13-18, 19-23; кв. 47 вид. 8-11, 13, 14; кв. 48 вид. 1, 12-17; кв. 49 в. 13, 16-22; кв. 50 вид. 1, 2, 5, 9; кв. 54 вид. 1-5, 8-19; кв. 56 вид. 2-6; кв. 57 вид. 1; кв. 62 вид. 1, 2, 4-6, 15, 19; кв. 66-86; кв. 52-54, 58, 60, 61 Куйбишевського лісництва4. Колективне сільськогосподарське підприємство Агрофірма «Красный октябрь» - Балаклавський район, м.Севастополь";Постанова Ради МіністрівУкраїнської РСР від 31.05.1990 р. № 120 “Про організацію ландшафтного державного заказника республіканського значення “Байдарський”  в м. Севастополі”
2;«Мис Айя»;заказник;ландшафтний;1340;Заказник «Мис Айя» розташований на крайньому заході Південного берегу Криму. Масив мису Айя утворений скелястою громадою Кокія-Кала. З півночі до неї примикає гора Самналих-Бурун, зі сходу – гора Куш-Кая, утворюючи єдину систему гірських хребтів. З заходу скелясте узбережжя переходить в урочище Аязьма. Природний комплекс заказнику «Мис Айя» включає сам мис Айя, урочища Аязьма та Батилиман, а також акваторію уздовж узбережжя, завширшки приблизно 300 м.Чорноріченське  лісництво: всі виділи в межах кварталів 54, 67, 77, 82, 83.Орлинівське лісництво: всі виділи в межах кварталу 9.;"Повна земельно-кадастрова інформація щодо складу землекористувачів (землевласників) відсутня. Охоронні зобов’язаняя оформлені:Державне підприємство «Севастопольське досвідне лісомисливське господарство» - Балаклавський район м.Севастополя на землях держлісфонду; кв. 54, 67, 77, 82, 83 Чорноріченського лісництва, кв. 9 та урочище «Батиліман» Орлинівського лісництва, прилегла акваторія Чорного моря завширшки 300 м.";Постанова Ради Міністрів Української РСР від 16.12.1982р. № 617  «Про доповнення переліку державних заказниківУкраїнської РСР»
3;«Мис Фіолент»;заказник;ландшафтний;31,7;"Межі заказника ""Мис Фіолент"" встановлені у державному акті  на право постійного користування земельною ділянкою, наданою в постійне користування в/ч А 1845 (НВЦ ЗСУ ""Державний океанаріум"") в районі м. Фіолент";Науково-дослідницький центр ЗСУ «Державний океанаріум»(в/ч А 1845) - Балаклавський район м.Севастополя, на південному сході Гераклейського півострова;Оголошено:Указ Президента Українивід 20.08.1996р. № 715/96 “Про оголошення територій і об'єктів природно-заповідного фонду загальнодержавного значення”.Примітка:Межі заказника встановлені державним актом на право постійного користування землею серії I-КМ № 005179, рег. № 876 від 08.10.1999р. з віднесенням земель до категорії земель природоохоронного призначення. Проект землеустрою з організації та встановлення меж заказнику не розроблено.
;Разом заказників ландшафтних;3;;25666,7;;;
1;«Бухта Козача»;заказник;загальнозоологічний;23,2;"Земельна ділянка, надана в постійне користування в/ч А 1845 (НВЦ ЗСУ ""Державний океанаріум"" України)  в  районі бухти Козачої з оформленням державного акту. При цьому межі та площа заказника ""Бухта Козача"" цілком збігаються з межами і площею зазначеної земельної ділянки, установлених державним актом на право користування землею.";Науково-дослідницький центр ЗСУ «Державний океанаріум»(в/ч А 1845) - Західний берег бухти Козачої;Указ Президента України від 09.12.1998р. № 1341/98 «Про території та об’єкти природно-заповідного фонду загальнодержавного значення».Примітка:Межі заказника установлені державним актом на право постійного користування землею серії II-КМ № 002761, рег. № 522 від 19.09.1997р. з віднесенням земель до категорії земель природоохоронного призначення.  Проект землеустрою з організації та встановлення меж заказнику не розроблено.
;Разом заказників загальнозоологічних;1;;23,2;;;
;Всього заказників загальнодержавного значення;4;;25689,9;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;4;;25689,9;;;
Території та об’єкти ПЗФ місцевого значення;;;;;;;
