№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Черемський;природний заповідник;;2 975,70;Маневицький район, Черемський природний заповідник;Черемський природний заповідник;Указ Президента України від 19.12.2001 №1234/2001 
;Всього природних заповідників;1;;2 975,70;;;
1;Шацький ;національний природний парк;;48 977,00;Шацький національний природний парк,ДП „Шацький учбово-досвідний лісгосп”;Шацький національний природний парк;Указ Президента України від 16.08.1999 № 992/99 
2;„Прип’ять-Стохід”;національний природний парк;;39 315,50;Любешівський р-н, ДП „Любешівське ЛМГ”, ДП СЛАП «Любешівагроліс», с/р;Національний природний парк „Прип’ять-Стохід”;Указ Президента України від 13.08.07 № 699/2007
3;«Цуманська пуща»;національний природний парк;;33 475,34;Ківерцівський р-н, ДП «Цуманське ЛГ», ДП МГ «Звірівське», ДП КСЛП «Ківерціліс», с/р;Ківерцівський національний природний парк «Цуманська пуща»;Указ Президента України від 22.02.2010 № 203/2010
;Всього національних природних парків;3;;121 767,84;;;
1; „Нечимне”;заказник;ландшафтний;40;Ковельський р-н, ДП „Ковельське ЛГ”, Скулинське л-во, кв.70;ДП „Ковельське ЛГ”;Постанова Ради Міністрів України від 25.02.80 №132
2; „Чахівський”;заказник;ландшафтний;72,9;Шацький р-н, ДП „Любомльське ЛГ”, Головненське л-во, кв.6, вид.6, вид.14,16,18,22-25, кв.7, вид.1,2,5;ДП „Любомльське ЛГ”;Указ Президента України від 10.12.1994 № 750/94 
3; „Мошне”;заказник;ландшафтний;73,3;Любомльський р-н, ДП „Любомльське ЛГ”, Згоранське л-во, кв.21, вид.5,6,8,11,12,14;ДП „Любомльське ЛГ”;Указ Президента України від 10.12.1994 № 750/94
4; „Згоранські озера”;заказник;ландшафтний;705,6;Любомльський р-н, с.Згорани;Любомльське МСЛП;Указ Президента України від 9.12.1998 № 1341/98 
5; „Кормин”;заказник;ландшафтний;549;Ківерцівський р-н, ДП „Цуманське ЛГ”, Берестян-ське л-во: кв.1, вид.1-6,13, кв.2, вид.1-10, кв.4, вид.19-31, кв.7, вид.40,41, кв.12, вид.1-19,43,49, кв.15, вид.25-33, 36-40, кв.20, вид.33, кв.21, 1-21, кв.25, вид.1-32, кв.29, вид.15-34, кв.35, вид.33-47, кв.36, вид.1-17, кв.44, вид.16-37, кв.43, вид.31-41, кв.52, вид.41-47;ДП „Цуманське ЛГ”;Указ Президента України від 10.12.1994 № 750/94
6; „Кручене озеро”;заказник;ландшафтний;75,9;Маневицький р-н, ДП „Городоцьке ЛГ”, Трояні вське л-во, кв.28, вид.20-23,26, кв.29, вид.1,5,7;ДП „Городоцьке ЛГ”;Указ Президента України від 10.12.1994 № 750/94 
7; „Джерела”;заказник;ландшафтний;90;Маневицький р-н, ДП „Маневицьке ЛГ”, Черевахівське л-во, кв.20, вид.3-6,9-11,15,16,18,25,26, кв.21, вид.;ДП „Маневицьке ЛГ”;Указ Президента України від 10.12.1994 № 750/94 
8; „Стохід”;заказник;ландшафтний;4 420,00;Камінь-Каширський і Маневицький райони;ДП „Камінь-Каширське ЛГ”„Городоцьке ЛГ”,с/р;Указ Президента України від 9.12.1998 № 1341/98 
;Разом заказників ландшафтних;8;;6 026,70;;;
1; „Воротнів”;заказник;ботанічний;600;Ківерцівський р-н, ДП „Ківерцівське ЛГ”, Луцьке л-во, кв.125-130,132-148;ДП „Ківерцівське ЛГ”;Постанова Ради Міністрів України від 3.08.78 № 383
2;„Втенський”;заказник;ботанічний;130;Шацький р-н, ДП „Шацьке УДЛГ”, Ростанське л-во, кв.13, вид.15, кв.14, вид.17, кв.20, вид.3, кв.21, вид.1,15;ДП „Шацьке УДЛГ”;Постанова Ради Міністрів України від 25.02.80 №132
3; „Вутвицький”;заказник;ботанічний;50;Камінь-Каширський р-н, ДП „Камінь-Каширсь-ке ЛГ”, Нуйнівське л-во, кв.22, вид.2-4,6-10,18-19,31;ДП „Камінь-Каширсь-ке ЛГ”;Постанова Ради Міністрів України від 25.02.80 №132
4; „Губине”;заказник;ботанічний;418;Локачинський р-н, ДП „Володимир-Волинське ЛМГ”, Губинс яке л-во, кв.12,13,18,20;ДП „Володимир-Волинське ЛМГ”;Указ Президента України від 10.12.1994 № 750/94 
5; „Софіянівський”;заказник;ботанічний;87,6;Маневицький р-н, ДП „Маневицьке ЛГ”, Софіянівське л-во, кв.8, вид.19, кв.9;ДП „Маневицьке ЛГ”;Указ Президента України від 10.12.1994 № 750/94 
6; „Урочище Суничник”;заказник;ботанічний;99;Маневицький р-н, ДП „Городоцьке ЛГ”, Борове л-во, кв.21, вид.17-22,24-26, кв.32, вид.1-11,13-15,17,18,39;ДП „Городоцьке ЛГ”;Указ Президента України від 10.12.1994 № 750/94 
;Разом заказників ботанічних;6;;1 384,60;;;
1; „Рись”;заказник;загально-зоологічний;320,5;Маневицький р-н, ДП „Городоцьке ЛГ”, Борове л-во, кв.3, вид.33-37, кв.6, вид.35,36, кв.7, кв.9 ;ДП „Городоцьке ЛГ”;Постанова Ради Міністрів України від 2.06.90 № 123
;Разом заказників загальнозоологічних;1;;320,5;;;
;Всього заказників загальнодержавного значення;15;;7 731,80;;;
1;„Горинські крутосхили”;пам`ятка природи;комплексна;30;Ківерцівський р-н, ДП „Цуманське ЛГ”, Горинсь-ке л-во: кв.39,вид.24,26,27,30,32,33,37,40,41,46,47;ДП „Цуманське ЛГ”;Постанова Ради Міністрів України від 3.08.78 № 383
;Разом пам`яток природи комплексних;1;;30;;;
2;„Озеро Святе”;пам`ятка природи;гідрологічна;44;Ратнівський р-н, ДП „Ратнівське ЛМГ”, Заболотівське л-во, кв.21, вид.10;ДП „Ратнівське ЛМГ”;Розпорядження Ради Мін. України від 14.10.75 №780
3;„Озеро Добре”;пам`ятка природи;гідрологічна;46;Камінь-Каширський р-н, ДП „Камінь-Каширське ЛГ”, Нуйнівське л-во, кв.5, вид.23;ДП „Камінь-Каширське ЛГ”;Розпорядження Ради Мін. України від 14.10.75 №780
;Разом пам`яток природи гідрологічних;2;;90;;;
;Всього пам`яток природи загальнодержавного значення;3;;120;;;
1;Луцький ботанічний сад «Волинь»;ботанічний сад;;10;м.Луцьк, вул.К.Савура;"Волинський державний університет (дендрарій пл..2 га); Луцька м/р (пл..8га)";Розпорядження Ради Мін. України від 14.10.75 №780
;Всього ботанічних садів загальнодержавного значення;1;;10;;;
1;„Байрак”;парк-пам`ятка садово-паркового мистецтва;;13;Луцький р-н, смт.Рокині;Музей історії сільського господарства Волині;Указ Президента України № 715/96 від 20.08.1996
2;„Здоров’я”;парк-пам`ятка садово-паркового мистецтва;;13,6;Турійський р-н, смт.Луків;Тублікарня ст.Мацеїв Львівської залізниці;Указ Президента України № 715/96 від 20.08.1996
3;„Дубечнівський”;парк-пам`ятка садово-паркового мистецтва;;2;Старовижівський р-н, ДП „Старовижівське ЛГ”, Дубечнівське л-во. кв.29, вид.24, кв.30, вид.27;ДП „Старовижівське  ЛГ”;Указ Президента України № 715/96 від 20.08.1996
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;3;;28,6;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;26;;132633,94;;;
Території та об`єкти ПЗФ місцевого значення;;;;;;;
1; „Березовий гай”;заказник;ландшафтний;36,7;Володимир-Волинський р-н, с.Лудин;;Рішення облради від 17.03.94 № 17/19
2; „Мочиська”;заказник;ландшафтний;127;Володимир-Волинський р-н, ДП „Володимир-Волинське ЛМГ”, Устилузьке л-во, кв.29;ДП „Володимир-Волинське ЛМГ”;Рішення облради від 20.12.93 № 16/6
3; „Луга-Рачинська”;заказник;ландшафтний;32;Горохівський р-н, с.Рачин;Рачинська сільська рада;Рішення облради від 17.03.94 № 17/19
4; „Заставненський”;заказник;ландшафтний;156,8;Іваничівський р-н, с.Заставне;Заставненська сільська рада;Розпорядження облдержадміністрації від 12.12.95 № 213
5; „Бузаки”;заказник;ландшафтний;81,8;Камінь-Каширсьий р-н, ДП СЛАП «Камінь-Каширськагроліс», Полицівське л-во, кв.46, вид.2-15,18-30,34-37,39-43,45-48;ДП СЛАП «Камінь-Каширськагроліс»;Рішення облвиконкому від 31.10.91 № 226
6; „Качинський”;заказник;ландшафтний;64;Камінь-Каширський р-н, с. Качин;Качинська сільська рада;Розпорядження облдержадміністрації від 26.05.92 № 132
7; „Свято-Бузаківський”;заказник;ландшафтний;2 704,90;Камінь-Каширсьий р-н, ДП СЛАП «Камінь-Каширськагроліс», Полицівське л-во, кв.10,11, Сошичненське л-во, кв.1,2, Бузаківськие л-во, кв.25-45,58-63;ДП СЛАП «Камінь-Каширськагроліс»;Розпорядження облдержадміністрації від 26.05.92 № 132
8; „Мішеч”;заказник;ландшафтний;68;Камігь-Каширський р-н, с.Воєгоща;КСП „Воєгощанське”;Розпорядження облдержадміністрації від 26.05.92 № 132
9; „Сірче”;заказник;ландшафтний;194,7;Камінь-Каширський р-н, с.Добре, ДП СЛАП «Камінь-Каширськагроліс»;ДП СЛАП «Камінь-Каширськагроліс»;Розпорядження облдержадміністрації від 26.05.92 № 132
10; „Прирічний”;заказник;ландшафтний;676;Ковельський р-н, ДП „Ковельське ЛГ”, Скулинське л-во, кв.40-42,67-69 ;ДП „Ковельське ЛГ”;Рішення облради від 17.03.94 № 17/19
11; „Волошки”;заказник;ландшафтний;1 255,00;Ковельський р-н, ДП „Ковельське ЛГ”, Ковельське л-во, кв.6-20 ;ДП „Ковельське ЛГ”;Розпорядження облради від 20.12.93 № 15/6
12; „Радовичівський”;заказник;ландшафтний;33;Ковельський р-н, ДП „Ковельське ЛГ”, Радовичівське л-во, кв.22, вид.1 ;ДП „Ковельське ЛГ”;Розпорядження облради від 3.03.93 № 18-р
13; „Скулинський;заказник;ландшафтний;150;Ковельський р-н, ДП „Ковельське ЛГ”, Скулинське л-во, кв.63,66;ДП „Ковельське ЛГ”;Розпорядження облради від 3.03.93 № 18-р
14; „Літинський”;заказник;ландшафтний;160;Ковельський р-н, ДП „Ковельське ЛГ”, Радовичівське л-во, кв.15,16 ;ДП „Ковельське ЛГ”;Розпорядження облради від 3.03.93 № 18-р
15; „Калинівські кринички”;заказник;ландшафтний;51,1;Ковельський р-н, с.Калинівка, с.Люблинець;Люблинецька, Старокошарівська с/р;Рішення облради від 30.05.2000 № 12/3
16; „Стохід”;заказник;ландшафтний;1 572,00;Ковельський р-н, Ковельське СЛАП „Тур”, Черемошнянське л-во, кв.84,102,129,130,148, Поворське л-во, кв.177,188,199,200,215,221,226;Ковельське СЛАП „Тур”;Рішення облради від 10.02.95 № 3/5
17; „Кашівський”;заказник;ландшафтний;285,5;Маневицький р-н, ДП „Ковельське ЛГ”, Кашівське л-во, кв.29, вид.7,8, кв.15, вид.7, кв.34, кв.44, вид.21, кв.38, вид.6-8, кв.42, вид.10,11, кв.32, вид.1,16,19;ДП „Ковельське ЛГ”;Розпорядження облради від 3.03.93 № 18-р
18; „Градиський”;заказник;ландшафтний;589;Маневицький р-н, ДП „Городоцьке ЛГ”, Градиське л-во, кв.13,14,20,21, вид.1-20, Городоцьке л-во, кв.27, Новорудське л-во, кв.54, вид.7,12,20;ДП „Городоцьке ЛГ”;Розпорядження облдержадміністрації від 12.02.97 № 94
19; „Осницький”;заказник;ландшафтний;1 400,20;Маневицький р-н, ДП „Колківське ЛГ”, Осницьке л-во, кв.27, кв.28, вид.27,35-39,41,42, кв.31-35,39-42,46,47;ДП „Колківське ЛГ”;Рішенням облради від 30.05.2000 № 12/3, розширений рішенням облради від 27.12.2006 № 7/29 на 743,2 га. 
20; „Граддівський”;заказник;ландшафтний;860,6;Маневицький р-н, ДП „Колківське ЛГ”, Граддівське л-во, кв.20,21,28-31, кв.32, вид.1,2,17,24, кв.40-42;ДП „Колківське ЛГ”;Рішенням облради від 18.08.2000 № 13/6, розширений рішенням облради від 27.12.2006 № 7/29 на 379,6.
21; „Красновільський”;заказник;ландшафтний;192;Маневицький р-н, ДП „Колківське ЛГ”, Тельчівське л-во, кв.35,36;ДП „Колківське ЛГ”;Рішення облради 27.12.2006 № 7/29
22; „Рудниківський”;заказник;ландшафтний;376;Маневицький р-н, ДП „Колківське ЛГ”, Рудниківське л-во, кв.39-41;ДП „Колківське ЛГ”;Рішення облради 27.12.2006 № 7/29
23; „Бистряки”;заказник;ландшафтний;488;Любомльський р-н, ДП „Любомльське ЛГ”, Мозирське л-во, кв.26,57-59;ДП „Любомльське ЛГ”;Рішення облради від 20.12.93 № 16/6
24; „Замлишщина”;заказник;ландшафтний;687;Любомльський р-н, ДП „Любомльське ЛГ”, Любомльське л-во, кв.56-59,64,65;ДП „Любомльське ЛГ”;Рішення облради від 7.03.2001 № 16/11
25; „Чернявське”;заказник;ландшафтний;262;Ратнівський р-н, ДП „Ковельське ЛГ”, Замшанське л-во, кв.39-41;ДП „Ковельське ЛГ”;Розпорядження облдержадміністрації від 16.10.96 № 551
26; „Королівка”;заказник;ландшафтний;1 102,50;Камінь-Каширський р-н, ДП „Камінь-Каширське ЛГ”, ;ДП „Камінь-Каширське ЛГ”;Рішення облради від 3.12.2002 № 4/5
27; „Майдан”;заказник;ландшафтний;662,6;Маневицький р-н, ДП „Городоцьке ЛГ”;ДП „Городоцьке ЛГ”;Рішення облради від 3.12.2002 № 4/5
