№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.;«Кам’яні могили» (частина ПЗ Український степовий – Донецька обл.);природний заповідни;;100;Куйбишевський р-н, Шевченківська сільська рада, по кордону з Донецькою областю;Академія наук України;Постанова Ради Міністрів України від 08.05.1964р. №451
;Всього природних заповідників;0;;100;;;
1;«Великий Луг»;національний природний парк;;16756;Василівський район, м. Дніпрорудне, с. Скельки, Маячка, акваторія Каховського водосховища;Адміністрація НПП;Указ Президента України від 10.08.2006 № 121/2006
2;«Приазовський національний природний парк»;національний природний парк;;78126,92;Бердянський, Мелітопольський, Приазовський райони, міста Бердянськ та Мелітополь;Адміністрація НПП;Указ Президента України від 10.02.2010 №154/2010
;Всього національних природних парків;2;;94882,92;;;
1;«Молочний лиман»;заказник;гідрологічний;19000;Якимівський, Мелітопольський, Приазовський райони;Райдержадміністрації відповідних районів;Постанова Ради МіністрівУкраїни від 28.10.1974р. №500 повністю увійшов до складу Приазовського НПП
1;Разом заказників гідрологічних;1;;19000;;;
1;«Дніпровські пороги»;заказник;загальногеологічний;1383;м. Запоріжжя, о.Хортиця, о.Байда та скелі посеред р.Дніпро;Національний заповідник «Хортиця»;Постанова Ради МіністрівУкраїни від 28.10.1974р. №500
;Разом заказників загальногеологічних;1;;1383;;;
1;«Алтагірський»;заказник;загальнозоологічний;950;Якимівський р-н, околиця с.Радивонівка, Богатирське лісництво, кв. від 1 до 117,  без кв. 33, 40, 47, 54, 61;ДП «Мелітопольське лісомисливське господарство»;Постанова Ради МіністрівУкраїни від 28.10.1974р. №500
1;Разом заказників загальнозоологічних;1;;950;;;
1;«Старобердянський»;заказник;ландшафтний;993;Мелітопольський р-н с.НовоПилипівка по лівому березі р.Молочна;ДП «Мелітопольське лісомисливське господарство»;Ради МіністрівУкраїни від 28.10.1974р. №500, Рішення Запорізької облради від 25.07.1989 № 205 (зміна площі)
2;«Заплава р.Берда»;заказник;ландшафтний;1416,9;Бердянська міська рада  - 564,6 га, ДП «Бердянське лісове господарство» - 620 га, Нововасилівська с/р - 232,3 га;Бердянська міська рада, ДП «Бердянське лісове господарство», Нововасилівська с/р;Указ Президента України від 10.12. 1994р. №750/94 частково увійшов до складу Приазовського НПП
3;«Сівашик»;заказник;ландшафтний;2800;Якимівський р-н на Схід від с.Атманай;Атманайська сільська рада народних депутатів Якимівського р-ну;Указ Президента України від 20.08.1996р. №715/96 повністю увійшов до складу Приазовського НПП
4;«Коса Федотова»;заказник;ландшафтний;1910;Якимівський р-н, на захід від с.м.т. Кирилівка, півострів Азовського моря;Кирилівська сільська рада народних депутатів Якимівського р-ну;Указ Президента України від 20.08.1996р. №715/96 повністю увійшов до складу Приазовського НПП
5;«Коса Обіточна»;заказник;ландшафтний;8863;Приморський р-н, Приморське лісництво ДП «Приморське ЛГ», кв. № 1-56;ДП «Приморське ЛГ»;Постанова Ради Міністрів України від 11.09.1980 № 524
6;«Крутосхили  Каховського водосховища» (522,2 га);заказник;ландшафтний;522,2;Василівський р-н,Василівська райрада - 270,2га, Запорізке обласне управління лісового та мисливського господарства - 192го кв. кв. 17 - 20, Скельківська    сільська  рада  -  60  га;Василівська райрада, Запорізке обласне управління лісового та мисливського господарств, Скельківська сільська рада;Указ Президента України від 21.02.2002р. № 167/2002 частково увійшов до складу НПП «Великий Луг»
7;«Урочище Білозірське»;заказник;ландшафтний;390;Кам’янсько Дніпровський р-н, АТ племзавод «Степной» 130га, АРК «Прибой»- 80га,ДП «Кам’янсько Дніпровське лісове господасртво» - 180га  14кв.;АТ племзавод «Степной», АРК «Прибой», Кам`янко-Дніпровський держлісгосп;Указ Президента Укрсїни від 21.02.2002р. №167/2002
7;Разом заказників ландшафтних;7;;16895,1;;;
1;«Радіонівський»;заказник;лісовий;370;Якимівський р-н, с.Радивонівка, правий берег Молочного лиману, Богатирське лісництво, кв. № 76 -108;ДП «Мелітопольське лісомисливське господарство»;Ради МіністрівУкраїни від 28.10.1974р. №500, Рішення Запорізької облради від 25.07.1989 № 205 (зміна площі)
1;Разом заказників лісових;1;;370;;;
1;«Великі і Малі Кучугури» (400 га);заказник;орнітологічний;400;Василівський р-н, Каховське водосховище, Василівське лісництво Запорізького держлісгоспу;ДП «Запорізьке лісомисливське господарство»;Постанова Ради Міністрів України від 28.10.1974р. №500 частково увійшов до складу НПП «Великий Луг»
;Разом заказників орнітологічних;1;;400;;;
12;Всього заказників загальнодержавного значення;12;;38998,1;;;
1;«Балка Бальчанська»;пам`ятка природи;ботанічна;28;Вільнянський р-н, біля с.Орловське і Ворварівка;Дніпровська с.р.;Розпорядження Ради Міністрів УРСР від 14.10.1975р. №780-Р
2;«Балка Россоховата»;пам`ятка природи;ботанічна;27;Вільнянський р-н, на північ від с.Ясинувате;Дніпровська с.р.;Розпорядження Ради Міністрів УРСР від 14.10.1975р. №780-Р
