№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Поліський ;природний заповідник;;20104;Овруцький район, с. Селезівка, Копищанське і Перганське лісництва ДП “Олевське ЛГ” та Селезівське лісництво ДП “Словечанське ЛГ”;Поліський природний заповідник  Житомирського обласного управління лісового та мисливського господарства;Постанова РМ УРСР від 12.11.1968 р. №584
2;«Древлянський»;природний заповідник ;;30872,84;"Народицький район, ДП «Народицький спецлісгосп», Народицьке лісництво – 8294 га, Кліщівське лісництво – 5034 га, Заліське лісництво – 3495 га (всього – 16823 га); ДП «Народицький лісгосп АПК», Радчанське лісництво – 57,7 га (всього – 57, 7 га); землі запасу Народицької селищної ради, в тому числі землі населених пунктів – 753,6 га, сіножаті – 3919,14 га, пасовища – 5798 га (усього –      10470,74 га); землі запасу Мотійківської сільської ради, в тому числі землі населених пунктів – 78,3 га, сіножаті – 216,7 га, пасовища – 204,5 га, пасовища радіоактивно забруднені – 13,9 га, сіножаті радіоактивно забруднені – 159,9 га (всього – 673,3 га); землі запасу Селецької сільської ради, в тому числі землі населених пунктів –    18,3 га, сіножаті – 231,1 га, пасовища – 132 га, заболочені землі – 15,5 га, чагарники – 21 га (усього – 418,1 га); 2430 га радіоактивно забруднених земель, що знаходяться в розпорядженні Народицької районної ради (всього – 2430 га)";Міністерство екології та природних ресурсів України;Указ Президента України від 11.12.09 №1038/2009 «Про створення природного заповідника «Древлянський»
;Всього природних заповідників;2;;50976,84;;;
1;Плотниця;заказник;ландшафтний;460;Олевський р-н,  ДП “Білокоровицьке ЛГ”, Замисловицьке лісництво, кв. 1, 2, 5, 6, 7; ДП “Білокоровицьке ЛГ”;Постанова РМ УРСР від 25.02.1980 р. №132
;Разом заказників ландшафтних;1;;460;;;
2;Поясківський;заказник;лісовий;113;Олевський р-н, ДП “Білокоровицьке ЛГ”,  Поясківське лісництво,     кв. 12; ДП “Білокоровицьке ЛГ”   ;Постанова РМ УРСР від 28.10.1974 р. №500
3;Туганівський;заказник;лісовий;245;Новоград-Волинський р-н, ДП “Новоград-Волинське ДЛМГ”, Ярунське лісництво, кв. 20, 21, 23, 25, 26; ДП “Новоград-Волинське ДЛМГ”;Постанова РМ УРСР від 28.10.1974 р. №500
;Разом заказників лісових;2;;358;;;
4;Городницький;;ботанічний;352;Новоград-Волинський р-н, ДП “Городницьке ЛГ”, Городницьке лісництво, кв. 34, 35, 36; ДП “Городницьке ЛГ”;Постанова РМ УРСР від 28.10.1974 р. №500
