;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Карадазький;природний заповідник;;2874.17;98188 м. Феодосія,сел. Курортне;НАН України;Постанова РМ УССРвід 9.08. 1979 р. № 386
2;Кримський;природний заповідник;;44175.5;м. Алушта;Державне управліннясправами ПрезидентаУкраїни;Постанова РМ УССРвід 9.06. 1991 р. № 64
3;"""МисМарт'ян""";природний заповідник;;240;м. Ялта,сел. Нікіта;НБС ННЦ;Постанова РМ УССРвід 20.02.1973 р. № 84
4;ЯлтинськийГЛ;природний заповідник;;14523;м. Ялта;ДЛМГ Кримліс;Постанова РМ УССРвід 20.02.1973 р. № 84
5;Казантипський;природний заповідник;;450.1;98213 Ленінський р-н,м. Щолкіне;Мінприроди України;Указ Президента України від12.05.1998 р. № 458/98
6;Опукський;природний заповідник;;1592.3;Ленінський р-н,с. Яковенкове,вул.. Чорноморська, 1а;Мінприроди України;Указ ПрезидентаУкраїни від12.05.1998 р. № 458/98
;Всього природних заповідників;6;;63855.07;;;
1;Чарівна гавань;національний природний парк;;10900;Чорноморський район Оленьовський с/р Окуньовська с/р ;Мінприроди України;Указ ПрезидентаУкраїни від11.12.2009 р. № 1037/2009
;Всього національних природних парків;1;;10900;;;
1;Аю-Даг;заказник;ландшафтний;527;Запрудниньське л-во, кв.32 сел. Партеніт;ДП «Алуштинське ЛГ»;Пост. РМ УРСР від 28.10.1974 р. № 500
2;Великий каньйон Криму;заказник;ландшафтний;300;Бахчисарайський р-н, Соколинівське л-во;ДП «Куйбишевське ЛГ»;Пост. РМ УРСР від 28.10.1974 р. № 500
3;Плакуча скеля;заказник;ландшафтний;21.7;Сімферопольський р-н, с. Пожарське;Пожарська с/р;Пост. РМ УРСР від 13.02.1989 р. № 53
;Разом заказників ландшафтних;3;;848.7;;;
1;Арабатський;заказник;ботанічний;600;Ленінський р-н,с. Кам'янка;"СПГ ""Семісотка""";Пост. РМ УРСР від 28.10.1974 р. № 500
2;"Урочище ""Карабі-Яйла""";заказник;ботанічний;491;Новокленівське л-во, кв. 74,75,84-86;ДП «Білогірське ЛГ»;Пост. РМ УРСР від 03.08.1978 р. № 383
3;Канака;заказник;ботанічний;160;Привітненське л-во,                кв. 38-40;ДП «Судакське ЛМГ»;Пост. РМ УРСР від 07.01.1987 р. № 2
4;"Урочище ""Кубалач""";заказник;ботанічний;526;Білогірський р-н, с. Мелихово, Пристепне л-во кв. 25,26,28,29,32,33.;ДП «Білогірське ЛГ»;Пост. РМ УРСР від 03.08.1978 р. № 383
5;Новий Світ;заказник;ботанічний;470;Судакське л-во кв.42-46,67;ДП «Судакське ЛМГ»;Пост РМ УРСРвід 28.10.1974 р. № 500
6;Мале філофорне поле;заказник;ботанічний;38500;Акваторія Чорного моря;Науково-дослідна установа «Український науковий центр екології моря» Міністерства екології та природних ресурсів України;Указ Президента Українивід 31.08.2012 р. № 527/2012
;Разом заказників ботанічних;6;;40747;;;
1;Астанінські плавні;заказник;орнітологічний;50;Ленінський р-н, с. Астаніне;;Пост. РМ УРСРвід 28.10.1974 р. № 500
2;Каркінітський;заказник;орнітологічний;27646;Акваторія Чорного моря, Роздольненський р-н, Красноперекопський р-н;Кримський ПЗ;Пост. РМ УРСР від 11.01.1978 р. № 43
;Разом заказників орнітологічних;2;;27696;;;
