№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
;Український степовий: Хомутовський степ;природний заповідник;;1030.4;Новоазовський р-н,  с. Хомутове;Український степовий природний заповідник;Постанова Маріупольського Окрвиконкому від 24.08.26  Постанова РМ УРСР №1118 від 22.07.61 
;Український степовий: Кам’яні Могили;природний заповідник;;289.2;Володарський р-н,;Український степовий природний заповідник;Постанова Президії Маріупольського Окрвиконкому від 05.04.27, постанова РМ УРСР №1118 від 22.07.61
;Український степовий: Крейдяна флора  ;природний заповідник;;1134;Новокраснівська сільска рада, біля с. Назарівка Слов’янський р-н, біля с. Піскунівка,      Краснолиманський р-н , біля с. Закітне та с. Крива Лука Слов’янський (634,0 га) та Краснолиманський р-ни (500,0 га);Український степовий природний заповідник;Розпорядження РМ УРСР №310 - Р від 14.07.88  
;Український степовий: Кальміуське;природний заповідник;;579.6;Тельманівський р-н, с.Стара Ласпа;Український степовий природний заповідник;Указ Президента України від 19.08.08 №723/2008
;Всього природних заповідників;1;;3033.2;;;
1;Святі Гори;національний природний парк;;40605.5;Слов’янський та Краснолиманський р-ни, м. Слов’яногірськ;"Слов’янський р-н, ДП ""Слов'янське лісове господарство"", Долинська сільська рада       Краснолиманський р-н, Краснолиманська міська рада, Криволуцька сільська рада, м. Святогірськ";Указ Президента України №135/97 від 13.02.97, 
2;Меотида;національний природний парк;;20720.9531;Володарський, Новоазовський та Першотравневий райони;ДП «Приазовське лісове господарство», Володарська райдержадміністрація, риболовецьке колективне господарство «Прибой», Новоазовська райдержадміністрація;Указ Президента України № 1099/2009 від 25.12.09
;Всього національних природних парків;2;;61326.4531;;;
1;Бердянський;заказник;лісовий;413;"Амвросіївський р-н, ДП «Амвросіївське лісове господарство», Благодатнівське л-во, кв. 10-14; Степано-Кринське л-во, кв.31-35";ДП «Амвросіївське лісове господарство» ;Постанова РМ УРСР №500 від 28.10.74
2;Великоанодольський;заказник;лісовий;2543;Волноваський р-н,ДП «Великоанодольське лісове господарство», Великоанодольське л-во, кв. 1-90;ДП «Великоанодольське лісове господарство»;Постанова РМ УРСР №500 від 28.10.74
;Разом заказників лісових ;2;;2956;;;
1;Білосарайська коса;заказник;ландшафтний;616;Першотравневий р-н, ДП «Приазовське лісове господарство», Стародубівське л-во,  кв. 51-58, акваторія Азовського моря –200,0 га;ДП «Приазовське лісове господарство»;Постанова РМ УРСР №132 від 25.02.80 
;Разом заказників ландшафтних ;1;;616;;;
1;Роздольненський;заказник;геологічний;100;Старобешівський р-н, с. Роздольне;Роздольненська сільська рада;Постанова РМ УРСР №500 від 28.10.74 
;Разом заказників геологічних;1;;100;;;
1; «Приазовський чапельник»;заказник;орнітологічний;100;Першотравневий р-н, смт. Ялта, ;Першотравнева районна рада;Указ Президента України №1207/2000 від 04.11.2000 
2; «Єланчанські бакаї»;заказник;орнітологічний;289;Новоазовський р-н, с. Самсонове;ДП «Тельманівське лісове господарство», АЦ № 27 ДП «Ілліч-Агро Донбас»;Указ Президента України №167/2002 від 21.02.2002  
3;«Бакаї Кривої коси»;заказник;орнітологічний;567.6; Новоазовський р-н, смт Сєдове;ДП «Тельманівське лісове господарство», Седовська селищна.рада;Указ Президента України №167/2002 від 21.02.2002  
;Разом заказників орнітологічних ;3;;956.6;;;
;Всього заказників загальнодержавного значення;7;;4628.6;;;
1;Дружківські закам’янілі дерева;пам`ятка природи;Геологічна;1;Костянтинівський р-н, смт Олексієво-Дружківка;Кондратівська сільська рада;Розпорядження РМ УРСР №780 - р від 14.10.75 
2;Клебан - Бицьке відслонення;пам`ятка природи;Геологічна;60;Костянтинівський р-н, лівий берег Клебан-Бикського водосховища;Іллічівська сільська рада;Розпорядження РМ УРСР №780 - р від 14.10.75 
3;Балка Кровецька;пам`ятка природи;Геологічна;15;Костянтинівський р-н, східна околиця с. Іванопілля;Іванопільська сільська рада;Розпорядження  РМ УРСР 780 - р від №14.10.75 
4;Новокатеринівське відслонення;пам`ятка природи;Геологічна;10;Старобешівський р-н,с. Новокатеринівка;Осиківська сільська рада;Розпорядження РМ УРСР №780 - р від 14.10.75 
5;Стильське відслонення ;пам`ятка природи;Геологічна;25;Старобешівський р-н, с. Стила, берег Стильського водосховища;Стильська сільська рада;Розпорядження РМ УРСР №780 - р від 14.10.75
;Разом пам`яток природи геологічних;5;;111;;;
1;Балка Гірка;пам`ятка природи;Ботанічна;4;Амвросіївський р-н,   ДП «Амвросіївське лісове господарство» Амвросіївське л-во, кв. 22, в. 8;ДП «Амвросіївське  лісове господарство»;Розпорядження РМ УРСР №780 - р від 14.10.75 
2;Маяцька дача;пам`ятка природи;Ботанічна;18;Слов’янський р-н,  ДП «Слов’янське лісове господарство», Маяцьке л-во, кв. 114;ДП «Слов’янське лісове господарство»;Розпорядження РМ УРСР №780 - р від 14.10.75 
3;Урочище Грабове;пам`ятка природи;Ботанічна;41;Шахтарський р-н, , ДП «Торезьке лісове господарство», Торезьке л-во, кв. 1 ;ДП «Торезьке лісове господарство»;Рішення виконкому обласної ради  № 310 від 21. 06. 72 та  Розпорядженн Р М УРСР №780 - р від 14.10.75 
;Разом пам`яток природи ботанічнх;3;;63;;;
1;Озеро Ріпне;пам`ятка природи;Гідрологічна;32;м. Слов’янськ;ЗАТ лікувально-оздоровчих закладів профспілок України «Укрпрофоздоровниця», дочірнє підприємство «Слов`янська гідрологічна режимно-експлуатаційна станція”;Розпорядження РМ УРСР №780 - р від 14.10.75
2;Озеро Сліпне;пам`ятка природи;Гідрологічна;30;м. Слов’янськ;ЗАТ лікувально-оздоровчих закладів профспілок України «Укрпрофоздоровниця», дочірнє підприємство «Слов`янська гідрологічна режимно-експлуатаційна станція”;Розпорядження РМ УРСР №780 - р від 14.10.75 
;Разом пам`яток природи гідрологічних;2;;62;;;
;Всього пам`яток природи загальнодержавного значення;10;;236;;;
1;Донецький ботанічний сад;ботанічний сад;;203;На північному сході м. Донецька;Донецький ботанічний сад НАН України;Постанова РМ та ЦК КП Української РСР № 805 від 28.07.64, Постанова РМ УРСР №311 від 22.07.83, Указ Президента України № 1392/2004 від 10.11.2004
;Всього ботанічних садів загальнодержавного значення;1;;203;;;
;Вссього територій та об`єктів ПЗФ загальнодержавного значення;21;;69427.2531;;;
Території та об`єкти місцевого значення;;;;;;;
