№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
; «Горгани»;Природний заповідник;;5344,2;Надвірнянський район,  Бистрицька та Зеленська сільські ради;Міністерство еколгії  та природних ресурсів України;Указ Президента України   від 12.09.1996 р.   № 831/96
;Всього природних заповідників;1;;5344,2;;;
;Карпатський;національний природний парк;;50495;Яремчанська міська рада;Міністерство еколгії  та природних ресурсів України;Постанова РМ УРСР від 03.06.1980 р. № 376
;«Гуцульщина»;національний природний парк;;32271;Косівський район;Міністерство еколгії  та природних ресурсів України;Указ Президента України   від 14.05.2002 р.   № 456/2002
;Галицький;національний природний парк;;14684,8;Галицький район;Держкомлісгосп України;Указ Президента України   від 09.08.2004 р.   № 877/2004
;«Синьогора»;національний природний парк;;10866;Богородчанський район;;Указ Президента України   від 21.12.2009р.   № 1083/2009
;«Верховинський»;національний природний парк;;12022,9;Верховинський район;Міністерство еколгії  та природних ресурсів України;Указ Президента України   від 22.01.2010 р.   № 58/2010
;Всього національних природних парків;5;;120339,7;;;
; «Грофа»;заказник ;ландшафтний;2533,8;"Рожнятівський район,  Довгополянське   лісництво,кв.21,36,38;  Менгільське лісництво, кв.8,13,22,23,26; Осмолодське лісництво, кв.30,31,36;  Різарнянське лісництво, кв.12;  Піскавське лісництв, кв.39";ДП «Осмолодський держлісгосп»;Указ Президента України   від 20.08.1996 р.   № 715/96
; «Козакова долина»;заказник ;ландшафтний;953;Тисменицький район,  Дністровське лісництво, кв.3-16;ДП «Івано-Франківський держлісгосп»;Постанова РМ УРСР від 16.12.1982 р. № 617
;Разом заказників ландшафтних;2;;3486,8;;;
; «Урочище «Скит Манявський»;заказник ;лісовий;362;Богородчанський район,  Манявське лісництво,   кв. 32-37;ДП «Солотвинський держлісгосп»;Постанова РМ УРСР від 16.12.1982 р. № 617
; «Бредулець-кий»;заказник ;лісовий;106;"Надвірнянський район,  Зеленське лісництво,   кв.5, вид.1-6; 8-23; 25";ДП «Надвірнянський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р.№ 500
;Разом заказників лісових;2;;468;;;
; «Яйківський»;заказник ;ботанічний;263;Рожнятіваський район,  Мшанське лісництво,   кв.35, вид.1-71;ДП «Осмолодський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р. № 500
; «Тавпишир-ківський»;заказник ;ботанічний;424;Надвірнянський район,  Бистрицьке лісництво,   кв. 36,39,53,57;ДП «Надвірнянський держлісгосп»;Постанова РМ УРСР    від 28.10.1974 р.№ 500
; «Кливський»;заказник ;ботанічний;111,5;"Надвірнянський район,  Любіжнянське лісництво,   кв.20, вид.4-8;  12-17; 24 -28; 30; 31; 33-38";ДП «Делятинський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р. № 500
; «Княждвірсь-кий»;заказник ;ботанічний;208;Коломийський район,  Печеніжинське лісництво   кв.1-3,6,7  ;ДП «Коломийський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р. № 500
;Разом заказників ботанічних;4;;1006,5;;;
;«Пожератульський»;заказник;орнітологічний;207,5;"Надвірнянський район,  Поляницьке лісництво, кв.35, вид. 2, 8, 10, 11; кв.36, вид. 4, 5, 6, 9; кв. 37, вид.1-6, 12-17, кв. 38, вид.18, 19, 22, 29";ДП «Делятинський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р. № 500 (внесені зміни Постановою РМ УРСР   № 5 від 07.01.1985 р.)
;Разом заказників орнітологічних;1;;207,5;;;
;«Турова дача»;заказник;гідрологічний;255;Рожнятівський район,  Краснянське лісництво, кв. 8,9,10;ДП «Осмолодський держлісгосп»;Постанова РМ УРСР від 28.10.1974 р.№ 500
;Разом заказників гідрологічних;1;;255;;;
;Всього заказників загальнодержавного значення;10;;5423,8;;;
; «Скелі Довбуша»;пам`ятка природи;комплексна;100;Долинський район,  Поляницьке ллісництво, кв. 9,14;ДП «Болехівський держлісгосп»;Постанова РМ УРСР від 30.03.1981 р. № 145
; «Урочище  «Верхнє Озерище»;пам`ятка природи;комплексна;48;"Надвірнянський район,  Річанське лісництво, кв.20, вид.23-33; кв. 23, вид.32-34, кв.24, вид. 1";ДП «Надвірнянський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;«Касова гора»;пам`ятка природи;комплексна;65;Голицький район  с. Бовшів;Бовшівська сільська рада;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;Разом пам`яток природи комплексних;3;;213;;;
; «Урочище  Масьок»;пам`ятка природи;ботаннічна;18;Городенківський район,   с. Острівець;Острівецька сільська рада;Розпорядження РМ УРСР від 14.10.1975 р.   № 780-р
; «Чортова гора»;пам`ятка природи;ботаннічна;13;"Рогатинський район  село Підвиння   (9,5 га);  село Пуків (3,5 га)";"Підвиннянська сільська рада;    Пуківська сільська рада";Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Урочище «Осій»;пам`ятка природи;ботаннічна;13,5;Долинський район,  Мало-Тур’янське  лісництво, кв.2, вид. 33, 34, 37, 38, 39, 40;ДП «Вигодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Урочище  «Сокіл»;пам`ятка природи;ботаннічна;29;"Рожнятівський район,  Ангелівське лісництво, кв. 34, вид.9-16, 22, 23, 27, 35-37; кв.35, вид 1, 4, 6";ДП «Осмолодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;«Урочище «Тарниці»;пам`ятка природи;ботаннічна;60;Надвірнянський район,  Микуличинське   лісництво, кв. 20, вид. 1- 3, 6, 12, 14, 18, 19, 20;ДП «Делятинський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;Разом пам`яток природи ботанічних;5;;133,5;;;
; «Болото  Висяче»;пам`ятка природи;гідрологічна;0,5;Верховинський район,  Буркутське лісництво, кв. 37, вид. 25;ДП «Верховинський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;«Болото  «Ширковець»;пам`ятка природи;гідрологічна;12;Долинський район   Мізунське лісництво, кв.13, вид.18;ДП «Вигодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Болото  «Лисак»;пам`ятка природи;гідрологічна;14,4;"Долинський район  Свічівське лісництво, кв. 12, вид.20; кв. 15, вид. 2, 3 ,6, 8, 10, 11";ДП «Вигодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
; «Болото  «Мшана»;пам`ятка природи;гідрологічна;6;Рожнятівський район,  Мшанське лісництво, кв.33, вид. 101,102;ДП «Осмолодський держлісгосп»;Розпорядження РМ УРСР від 14.10.1975 р. № 780-р
;Разом пам`яток природи гідрологічних;4;;32,9;;;
;«Старуня»;пам`ятка природи;геологічна;60;Богородчанський район,  село Старуня;Старунська сільська рада;Постанова РМ  УРСР від 21.03.1984 р. № 139
;Разом пам`яток природи геологічних;1;;60;;;
;Всього пам`яток природи загальнодержавного значення;13;;439,4;;;
;«Високогір-ний»;дендрологічний парк;;124;Надвірнянський район,  Бистрицьке лісництво, кв.62;ДП «Надвірнянський держлісгосп»;Постанова РМ УРСР від 22.07.1983 р. № 311
;«Діброва»;дендрологічний парк;;8;Богородчанський район,  Богородчанське   лісництво, кв.27;ДП «Солотвинський держлісгосп»;Постанова РМ УРСР від 22.07.1983 р. № 311
;«Дружба»;дендрологічний парк;;10;Тисменицький район,  с. Угринів  Івано-Франківська міська рада;Прикарпатський держуніверситет ім. В. Стефаника;Постанова РМ УРСР від 22.07.1983 р. № 311
;Всього дендрологічних парків загальнодержавного значення;3;;142;;;
;«Парк партизанської слави»;парк-пам’ятка садово-паркового мистецтва;;7;Надвірнянський район,  Зарічанське лісництво, кв.24;ДП «Делятинський держлісгосп»;Постанова Держкомітету УРСР з охорони природи від 17.08.1983 р. № 37
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення ;1;;7;;;
;Всього територій та об`єктів ПЗФ загальнодержавного  значення   ;33;;131696,1;;;
Території та об`єкти місцевого значення;;;;;;;
;Дністровський;регіональний ландшафтний парк;;19656;Городенківський  район,  Тлумацький  район  вздовж ріки Дністер;Городенківська, Тлумацька районні ради;Рішення сесії обласної ради від 15.07.93 р.
;«Гуцульщина»;регіональний ландшафтний парк;;17729;Косівський район;Косівська районна рада, Кутський держлісгосп, Косівський МГЛ;Розпорядження облдержадміністрації від 23.06.97 р. № 443
;Поляницький;регіональний ландшафтний парк;;1032;Долинський район,  Поляницьке лісництво  вк.9,10,14-16,22-26;ДП «Болехівський держлісгосп»;Розпорядження облдержадміністрації від 15.07.96 р.  № 451
;Всього регіональних ландшафтних парків;3;;38417;;;
