№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.     ;«Асканія-Нова» ім. Ф.Е. Фальц-Фейна;Біосферний заповідник; ;33307,6;вул. Фрунзе,13 смт Асканія-Нова, Чаплинський район;НААНУ;Указ Президента України від 26.11.93 р. №563/93
2.     ;Чорноморський;Біосферний заповідник;;106513,8;вул. Лермонтова,1 м. Гола ПристаньГолопристанський район;НАНУ;Указ Президента України від 26.11.93 р. №563/93Розширено Указом Президента України                   від 25.02.09 р. №100/2009 
;Всього біосферних заповідників;2;;139821,4;;;
1.;Азово-Сиваський;Національний природний парк;;52154;"вул. Петровського 54, м. Генічеськ; Генічеський і Новотроїцький райони";Державне управління справами Президента України ;Указ Президента України від 25.02.93 р. №62/93
2. ;Джарилгацький;Національний природний парк;;10000;Адміністрація створюється ;;Указом Президента України від 11.12.09 р.№ 1045/2009
3. ;Олешківські піски;Національний природний парк;;8020,36;вул. Заводська, 1в, с. Раденськ, Цюрупинського району ;Міністерство екології та природних ресурсів України ;Указом Президента України від 23.02.10 р.№ 221/2010
;Всього національних природних парків;3;;70174,36;;;
1.;«Саги»;заказник;ландшафтний;500;кв.кв.2-9, Дослідного лісництва Державного  підприємства «Степовий ім. В.М. Виноградова філіал УкрНДІЛГА» Цюрупинський район;Державне підприємство «Степовий                           ім. В.М. Виноградова філіал УкрНДІЛГА»                 ;Постанова РМ УРСР              від 19.11.74 р.№500 
2.;«Олександрівський»;заказник;ландшафтний;996;с. Олександрівка Білозерського району;Олександрівська сільська рада ;Указ Президента України від 21.02.02 р. №167/2002
3.;«Станіславський»;заказник;ландшафтний;659;с. Станіслав Білозерського району;Станіславська сільська рада ;Указ Президента України від 21.02.02 р. №167/2002
 ;Разом заказників ландшафтних;3;;2155;;;
4.;«Бакайський»;заказник;лісовий;420;кв.кв.60,61 Білозерського лісництва ДП «Херсонське ЛМГ», Білозерський район;ДП «Херсонське ЛМГ»;Постанова РМ УРСР              від 19.11.74 р.№500
5.;«Березові колки»;заказник;лісовий;1312;"кв.кв.14-16, 23, 24, 28-30 Іванівського лісництво; кв.кв. 11, 28, 34, 40, 41, 47, 48 Рибальчанського лісництво ДП «Збур’ївське ЛМГ», Голопристанський район";ДП «Збур’ївське ЛМГ»;Постанова РМ УРСР              від 19.11.74 р.№500
 ;Разом заказників лісових;2;;1732;;;
6.;«Джарилгацький»;заказник;ботанічний;300;кв.кв. 109, 110, 124, 125 ДП «Скадовське ДЛМГ» Скадовського району;ДП «Скадовське ЛМГ»;Постанова РМ УРСР              від 19.11.74 р.№500
;Разом заказників ботанічних;1;;300;;;
7.;«Ягорлицький»;заказник;орнітологічний;30300;акваторія Ягорлицької затоки Чорного моря та входить частково до буферна зона (18 620 га) та заповідної зони (11 680 га) ЧБЗ;Чорноморський біосферний заповідник;Постанова РМ УРСР              від 19.11.74 р.№500
 ;Разом заказників орнітологічних;1;;30300;;;
;Всього заказниців загальнодержавного значення;7;;34487;;;
