№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1.; „Залісся”;Національний природний парк;;13548,5;Літочківська, Літківська, Семиполківська, Рожнівська, Богданівська, Жердівська сільські ради Броварського району;Державна резиденція “Залісся”;Указ Президента України від 11.12.2009р. № 1048/2009
2.;„Білоозерський”;Національний природний парк;;3658,22;Хоцьківська, Циблівська сільські ради Переяслав-Хмельницького району;ДО ЛГ „Білоозерське”;Указ Президента України від 11.12.2009р. № 1048/2009
;Всього національних природних парків;2;;17206,72;;;
1.;“Дніпровсько-Деснянський”;заказник;ландшафтний;1400;Сувидська, Деснянська та Жукинська сільські ради Вишгородського району;ДП „Вище-Дубечанське лісове господарство”, Жулинський та Деснянський радгоспи  ;Постанова Ради Міністрів УРСР від 25.02.1980р.
2.;“Калитянська дача”;заказник;ландшафтний;1162;Калитянська та Заворицька сільські ради Броварського району;ДП „Київське лісове господарство”;Указ Президента України від 20.08.96р. №715/96
3.;“Козинський”;заказник;ландшафтний;967;Козинська селищна рада та Українська міська рада Обухівського району;Обухівська райдержадміністрація;Указ Президента України від 10.12.94р. №750/94
4.;“Ржищівський”;заказник;ландшафтний;1288;Стайківська, Стритівська, Гребенівська, Кузьминська сільські ради та Ржищівська міська рада Кагарлицького району;ДП „Ржищівське лісове господарство”;Постанова Ради Міністрів УРСР від 26.12.85р. №451
5.;“Хутір Чубинського”;заказник;ландшафтний;10;Великоолександрівська сільська рада Бориспільського району;Великоолександрівська сільська рада ;Указ Президента України від 10.02.94р. №750/94
6;“Урочище “Мутвицьке”;заказник;ландшафтний;785;Забуянська сільська рада Макарівського району;ДП „Макарівське лісове господарство”;Указ Президента України від 20.08.96р. №715/96
;Разом заказників ландшафтних;6;;5612;;;
1.;“Журавлиний”;заказник;орнітологічний;399,7;Сувидська сільська рада Вишгородського району;ДП „Вище-Дубечанське лісове господарство”;Указ Президента України від 10.12.94р. №750/94
2.;“Жорнівський”;заказник;орнітологічний;90;Жорнівська сільська рада, Києво-Святошинський район;ВП НАУ “Боярська лісова дослідна станція”;Постанова Ради Міністрів УРСР від 28.10.1974р. №500
;Разом заказників орнітологічних;2;;489,7;;;
1.;“Дзвінківський”;заказник;лісовий;700;Дзвінківська сільська рада Васильківського району;ВП НАУ “Боярська лісова дослідна станція”;Постанова Ради Міністрів УРСР від 28.10.1974р. №500
2.;“Жуків хутір”;заказник;лісовий;622,5;Бузівська та Михайло-Рубежівська сільські ради Києво-Святошинського району;ДП „Київське лісове господарство”;"Постанова Ради Міністрів України від 26.12.1985р. № 451; змінені межі Указом Президента України від 20.08.96р. №751/96"
3.;“Урочище “Унава”;заказник;лісовий;974;Волицька сільська рада, Фастівський район;ДП „Фастівське лісове господарство”;Указ Президента України від 20.08.96р. №751/96
;Разом заказників лісових;3;;2296,5;;;
1.;“Усівський-1”;заказник;гідрологічний;2000;Усівська, Красненська, Черевківська, Безуглівська, Новоолександрівська сільські ради та Згурівська селищна рада Згурівського району;"Усівська, Красненська, Черев-ківська, Безуглівська, Ново-олександрівська сільські ради та Згурівська селищна рада;";Постанова Ради Міністрів УРСР від 25.02.1980р. №132 
2.;“Усівський-2”;заказник;гідрологічний;1447,7;Малоберезанська та Малосупоївська сільські ради Згурівського та Яготинського районів;"Малоберезанська та Малосупоївська сільські ради;";Указ Президента України “Про створення заказників загальнодержавного значення” від 10.12.1994р. № 750/94
3.;“Іллінський”;заказник;гідрологічний;2000;Адміністрація зони відчуження  та безумовного (обов’язкового) відселення;Державне спеціалізоване виробниче комплексне підприємство “Чорнобильська Пуща”;Постанова Ради Міністрів Української РСР від 25.02.1980р. № 132
;Разом заказників гідрологічних;3;;5447,7;;;
1.;“Чорнобильський спеціальний”;заказник;загальнозоологічний;48870;Адміністрація зони відчуження  та безумовного (обов’язкового) відселення;Державний департамент-адміністрація зони відчуження і зони безумовного(обов’язкового) відселення;Указ  Президента України від 13.08.2007р. №700/2007 р. 
;Разом заказників загальнозоологічних;1;;48870;;;
;Всього заказників загальнодержавного значення;15;;62715,9;;;
1.;“Урочище Бабка”;пам`ятка природи;ботанічна;78;Клавдієвська селищна рада;ДП „Клавдієвське лісове господарство”;Розпорядження Ради Міністрів УРСР від 14.10.1975р. №780-Р
2.;„Круглик”;пам`ятка природи;ботанічна;14;Тетіївська міська рада;Тетіївська міська рада;Указ Президента України від 20.08.96р. №715/96
;Разом пам`яток природи ботанічних;2;;92;;;
;Всього пам`яток природи загальнодержавного значення;2;;92;;;
1.;„Кагарлицький”;парк-пам’ятка садово-паркового мистецтва;;35,5;Кагарлицька міська рада, Кагарлицький район;Кагарлицька міська рада;Постанова Колегії Держкомприроди УРСР від 29.01.1980р. №105
2.;„Згурівський”;парк-пам’ятка садово-паркового мистецтва;;309;Згурівська селищна рада, Згурівський район;ДП „Переяслав-Хмельницьке лісове господарство” ;Постанова Колегії Держкомприроди УРСР від 26.07.1972р. №22
3.;„Ташанський”;парк-пам’ятка садово-паркового мистецтва;;144;Ташанська сільська рада, Переяслав-Хмельницький район;ДП „Переяслав-Хмельницьке лісове господарство”;Указ Президента України № 715/96 від 20.08.96р.
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;3;;488,5;;;
1.;“Олександрія”;дендропарк;-;405,8;Білоцерківська міська рада, Фурсівська та Пилипчанська сільські ради, Білоцерківський район;Дирекція дендропарку “Олександрія”;Постанова Ради Міністрів УРСР №311 від 22.07.1983р.Указ Президента України від 09.12.98р. № 1341/98Указ Президента України від 11.06.08р. № 538
;Всього дендропарків загальнодержавного значення;1;;405,8;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення;23;;80908,92;;;
Території та об`єкти місцевого значення;;;;;;;
1.;“Урочище “Калинове”;заказник;ландшафтний;114;Витачівська, Халап’янська сільські ради, Обухівський район;ДП „Ржищівське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
2.;“Копачівські схили”;заказник;ландшафтний;30;Копачівська сільська рада, Обухівський район;Копачівська сільська рада;Рішення 16 сесії 21 скликання від 10.03.94р.
3.;“Обухівський”;заказник;ландшафтний;298,5;Обухівська та Українська міські ради,  Козинська селищна рада, Обухівський район;ДП „Київське лісове господарство”;"Рішення Київської облради від 19.02.2004р. №161-12-ХХІУ Ухвала Вищого Адміністративного суду України від 27.11.2014 К/800/460/14 щодо визнання незаконним та  скасування рішення Київської обласної ради від  19.02.2004 № 161-12-XXIV ""Про зміну меж об'єктів природно-заповідного фонду місцевого значення Київської області"" (було 625,5 га стало 298,5)"
4.;“Заплавний”;заказник;ландшафтний;52;Козинська селищна рада, Обухівський район;Козинська селищна рада;"Рішення Київської облради від 19.02.2004р. №161-12-ХХІУРішення Київської облради від 01.04.2003р. № 89-07-ХХІУ Ухвала Вищого Адміністративного суду України від 27.11.2014 К/800/460/14 щодо визнання незаконним та  скасування рішення Київської обласної ради від  19.02.2004 № 161-12-XXIV ""Про зміну меж об'єктів природно-заповідного фонду місцевого значення Київської області"" (було 213 га стало 52)"
5.; „Березовий гай”;заказник;ландшафтний;391;Григорівська сільська рада, Обухівський район;ДП “Київське лісове господарство”;Рішення Київської обласної ради від 23.07.2009 № 490-25V
6.;“Васильківські Карпати”;заказник;ландшафтний;226,8;Великобугаївська, Гвоздівська, Крушинська, Рославичівська сільські ради, Васильківський район;Великобугаївська, Гвоздівська, Крушинська, Рославичівська сільські ради;Рішення обласної ради 6 сесії 23 скликання від 02.02.99р. 
7.;“Урочище Кірикове”;заказник;ландшафтний;9,0373;Лісниківська сільська рада, Києво-Святошинський район;Лісниківська сільська рада;Рішення Київської облради від 27.10.2005о. №310-26-ІУ
8.;“Ржищівський”;заказник;ландшафтний;1712;Стайківська, Гребенівська, Балико-Щучинська, Півецька сільські ради та Ржищівська міська рада, Кагарлицький район;ДП „Ржищівське лісове господарство”;Рішення Київського облвиконкому №510 від 1968р.
9.;“Цезарівський “;заказник;ландшафтний;475;Ніжиловецька сільська рада, Макарівський район;ДП „Макарівське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
10.;“Кожанська балка “;заказник;ландшафтний;50;Малополовецька сільська рада, Фастівський район;Малополовецька сільська рада;Рішенням 16 сесії Київської обласної ради народних депутатів від 10.03.1994
11.;“Сторожівці”;заказник;ландшафтний;47,9;Луб’янівська сільська рада, Бородянський район;ДП “Клавдієвське лісове господарство”;Рішення Київської обласної ради від 23.07.2009 № 490-25V
12.;“Бурковиця”;заказник;ландшафтний;349;Загальцівська сільська рада, Бородянський район;ДП “Тетерівське лісове господарство”;Рішення Київської обласної ради від 23.07.2009 № 490-25V
13.;“Попів хутір”;заказник;ландшафтний;80;Тетіївська міська рада, Тетіївський район;Київська обласна державна організація “Київагроліс”, Тетіївське державне агролісництво;Рішення 16 сесії 21 скликання від 10.03.94р.Рішення Київської облради від02.04.2009 № 447-24-V
14.;“Урочище Мазепинці”;заказник;ландшафтний;15;Тетіївська міська рада, Тетіївський район;Київська обласна державна організація “Київагроліс”, Тетіївське державне агролісництво;Рішення Київської обласної ради від 23.07.2009 № 490-25V
15.;“Урочище Кремез”;заказник;ландшафтний;72;Тетіївська міська рада, Тетіївський район;Київська обласна державна організація “Київагроліс”, Тетіївське державне агролісництво;Рішення Київської обласної ради від 23.07.2009 № 490-25V
16.;“Гайдамацьке болото”;заказник;ландшафтний;751;Розважівська та Обуховецька сільські ради, Іванківський район;ДП „Іванківське лісове господарство”;Рішення Київської обласної ради п’ятого скликання від 02.04.2009р. № 447-24-V
17.;“Яхнівський”;заказник;ландшафтний;426;Кухарівська сільська рада, Іванківський район;ДП “Тетерівське лісове господарство”;Рішення Київської обласної ради від 23.07.2009 № 490-25-V
18.;“Березовське”;заказник;ландшафтний;240,7;Димарська сільська рада, Іванківський район;Іванківське спеціалізоване державне агролісогосподарське підприємство “Держагролісгосп”;Рішення Київської обласної ради від 23.07.2009 № 490-25-V
19;„Невідомщина”;заказник;ландшафтний;16,5;Великосалтанівська сільська радаВасильківський район;Васильківська РДА;Рішення Київської обласної ради від 17.06.10р.     №739-32-V
20;„Ковалівський яр”;заказник;ландшафтний;15;Крушинська сільська радаВасильківський район;Васильківська РДА;Рішення Київської обласної ради від 17.06.10р.     №739-32-V
21;«Нечаївщина»;заказник;ландшафтний;17,6;Іванківська сільська рада Кагарлицький район;Іванківська сільська рада Кагарлицька РДА ??;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
22;«Чернинський»;заказник;ландшафтний;3134,3;Вищедубечанська сільська радаВишгородський район;ДП «Вищедубечанський лісгосп»;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
23;«Шевченківський ліс»;заказник;ландшафтний;53,5;Абрамівська сільська радаВишгородський район;ДП «Димерське лісове господарство»;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
24;«Щербанівський»;заказник;ландшафтний;67,2;Трипільська радаОбухівський район;ДП «Ржищівський лісгосп»;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
25;„Бориспільські острови”;заказник;ландшафтний;6900,26;В межах акваторії та каскаду островів р. Дніпро на південний захід та на південь від с. Сошників, Бориспільський район;Бориспільська районна державна адміністрація;Рішення Київської обласної ради від 03.02.11р.     №043-04-VI
26;„Кілов-Рудяків”;заказник;ландшафтний;800,15;В межах запдави р. Дніпро, що входить до адміністративних меж Головурівської сульської, ради на північний захід та на південь від с. Кийлів Бориспільський район;Бориспільська районна державна адміністрація;Рішення Київської обласної ради від 03.02.11р.     №043-04-VI
27;„Лебединий”;заказник;ландшафтний;108,8;В межах м. ТетієваТетієвський район;Тетієвська міська рада;Рішення Київської обласної ради від 24.11.11р.     №234-12-VI
28;„Стовп’язькі краєвиди”;заказник;ландшафтний;118,2;В адміністративних межах Стовп’язької сільської радиПереяслав – Хмельницький район;Стовп’язькасільська рада;Рішення Київської обласної ради від 24.11.11р.     №234-12-VI
29;«Юрівський»;заказник;Ландшафтний;10;В адміністративних межах Віто-Поштовоїї сільської радиКиєво-Святошинського району;Віто-Поштова сільська рада;Рішення Київської обласної ради від 21.06.2012р   №365-19-VI
30;«Озерне»;заказник;ландшафтний;30,6659;В межах с. Крюківщина, Києвосвятошинського району Київської обл.;ДП «Київське лісове господарство»;Рішення Київської обласної ради від 21.06.2012р   №365-19-VI
;Разом заказників ландшафтних;30;;16612,1132;;;
1.;„Глибокий ліс”;заказник;ботанічний;29;Димерська сільська рада, Вишгородський район;ДП „Димерське лісове господарство” ;Рішення Київського облвиконкому №441 від 18.12.1984р.
2.;„Дмитрівський”;заказник;ботанічний;16,6;Любимівська сільська рада, Вишгородський район;ДП „Димерське лісове господарство”;Рішення Київського облвиконкому №173 від 10.04.1978р.
3.;„Лісовичі”;заказник;ботанічний;9,7;Литвинівська сільська рада, Вишгородський район;ДП „Димерське лісове господарство”;Рішення Київського облвиконкому №441 від 18.12.1984р.
4.;Урочище “Дубина”;заказник;ботанічний;29;Розкішнянська сільська рада, Ставищенський район;ДП „Білоцерківське лісове господарство”;Рішення  Київської обласної ради  від 24.10.02р.     №045-04-ХХІV
5.;„Стрижавський ліс”;заказник;ботанічний;248;Стрижавська сільська рада, Ставищенський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р. №30
6.;„Оврамівсько-Івашківський”;заказник;ботанічний;19;Русанівська сільська рада, Броварський район;Русанівська сільська рада;Рішення 16 сесії 21 скликання від 10.03.94р.
7.;“Урочище Гора Козинська”;заказник;ботанічний;2,08;Лісниківська сільська рада, Києво-Святошинський район;Лісниківська сільська рада;Рішення Київської облради від 27.10.2005о. №310-26-ІУ
8.;“Урочище Безодня”;заказник;ботанічний;3,35;Лісниківська сільська рада, , Києво-Святошинський район;Лісниківська сільська рада;Рішення Київської облради від 27.10.2005о. №310-26-ІУ
9.;„Атамановий гай”;заказник;ботанічний;14,5;Забуянська сільська рада, Макарівський район;ДП „Макарівське лісове господарство”;Рішення Київської облради від 10.03.94р. №30
10.;„Діброва”;заказник;ботанічний;104,2;Жовтнева сільська рада, Переяслав-Хмельницький район;ДП „Переяслав-Хмельницьке лісове господарство”;Рішення Київського облвиконкому №441 від 18.12.1984р., Рішення Київської обласної ради від 16.05.2013 №616-32-VI
11.;„Степовий”;заказник;ботанічний;10;Ташанська сільська рада, Переяслав-Хмельницький район;Ташанська сільська рада;Рішення Київської облради від 20.11.2003р. №133-10-ХХІУ
12.;„Бакумівський”;заказник;ботанічний;33,4;Баришівська сільська рада, Баришівський район;ДП ”Бориспільське лісове господарство”;Рішення Київського облвиконкому №441 від 18.12.1984р.
13.;„Дубина”;заказник;ботанічний;4;Семенівська сільська рада, Баришівський район;Семенівська сільська рада;Рішення Київського облвиконкому №191 від 26.11.1991р.
14.;„Лобачівський ліс”;заказник;ботанічний;82;Лобачівська сільська рада, Володарський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
15.;„Тулинецькі Переліски”;заказник;ботанічний;88;Тулинецька сільська рада, Миронівський район;Тулинецька сільська рада;Рішення обласної ради 6 сесії 23 скликання від 02.02.99р. 
