№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;;;
1;Розточчя;природний заповідник;;2084,5;Яворівський район, смт. Івано-Франкове;Львівський національний лісотехнічний університет України;Постанова Ради Міністрів УРСР від 05.10.84р. № 403;;
;Всього природних заповідників;1;;2084,5;;;;;
1;Яворівський;національний природний парк;;7078,6;Яворівський район, смт. Івано-Франкове;Міністерство екології та природних ресурсів України;Указ президента України від 04.07.1998 р. № 744/98;;
2;Сколівські Бескиди;національний природний парк;;35684;Сколівський, Дрогобицький, Турківський райони;Львівське обласне управління лісового та мисливського господарства;Указ президента України від 11.02.1999 р. № 157;;
3;Північне Поділля;національний природний парк;;15587,9;Бродівський, Буський, Золочівський райони;Державний комітет лісового господарства України;Указ президента України від 10.02.2010 р. №156/2010;;
;Всього національних природних парків;3;;58350,5;;;;;
1;Бердо;заказник;ландшафтний;1085;"Сколівський район, Верхняцьке лісництво,кв. 1 (в.23,26,32,33) кв.2 (в.6,14,16); кв.3 (в.36-39); кв.4  (в.21,24); Климецьке л-во кв.9 (в.13-17); кв.11 (в.5-9); кв.12,14 (в.5,10-12,14);  кв.17 (в.1-5,7-9); кв.18 (в.1,2,5,7,9,13); кв.19 (в.2,7,9-11,14); кв20,кв.23.";ДП «Славський лісгосп»;Постанова Ради Міністрів УРСР від 02.11.1984 р. № 434;;
2;Пікуй;заказник;ландшафтний;711;"Турківський район, Верховинське л-во,кв.22,26-28 (427 га); «Боринський лісгосп» Либохорівське л-во,кв.38-40 (284 га)";"Турківський міжгосподарський лісгосп,  ДП «Боринський лісгосп""";Постанова Ради Міністрів УРСР від 02.11.84 р. № 434;;
3;Стариці Дністра;заказник;ландшафтний;70;Миколаївський район, між селами Веринь і Крупське;"Веринська с\р  (30 га);  Крупська с\р (40 га)";Постанова Ради Міністрів від 13.02.89 р. УРСР № 53;;
;Разом заказників ландшафтних;3;;1866;;;;;
1;Лопатинський;заказник;лісовий;109;Радехівський район, Лопатинське л-во, кв. 63 (в.4,11), 64 (12,13,16);ДП «Радехівський лісгосп»;Постанова Ради Міністрів УРСР від 02.11.84 р. № 434;;
;Разом заказників лісових;1;;109;;;;;
1;Діброва;заказник;загальнозоологічний;839;Жидачівський район, Ходорівське л-во, кв. 1-13;ДП «Стрийський лісгосп»;Постанова Ради Міністрів від 28.10.74 р. УРСР № 500;;
;Разом заказників загальнозоологічних;1;;839;;;;;
1;Лешнівський;заказник;ботанічний;58;Бродівський район,  Лешнівське л-во,  кв. 34, 35, 49, 51, 42 (в.6,7);ДП «Бродівський лісгосп»;Постанова Ради Міністрів УРСР від 03.08.78 р. № 383;;
2;Волицький;заказник;ботанічний;150;Сокальський район, Волицьке л-во, кв. 22 (в.3), 23 (в.2),  24 (в.2);ДП «Рава-Руський лісгосп»;Постанова Ради Міністрів УРСР від 03.08.78 р. № 383;;
;Разом заказників ботанічних;2;;208;;;;;
1;Чайковицький;заказник;гідрологічний;119;Самбірський район с.Чайковичі;Фермерське господарство Івана Кільгана;Постанова Ради Міністрів УРСР від 11.09.80 №524;;
2;Потелицький;заказник;гідрологічний;162;Жовківський район,  с. Потеличі;Сільська рада с. Потеличі;Постанова Ради Міністрів УРСР від 11.09.80 №524;;
;Разом заказників гідрологічних;2;;281;;;;;
;Всього заказників загальнодержавного значення;9;;3303;;;;;
1;Лиса Гора і Гора Сипуха;пам`ятка природи;комплексна;283;Золочівський район Золочівське л-во, кв. 1-3;ДП «Золочівський лісгосп»;Указ Президента України №715\96 від 20.08.96 р.;;
;Разом пам`яток природи комплексних;1;;283;;;;;
1;Гора Вапнярка;пам`ятка природи;ботанічна;309,8;"Золочівський район, Словітське л-во,  кв.1, 2 (в.1-13); кв.3 (в.1-3; 5-7; 9-15);  кв.7 (в.1-3)";ДП «Золочівський лісгосп»;Указ Президента України №715\96 від 20.08.96 р.;;
;Разом пам’яток природи ботанічних;1;;309,8;;;;; 
;Всього пам`яток природи загальнодержавного значення;2;;592,8;;;;;
1;Ботанічний сад Львівського державного університету ім.Ів.Франка;ботанічний сад;;18,5;м. Львів розташований на  2-х  ділянках: 2 га по вул. Кирила і Мефодія,4  та  16,5 га по вул.Черемшини,44;Львівський національний університет ім. Івана Франка;Постанова Ради Міністрів України від 22.07.83 р. №311;;
2;Ботанічний сад Львівського державного лісотехнічного університету;ботанічний сад;;22,7;"на3-х ділянках: у м. Львові 6,5га по вул.Чупринки,103; та 0,7га по вул. О. Кобилянської і 15,5 га арборетум в с. Страдч Яворівського р-ну";Львівський державний лісотехнічний університет;Постанова Ради Міністрів України від 22.02.91 р. №33;;
;Всього ботанічних садів загальнодержавного значення;2;;41,2;;;;;
1;Оброшинський;дендрологічний парк;;5;Пустомитівський  р-н, с. Оброшино;Інститут землеробства і біології тварин УААН;Постанова Ради Міністрів України № 311 від 22.07.83 р.;;
2;Рудківський;дендрологічний парк;;59;Самбірський р-н, с.м.т. Рудки, Рудківське л-во, кв.13;ДП «Самбірський лісгосп»;Постанова Ради Міністрів України № 5 від 07.01.85 р.;;
;Всього дендрологічних парків загальнодержавного значення;2;;64;;;;;
1;Стрийський парк;парк-пам`ятка садово-паркового мистецтва;;56;м. Львів;;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
2;Міженецький парк;парк-пам`ятка садово-паркового мистецтва;;11;Старосамбірський р-н;ДП «Старосамбірський лісгосп»;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
3;Самбірський парк;парк-пам`ятка садово-паркового мистецтва;;15;м. Самбір;Самбірський міський комбінат комунальних підприємств;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
4;Підгірцівський парк;парк-пам`ятка садово-паркового мистецтва;;8,3;Стрийський р-н, с. Підгірці;Львівський облрибкомбінат;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
5;Буський парк;парк-пам`ятка садово-паркового мистецтва;;8;м. Буськ;Буський комбінат комунальних підприємств;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
6;Підгорецький парк;парк-пам`ятка садово-паркового мистецтва;;17;Бродівський р-н, с. Підгірці;Львівська картинна галерея;Постанова Ради Міністрів УРСР № 105 від 29.01.80 р.;;
;Всього парків-пам`яток садово-паркового мистецтва загальнодержавного значення;6;;115,3;;;;;
;Всього територій та об`єктів ПЗФ загальнодержавного значення ;25;;64551,3;;;;;
Території та об'єкти ПЗФ місцевого значення;;;;;;;;;
1;Знесіння;регіональний ландшафтний парк;;312;м. Львів, вул. Новознесенська, 32;Львівська міська рада народних депутатів;Ухвала Львівської обласної ради народних депутатів від 02.12.93 р. № 327;;
2;Надсянський;регіональний ландшафтний парк;;19428;"Турківський район, Яблунське л-во:  кв. 1-24; Боринське л-во: кв. 23 (в т.ч. ДЛФ 4392 га)";ДП «Боринський лісгосп»;Рішення Львівської обласної ради народних депутатів №209 від 31.07.97 р.;;
3;Верхньодністровські Бескиди;регіональний ландшафтний парк;;8536;"Старосамбірський район, , Головецьке,  Мшанецьке та Старявське л-ва,  кв.37-58; 64-75,  Спаське л-во:  кв. 1-14;";ДП «Старосамбірський лісгосп»;Рішення Львівської обласної ради народних депутатів №234 від 08.10.97 р.;;
4;Равське Розточчя;регіональний ландшафтний парк;;19103;Жовківський р-н Яворівський р-н;Жовківського р-ну: Дев’ятирська с/р – 1557 га, Липницька с/р –  1128 га, Кам’яногірська с/р – 953 га, Кубинська с/р – 3552 га, Потелецька  с/р – 4962 га, Крехівська с/р – 2775 га, Магерівська с/р –  1862 га,  Яворівського р-ну: Середкевичівська с/р – 2350 га,;Рішення Львівської обласної ради від 13.06.1997 р. №341;;
5;Стільське Горбогір’я ;регіональний ландшафтний парк;;8909,9;Миколаївський р-н Пустомитівський р-н, Перемишлянський р-н;ДП «Львівське лісове господарство»  - 6137,0, ДП «Стрийське лісове господарство» - 1853,0, Миколаївське ДЛГП - 563,5, Пустомитівське ДЛГП – 255,0, Стільська с/р – 95,4, Бродківська с/р – 6,0;Рішення Львівської обласної ради від 1 квітня 2014 року № 1043;;
;Всього регіональних ландшафтних парків;5;;56288,9;;;;;
