№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;;
1.;Рівненський;природний заповідник;;42289;Володимирецький, Дубровицький, Рокитнівський,  Сарненський райони;Рівненський природний заповідник;Указ ПрезидентаУкраїни № 356/99 від 03.04.1999р. (зі змінами постанова КМУ № 1271 від 14.08.2003р.);
;Всього природних заповідників;1;;42289;;;;
1;Дермансько-Острозький;національний природний парк;;5448,3;Здолбунівський, Острозький;-;Указ Президента України від 11.12.2009р. № 1039;
;Всього національних природних парків;1;;5448,3;;;;
1;Почаївський;заказник;ландшафтний;905;"Висоцьке лісництво: кв.67 вид.1-16; кв.75, кв.76 вид. 1-21, кв. 77;  Людинське л-тво: кв.10, 11  кв. 8 вид. 22-44, 47;   кв.9 вид. 9-29; кв.11 вид 1-32";ДП “Висоцький лісгосп”,    ДП СЛАП “Дубровмицький держспецлісгосп”;Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом заказників ландшафтних;1;;905;;;;
1;Висоцький;заказник;лісовий ;110;Більське л-во: кв. 1 вид. 1-17;ДП “Висоцький лісгосп”;Постанова РМ УРСР № 434 від 02.11.1984р. ;
;Разом заказників лісових;1;;110;;;;
1;Хіноцький;заказник;ботанічний;2267;"Хіноцьке лісництво: кв. 1, 2, 4, 5, 9; Степангородське лісництво: кв. 30, 33, 34, 37, 38, 41, 42;";ДП “Володимирецький лісгосп”;Постанова РМ УРСР № 132 від 25.02.1980р. ;
2;Озерський;заказник;ботанічний;1276;"Дубровицький район Людинське лісництво: кв. 1, 14-16, 20-23, 26, 27;  Золотинське лісництво: кв.1-3; Лісівська сільська рада кв. 28 вид. 1-10";ДП “Висоцький лісгосп”,     Лісівська сільська рада , ДП СЛАП “Дубровмицький держспецлісгосп”;Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р.);
3;Сварицевицький;заказник;ботанічний;2210;Дубровицький район Сварицевицьке лісництво: кв. 26-45;ДП “Зарічненський лісгосп”;Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Золотинський;заказник;ботанічний;3016;"Дубровицький район Золотинське лісництво: кв. 31, 32, 39, 40, 41, 47, 48; Висоцьке л-во: кв. 30, 31, 32, 39, 41, 47, 51, 52; Лісівське л-во: кв. 1-5, 18-20, 33-35, 51, 52;  Літвицьке л-во: кв. 1, 2, 11-13, 22-24, 33;";ДП “Висоцький лісгосп”     ДП “Дубровицький лісгосп”;Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р.);
5;Вичівський;заказник;ботанічний;2752;"Вичівське л-во: кв.19-21, 25, 29, 34, 35, 39, 40, 43, 44; кв. 3, 4, 10, 16";ДП “Зарічненський лісгосп”   Вичівська сільська рада;Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
6;Суський;заказник;ботанічний;298;Костопільський район Суське л-во: кв. 9-11;ДП “Клеванський лісгосп”;Постанова РМ УРСР № 434 від 02.11.1984р. ;
7;Бущанський;заказник;ботанічний;385;"Острозький район кв.29 вид.1-7, 9-14, 16-28, 30-33; кв.30 вид.1-32 ";ДП СЛП “Острозький держспецлісгосп”,  Кутянківська сільська рада;Постанова РМ УРСР № 434 від 02.11.1984р.;
8;Вишнева гора;заказник;ботанічний;97;Рівненський район;Шпанівська сільська рада;Постанова РМ УРСР № 500 від 28.10.1974р. ;
;Разом заказників ботанічних;8;;12301;;;;
1;Урочище “Брище”;заказник;загально-зоологічний;100;Березнівський район Князівське лісництво: кв. 16 вид.6-49;ДП “Березнівський лісгосп”;Постанова РМ УРСР № 500 від 28.10.1974 р. ;
 ;Разом заказників загально-зоологічних;1;;100;;;;
1;Острівський;заказник;гідрологічний;2423;"Зарічненський район Острівське л-во: кв. 14-34; Локницьке л-во: кв. 58, 59, 61, 62";ДП “Зарічненський лісгосп”,   Кух.Вільська сільська рада;Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Дібрівський;заказник;гідрологічний;881;"Зарічненський район Дібрівське л-во: кв.1-4, 6-8; Серницьке л-тво кв. 20 вид. 24-28"; ДП “Зарічненський лісгосп”,  ДП СЛАП “Зарічненський держспецлісгосп”, Дібрівська сільська рада ;Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом заказників гідрологічних;2;;3304;;;;-
;Всього заказників загальнодержавного значення;13;;16720;;;;
1;Урочище “Теремно”;пам`ятка природи;комплексна;91;"Острозький район Новомалинське л-во:  кв. 48 вид. 8, 18-21;  кв. 49 вид.1, 25-30;  кв.54 вид.1, 7, 8, 11, 12,16;  кв. 55 вид. 1-3";ДП „Острозький лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 584 від 27.05.05р.);
;Разом пам`яток природи комплексних;1;;91;;;;
1;Урочище “Хвороща”;пам`ятка природи;ботанічна;37,2;Млинівський район Млинівське л-тво: кв. 42 вид. 1, 5, 8, 9, 10, 11 ,12, 15, 17, 19/1;ДП „Млинівський лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Урочище “Острожчин”;пам`ятка природи;ботанічна;54;Острозький район Хорівське л-во: кв.26 вид. 1-4;ДП „Острозький лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 584 від 27.05.05р.);
3;Юзефінська дача;пам`ятка природи;ботанічна;100;Рокитнівський район Глинівське л-во: кв. 14 крім вид. 5, 7, 8, 10, 12, 12.1, 13, 14, 33, 35, 36, 63;ДП „Рокитнівський лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
4;Урочище “Нетреба”;пам`ятка природи;ботанічна;52;Рокитнівський район Борівське л-во: кв. 5 вид. 1, 1.1;ДП „Рокитнівський лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом пам`яток природи ботанічних;4;;243,2;;;;
1;Урочище “Олександрівка”;пам`ятка природи;зоологічна;13;Дубенський район Мирогощанське л-во: кв. 26 вид.10;ДП „Дубенський лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом пам`яток природи зоологічних;1;;13;;;;
1;Озеро Велике Почаївське ;пам`ятка природи;гідрологічна;58;"Дубровицький район Висоцьке л-во: кв. 67 вид.14; кв.75 вид. 5; кв.76 вид. 1";ДП „Висоцький лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
2;Озеро “Стрільське”;пам`ятка природи;гідрологічна;15;Сарненський район Карпилівське л-во: кв. 17, 18, 27, 28 ;ДП „Сарненський лісгосп”;Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.);
;Разом пам`яток природи гідрологічних;2;;73;;;;
;Всього пам`яток природи загальнодержавного значення;8;;420,2;;;;
1;Дендрологічний парк Березнівського лісового коледжу;дендрологічний парк;;29,5;м.Березне;Березнівський лісовий коледж;Постанова РМ УРСР № 53 від 13.02.1989р.;
;Всього дендрологічних парків загальнодержавного значення;1;;29,5;;;;
1;Рівненський зоопарк;зоологічний парк;;11,6;м.Рівне;ДКП “Рівненський зоопарк” Рівненського міськвиконкому;Указ ПрезидентаУкраїни № 1341/98 від 09.12.1998р.;
;Всього зоопарків загальнодержавного значення;1;;11,6;;;;
