№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;«Михайлівська цілина»;природний заповідник;;882,9;"Лебединський район: Катеринівська, Червленівська, Курганська, Пристайлівська с/р;Недригайлівський район:  Козельненська. с/р";ПЗ «Михайлівська цілина» Мінприроди України;Указ Президента України від 11.12.2009 № 1035 «Про створення природного заповідника «Михайлівська цілина»
;Всього природних заповідників;1;;882,9;;;
1;«Гетьманський»;національний природний парк;;23360,1;"В.-Писарівський р-н: Дмитрівська, Попівська, Вільненська, Ямненська, Добрянська, Солдатська, Рябинівська, Катанська, Кирилівська с/р, В.-Писарівська селищ./р; ДП ""Охтирський лісгосп"": В.Писарівське л-во, кв. 31-45, 52-66. ДП «Тростянецький лісгосп»: Литовське л-во, кв. 25-27. ДП ""В.-Писарівський агролісгосп"". Охтирський р-н: Бакирівська, Староіванівська, Пологівська, Кардашівська, Чернеччинська, Хухрянська, Лутищанська, В'язівська, Куземинська с/р; ДП ""Охтирський лісгосп"": Охтирське л-во, кв. 1-42, 76-77; Хухрянське л-во, кв. 22, 27-28, 38-40, 51-60, 78, 84-85, 88-92, 97-98. ДП «Тростянецький лісгосп»: Литовське л-во, кв. 69.ДП ""Охтирський агролісгосп"": кв. 28 (вид. 1-8, 13-21), 50 (вид. 1-6), 30 (вид. 1-12, 14-19), 31 (вид. 1, 5-9, 23), 92 (вид. 1-9, 18-19), 95 (вид. 1-13, 15, 17-20), 77 (вид. 14, 18-31), 78 (вид. 6-11, 13), 79 (вид. 1-17).Тростянецький р-н: Кам'янська, Зарічненська, Мащанська с/р, Тростянецька м/р; ДП ""Тростянецький лісгосп"": Тростянецьке л-во, кв. 1-6, 13, 19-25; 27, 30, 33, 35-45, 78-79.ДП ""Тростянецький агролісгосп"": кв. 95 (вид. 29-32, 36, 48, 50, 56), 104 (вид. 1-15), 105 (вид. 4) ";1. Гетьманський НПП Мінприроди України2. В.-Писарівська райдержадміністрація3. ДП «Великописарівський агролісгосп»4. Охтирська райдержадміністрація5. ДП «Охтирське лісове господарство»6. ДП «Охтирський агролісгосп»7. Тростянецька райдержадміністрація8. ДП «Тростянецьке лісове господарство»9. ДП «Тростянецький агролісгосп»;Указ Президента України від 27.04.2009 № 273 «Про створення Гетьманського національного природного парку»
2;«Деснянсько-Старогутський»;національний природний парк;;16215,1;"Середино-Будський р-н:  Зноб-Трубчевська, Старогутська, Стягайлівська, Очкинська, Нововасилівська, Кривоносівська, Кренидівська с/р; ДП ""С.-Будський агролісгосп"": кв. 1-10, 12-14, 18, 20, 21 (вид. 1-11, 17), 22, 23 (вид. 1-12, 19), 51, 52 (вид. 10-46), 53, 76-77, 78 (вид. 1-27), 80 (вид. 1-22), 81 (вид. 23), 29, 31 (вид. 1-13, 17-41)";1. НПП «Деснянсько-Старогутський» Мінприроди України2. С.-Будська райдержадміністрація3. ДП «С.-Будський агролісгосп»4. Сільськогосподарські підприємства5. Громадяни, яким надані землі у власність і користування;Указ Президента України від 23.02.1999 № 196 «Про створення національного природного парку «Деснянсько-Старогутський»
;Всього національних природних парків;2;;39575,2;;;
1;«Шалигинський»;заказник;ландшафтний;2868,1;"Глухівський р-н: Стариківська, Соснівська с/р, Шалигінська селищ./р; заплава р. Обести між селами Соснівка, Старикове, Шалигине. ДП ""Глухівський лісгосп"": Шалигинське л-во, кв. 1-14, 16-25, 26 (діл. 3-5, 11-12), 27-42; ДП ""Глухівський агролісгосп"": кв. 66 (вид. 5-31), 69 (вид. 1-17, 20-25), 70 (вид. 1-26), 79 (вид. 15-16), 80 (вид. 25-26)";1. Шалигинська селищна рада2. Стариківська сільська рада3. ДП «Глухівське лісове господарство»4. ДП «Глухівський агролісгосп»5. Філія «Глухівський райавтодор»;Постанова Ради Міністрів УРСР від 25.02.1980 р. № 132, рішення облради від 13.10.1994 р.
2;«Середньосеймський»;заказник;ландшафтний;2020,8;"Заплава р. Сейм від кордону з Росією до сіл Козлівка, Чаплині, між селами Бояро-Лежачі, Манухівка-Нові Вирки, Іванівка, Волинцеве-Піски. Білопільський р-н: Нововирківська, Рижівська с/р; ДП ""Білопільський агролісгосп"": кв. 1-3, 4, 8. Буринський р-н: Пісківська с/р; ДП ""Буринський агролісгосп"": кв. 14 (вид. 1-6, 17-29). Путивльський р-н: Волокитинська, Стрільниківська, Яцинська, Бобинська, Сафонівська, Зіннівська, Князівська, Октябрьська, Чорнобривківська с/р; ДП ""Путивльський агролісгосп"": кв. 103 (вид. 15), 108, 112, 119, 124 (вид. 10-13), 129 (вид. 12-21), 133";1. Білопільська райдержадміністрація2. ДП «Білопільський агролісгосп»3. Пісківська сільська рада Буринського р-ну4. ДП «Буринський агролісгосп»5. Путивльська райдержадміністрація6. ДП «Путивльський агролісгосп»;Постанова Ради Міністрів УРСР від 07.01.1987 р. № 2, рішення облради від 13.10.1994 р.
;Разом заказників ландшафтних;2;;4888,9;;;
3;«Банний яр»;заказник;ботанічний;236;"Сумський р-н: Могрицька с/р; лісовий масив між смт. Кияниця та с. Мокриця. ДП ""Сумський лісгосп"": Могрицьке л-во, кв. 26, 42-43, 52";ДП «Сумське лісове господарство»;Постанова Ради Міністрів УРСР від 28.10.1974 р. № 500, рішення облради від 13.10.1994 р. ***
