№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;;;;;;;;;
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;;;;;;;;;;;;;;
1;" ""Медобори"" ";природний заповідник;;9516,7;Гусятинський район, смт.Гримайлiв,  вул. Міцкевича, 21;"Адміністрація природного заповідника ""Медобори"" Держкомлісу України";Постанова Ради Міністрів УРСР вiд 08.02.1990 р. №25, із змінами, затвердженими Указом Президента України від 29.09.2000р.  № 1095/2000 Указ Президента України від 20.11.2013 №644 ;;;;;;;;;;;;;
;Всього природних з заповідників;1;;9516,7;;;;;;;;;;;;;;;;
1;"""Кременецькі гори""";національний природний парк;;6951,2;"Кременецький та Шумський райони, кв.кв. 40,41, 43, 44, 46, 47,71 Кременецького л-во, кв. 19-22, 24- 53, 55-68 Білокриницьке л-во, кв.кв. 55-88, кв. 90 вид. 1-8, 9.1, 10-18, 20-25, 27-31, кв. 91 вид.11, 3-9, 10.1, 11-20, кв.кв. 92-93, 95 Волинське л-во ДП ""Кременецьке лісове  господарство"" ";"Міністерство екології та природних ресурсів України, Державне підприємство ""Кременецьке лісове господарства"" -5792,6 га, природний заповідник ""Медобори"" - 1000,0 га, КРЛП ""Кремліс"" - 137,0 га";Указ Президента України від 11.12.2009 №1036/2009;;;;;;;;;;;;;
2;"""Дністровський каньйон""";національний природний парк;;10829,18;"Борщівський, Бучацький, Заліщицький, Монастириський райони, кв. кв. 5-13, 16-24, 49, 50, 55-67, 69, 74, 86-88 Дорогичівського л-во, кв. кв. 33, 50-52, 54-66, 69-80 Язловецьке л-во, кв.кв. 21, 23-30, 71, 80-83 Золотопотіцьке л-во, кв.кв. 83-86 Коропецьке л-во ДП ""Бучацьке лісове господарство"",  кв.кв. 56-62 Наддністрянського л-во, кв.кв. 16 вид. 1 Гермаківське л-во, кв.кв. 52-54, 58-61, 80-83, 90-93  Мельнице-Подільське л-во, кв.кв.11, 31-35,21,27,37,42,45-48,38-42, 64, 74-85 Заліщицьке л-во, кв.,кв.2 вид.7 Шупарське л-во ДП ""Чортківське лісове господарство""";"Міністерство екології та природних ресурсів України, Державне підприємство ""Бучацьке лісове господарство"" - 4640,14 га, Державне підприємство ""Чортківське лісове господарство"" - 2334,7, ВАТ ""Тернопільобленерго"" - 250,35 га, Дністровська ГЕС-1 ПАТ ""Укргідроенерго"" - 73,4 га, Тернопільський національний економічний університет - 4,5 га, Чортківський державний коледж - ь6,2 га га, Більче-Золотецька сільська рада -11,0 га, Служба автомобільних доріг у Тернопільській області - 2,7 га, Дочірнє підприємство - оздоровчий комплекс ""Лісовий"" ЗАТ по туризму та екскурсіям ""Тернопільтурист"", ПП Юрків В.М. - 1,71, Бучацький міжгосподарський дитячий заклад ""Лісовий дзвіночок"" - 4,0 га, ПП ""Кромвель"" - 5,48 га, відокремлений підрозділ національного університету біоресурсів і природокористування України Заліщицький аграрний коледж ім.Є.Храпливого  - 245,7 га, Бучацька района державна адміністрація - 733,3 га, Борщівська районна адміністрація - 702,8 га, Заліщицька райдержадміністрація - 1416,67 га, Монастириська райдержадміністрації- 388,0 га";Указ Президента України від 03.02.2010 №96/2010;;;;;;;;;;;;;
;Всього національних природних парків;2;;17780,4;;;;;;;;;;;;;;;;
1;"""Касперівський""                           ";заказник;ландшафтний;818;"Борщівський район, с.Бiльче-Золоте, Заліщицький район села: Касперівці, Винятинці, Новосілка, Мишків, Блищанка,  кв.21 вид. 1, 8,11, 13, 13.1; кв.27, кв.31, кв.32 вид.1-4, кв.33 вид.1-4, 8, кв.34; кв.35 вид.4, 6, 6.1, 6.2, 11, 11.1, 12, кв.37 вид.1, 4, 5; кв.42; кв.45 вид. 4 - 6, 8; кв.47 вид.1 – 3, кв.48 вид.1 - 2, 10 – 13, кв.84, кв.85 Заліщицького лісництва та  кв. 11, кв.64 вид.1 ,38,40,41-46 Наддністрянського лісництва Державного підприємства “Чортківське лісове господарство” лісове  урочище ""Діброва"", долина р.Серет з мальовничим водосховищем та прилеглими схилами";"ДП ""Чорткiвське лiсове господарство"" - 422,0 га, Касперівська сільська рада - 44,0 га, Винятинська  - 46,8 га, ВАТ ""Тернопільобленерго""  - 257,7 га,  Товариство з обмеженою відповідальністю ""Росинка"" - 2,5 га, Винятинська сільська  рада - 45,0 га.";Постанова Ради Міністрів УРСР вiд 19.04.1977 р. № 198;;;;;;;;;;;;;
;Разом заказників ландшафтних;1;;818;;;;;;;;;;;;;;;;
1;"""Дача Галiлея""                          ";заказник;лісовий;1856;"Чортківський район, села: Улашківці, Росохач, Сосулівка, Милівці, Залісся, Заболотівка, Борщівський район, с.Озеряни, Улашківське лісництво, кв.29-74, лісове урочище  ""Дача Галілея""  ";"ДП ""Чорткiвське лiсове господарство""                                                            ";Постанова Ради Міністрів УРСР вiд 28.10.1974 р. № 500;;;;;;;;;;;;;
2;"""Суразька дача""                        ";заказник;лісовий;3864;"Шумський район, с.Сураж, с.Андрушівка, с.Васьківці, Суразьке лісництво, кв.39-174, лісове урочище ""Суразька дача""                       ";"ДП ""Кременецьке лiсове господарство""";Постанова Ради Міністрів УРСР вiд 03.08.1978 р. № 383;;;;;;;;;;;;;
;Разом заказників лісових;2;;5720;;;;;;;;;;;;;;;;
1;"""Жижавський""                              ";заказник;ботанічний;155;"Заліщицький район, с.Зелений Гай, лівий схил Дністра, лісове урочище ""Жижава""";"Відокремлений підрозділ національного університету біоресурсів і природокористування України ""Заліщицький аграрний коледж ім.Є.Храпливого„";Постанова Ради Міністрів УРСР вiд 28.10.1974 р. № 500;;;;;;;;;;;;;
2;"""Обiжевський""                            ";заказник;ботанічний;162;"Заліщицький район,  с.Добрівляни, північна околиця, Заліщицьке лісництво, кв.74 в.1-7; кв. 75 в. 1-8, 18-20;  кв. 76 в.1-6.1, 6.2, 7-11;  кв. 77 в. 1-11;  кв.78 в.1- 4, 7- 9, 11–15, кв.79 в.1-5, 12-14, 18, 26,  лісове урочище ""Обіжева""";"ДП ""Чорткiвське лiсове господарство""  ";Постанова Ради Міністрів УРСР вiд 28.10.1974 р. № 500;;;;;;;;;;;;;
3;"""Яблунiвський""                            ";заказник;ботанічний;2103;"Гусятинський район, с.Яблунівка, м.Копичинці, с.Федорівка,  Яблунівське лісництво кв. кв.1, 6-12, 30-35,46-51, 63-65, 73,74, Копиченецьке лісництво кв.кв. 2-5, 13-16, 36-40, 52-56, 66-70, лісове урочище ""Дача ""Яблунів""";"ДП ""Чорткiвське лiсове господарство"" ";Постанова Ради Міністрів УРСР вiд 16.12.1982 р. № 617;;;;;;;;;;;;;
