№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;«Кармелюкове Поділля»;Національний природний парк;;20203,4;Чечельницький районБондурівська, Бритавська, Вербська, Демівська, Куренівська, Любомирська, Лузька, Стратіївська, Тартацька, Червоногреблянська сільські ради Чечельницької селищної ради Чечельницького районуТростянецький районс.Торканівка ;Мінприроди;Указ Президента України                      № 1057/2009 від 16 грудня 2009 року
;Всього національних природних парків;1;;20203,4;;;
1;"Урочище ""Устянська дача""";заказник;ботанічний;173;Бершадський районПоташнянська с/р,Бершадське лісництво,кв. 54-55;Бершадський  ДЛГ;Постанова РМ УРСР від 16.12.82р. №617
2;Іллінецький;заказник;ботанічний;432;Іллінецький районІллінецька міська рада ,Васильківська сільська рада (кв.36,37),Іллінецьке лісництво,кв.35-37, кв.47-50;Іллінецький ДЛГ;Постанова РМ УРСР від2.11.84р. №434
3;Дашівський;заказник;ботанічний;116;Іллінецький районБілківська сільська радаДашівське лісництво кв. 75,76;Дашівське лісомисливське господарство;Постанова РМ УРСР від2.11.84р. №434
4;"Урочище ""Сестринівська дача""";заказник;ботанічний;48;Козятинська сільська рада,Козятинське лісництво,кв. 8;Хмільницький ДЛГ;Постанова РМ УРСР від16.12.82р. №617
5;Дяківці;заказник;ботанічний;223;Літинський районДяковецька сільська рада;Хмільницький ДЛГ;Постанова РМ УРСР від2.11.84р. №434
6;Бронницький;заказник;ботанічний;265;Мог. - Подільський район,Суботіївська сільська радас. Бронниця;Мог. - Подільськийрайагроліс;Постанова РМ УРСР від28.10.74р. №500
7;Вендичанська дубина;заказник;ботанічний;373;Мог.- Подільський районВендичанська сільська радаЮрковецьке лісництво,кв.кв. 1-11,біля с. Вендичани;Мог .- Подільський ДЛГ;Постанова РМ УРСР від03.08.78р. № 383
