№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
1;Карпатський;Біосферний заповідник;;58035.8;Рахівський, Тячівський, Хустський, Виноградівський райони м. Рахів;КБЗ;Укази Президента України від 26.11.1993 р. № 563/93, від 11.04.1997 № 325/97, від 14.01.2010 № 25/2010
;Всього біосферних заповідників;1;;58035.8;;;
1;“Синевир”;Національний природний парк;;42704;Міжгірський, Хустський райони ;НПП  “Синевир”, с. Синевир-Остріки;ПРМ УРСР від 05.01.1989 р. № 7 Указ Президента України від 29.12.2009 р. № 1118/2009
2;Ужанський;Національний природний парк;;39159.3;Великоберезнянський р-н ;Ужанський НПП, смт. В. Березний;Указ Президента України від 27.09.1999 року № 1230/99
3;“Зачарований край”;Національний природний парк;;6101;Іршавський р-н;"НПП ""Зачарований край""”";Указ Президента України від 21.05.2009 року № 343/2009
;Всього національних природних парків;3;;87964.3;;;
1;“Брадульський”;заказник;Ландшафтний;1026;Тячівський р-н, с. Руська Мокра, ДП “Мокрянське ЛМГ”, Брадульське л-во, квартали 1-5;ДП “Мокрянське ЛМГ”;ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
;Разом заказників ландшафтних:;1;;1026;;;
1;“Росішний”;заказник;Лісовий;461;Воловецький р-н, ДП “Воловецьке ЛГ”, Нижньоволовецьке л-во квартали 19, 24, 25;ДП “Воловецьке ЛГ”;Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
2;“Діброва”;заказник;Лісовий;712;Рахівський р-н, ДП “Великобичківське ЛМГ”, Лужанське л-во, квартали 5-10;ДП “Великобичківське ЛМГ”;Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
3;“Кам’янка”;заказник;Лісовий;328;Міжгірський р-н, ДП “Міжгірське ЛГ”, Остріцьке л-во, кавартал 15, 6, 9, 10, 11;НПП “Синевир”;ПРМ УРСР від 12.12.1983 р. № 495, Ріш.ОВК від 23.10.1984 р. № 253 (Увійшов до складу НПП “Синевир”, Постанова РМ УРСР від 5 січня 1989р. №7)
;Разом заказників лісових:;3;;1501;;;
1;“Чорна гора”;заказник;Ботанічний;823;Виноградівський р-н, ДП “Виноградівське ЛГ”, Виноградівське л-во, квартал 16-18, 20-25;ДП “Виноградівське ЛГ” – 76,0 га;Ріш.ОВК від 18.11.1969 року № 414, Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500 (747 га передано до складу КБЗ, Указ Президента від 11.04.1997 р. №325/97)
2;“Юлівська гора”;заказник;Ботанічний;176;Виноградівський р-н, ДП “Виноградівське ЛГ”, Затисянське л-во, квартал 59, виділ 1-16;ДП “Виноградівське ЛГ”;Ріш.ОВК від 18.11.1969 року № 414, Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500 (Передано до складу КБЗ б/в, Указ Президента від 11.04.1997 р. № 325/97)
3;"""Урочища Затінки і Тересянка”";заказник;Ботанічний;13;Рахівський р-н, ДП „Рахівське ЛДГ”, Квасівське л-во, квартал 8, виділ 22, квартал 10, виділ 8, 9, 18, 19;ДП „Рахівське ЛДГ”;ПРМ УРСР від 28.10.1974 р. № 500, ПРМ УРСР від 03.08.1978 р. №383, Ріш.ОВК від 23.10.1984 р. № 253 (Передано до складу КБЗ б/в Указ Президента.від 11. 04.1997 р. .№ 325/97)
4;“Гладинський”;заказник;Ботанічний;130;Тячівський р-н, ДП “Брустурянське ЛМГ”, Турбатське л-во, урочище “Чортів” квартал 23, виділ 1-24, 26-33;ДП “Брустурянське ЛМГ”;ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
5;“Горгани і Тавпіширка”;заказник;Ботанічний;248;Тячівський р-н, ДП “Брустурянське ЛМГ”, Плайське л-во, квартал 2, виділи 7, 21-25, 27-32, квартал 4, виділи 2, 4, 5-15, 21, 22, 25, 27, 28, квартал 5, виділи 2-5, 8, 9, 16, 17, 29;ДП “Брустурянське ЛМГ”;Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500 Ріш.ОВК від 23.10.1984 р. № 253
6;“Кедринський”;заказник;Ботанічний;166;Тячівський р-н, ДП “Брустурянське ЛМГ”, Кедринське л-во, квартал 9, виділ 1-8, 10-24, 27, 30, 31, 36-40, 42-48;ДП “Брустурянське ЛМГ”;Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253
7;“Керничний”;заказник;Ботанічний;107;Тячівський р-н, ДП “Мокрянське ЛМГ”, Мокрянське л-во, квартал 3, виділ 2-5;ДП “Мокрянське ЛМГ”;ПРМ УРСР від 12.12.1983 р. № 495, Ріш.ОВК від 23.10.1984 р. № 253,
