"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"АР Крим","загальнодержавне","Карадазький","природний заповідник",,2874.17,"Постанова РМ УССРвід 9.08. 1979 р. № 386","НАН України","98188 м. Феодосія,сел. Курортне"
2,"АР Крим","загальнодержавне","Кримський","природний заповідник",,44175.5,"Постанова РМ УССРвід 9.06. 1991 р. № 64","Державне управліннясправами ПрезидентаУкраїни","м. Алушта"
3,"АР Крим","загальнодержавне","МисМарт'ян","природний заповідник",,240,"Постанова РМ УССРвід 20.02.1973 р. № 84","НБС ННЦ","м. Ялта,сел. Нікіта"
4,"АР Крим","загальнодержавне","ЯлтинськийГЛ","природний заповідник",,14523,"Постанова РМ УССРвід 20.02.1973 р. № 84","ДЛМГ Кримліс","м. Ялта"
5,"АР Крим","загальнодержавне","Казантипський","природний заповідник",,450.1,"Указ Президента України від12.05.1998 р. № 458/98","Мінприроди України","98213 Ленінський р-н,м. Щолкіне"
6,"АР Крим","загальнодержавне","Опукський","природний заповідник",,1592.3,"Указ ПрезидентаУкраїни від12.05.1998 р. № 458/98","Мінприроди України","Ленінський р-н,с. Яковенкове,вул.. Чорноморська, 1а"
7,"АР Крим","загальнодержавне","Чарівна гавань","національний природний парк",,10900,"Указ ПрезидентаУкраїни від11.12.2009 р. № 1037/2009","Мінприроди України","Чорноморський район Оленьовський с/р Окуньовська с/р"
8,"АР Крим","загальнодержавне","Аю-Даг","заказник","ландшафтний",527,"Пост. РМ УРСР від 28.10.1974 р. № 500","ДП Алуштинське ЛГ","Запрудниньське л-во, кв.32 сел. Партеніт"
9,"АР Крим","загальнодержавне","Великий каньйон Криму","заказник","ландшафтний",300,"Пост. РМ УРСР від 28.10.1974 р. № 500","ДП Куйбишевське ЛГ","Бахчисарайський р-н, Соколинівське л-во"
10,"АР Крим","загальнодержавне","Плакуча скеля","заказник","ландшафтний",21.7,"Пост. РМ УРСР від 13.02.1989 р. № 53","Пожарська с/р","Сімферопольський р-н, с. Пожарське"
11,"АР Крим","загальнодержавне","Арабатський","заказник","ботанічний",600,"Пост. РМ УРСР від 28.10.1974 р. № 500","СПГ Семісотка","Ленінський р-н,с. Кам'янка"
12,"АР Крим","загальнодержавне","Урочище Карабі-Яйла","заказник","ботанічний",491,"Пост. РМ УРСР від 03.08.1978 р. № 383","ДП Білогірське ЛГ","Новокленівське л-во, кв. 74,75,84-86"
13,"АР Крим","загальнодержавне","Канака","заказник","ботанічний",160,"Пост. РМ УРСР від 07.01.1987 р. № 2","ДП Судакське ЛМГ","Привітненське л-во, кв. 38-40"
14,"АР Крим","загальнодержавне","Урочище Кубалач","заказник","ботанічний",526,"Пост. РМ УРСР від 03.08.1978 р. № 383","ДП Білогірське ЛГ","Білогірський р-н, с. Мелихово, Пристепне л-во кв. 25,26,28,29,32,33."
15,"АР Крим","загальнодержавне","Новий Світ","заказник","ботанічний",470,"Пост РМ УРСРвід 28.10.1974 р. № 500","ДП Судакське ЛМГ","Судакське л-во кв.42-46,67"
16,"АР Крим","загальнодержавне","Мале філофорне поле","заказник","ботанічний",38500,"Указ Президента Українивід 31.08.2012 р. № 527/2012","Науково-дослідна установа Український науковий центр екології моря Міністерства екології та природних ресурсів України","Акваторія Чорного моря"
17,"АР Крим","загальнодержавне","Астанінські плавні","заказник","орнітологічний",50,"Пост. РМ УРСРвід 28.10.1974 р. № 500",,"Ленінський р-н, с. Астаніне"
18,"АР Крим","загальнодержавне","Каркінітський","заказник","орнітологічний",27646,"Пост. РМ УРСР від 11.01.1978 р. № 43","Кримський ПЗ","Акваторія Чорного моря, Роздольненський р-н, Красноперекопський р-н"
19,"АР Крим","загальнодержавне","Хапхальський","заказник","гідрологічний",250,"Пост. РМ УРСР від 28.10.1974 р. № 500","ДП Алуштинське ЛГ","м. Алушта, Сонячногірське л-во, кв. 9-11"
20,"АР Крим","загальнодержавне","Качинський каньйон","заказник","геологічний",100,"Пост. РМ УРСР від 28.10.1974 р. № 500","ДП Бахчисарайське ЛГ","Бахчисарайській р-н Михайлівське л-во долина р. Кача кв. 55-57,61"
21,"АР Крим","загальнодержавне","Гірський карст Криму","заказник","геологічний",4316,"Пост. РМ УРСР від 13.02.1989 р.№ 53","ДП Білогірське ЛГ ДП Алуштинське ЛГ ДП Судакське ЛМГ","Білогірський р-н, Новокленівське л-во, Привітнінське л-во"
22,"АР Крим","загальнодержавне","Агармишський ліс","пам’ятка природи","комплексна",40,"Пост. РМ УРСР від 14.10.1975 р. № 780-р","ДП Старокримське ЛГ","м. Старий Крим, Старокримське л-во, кв. 13"
23,"АР Крим","загальнодержавне","Бельбекський каньон","пам’ятка природи","комплексна",100,"Пост. РМ УРСР від 14.10.1975 р. № 780-р","ВАТ агрофірма ім. Іліча","Бахчисарайський р-н, долина р. Бельбек с. Танкове"
24,"АР Крим","загальнодержавне","Гора Ак-Кая","пам’ятка природи","комплексна",30,"Пост. РМ УРСР від 30.03.1981 р.№ 145","Вишенська с/р","Білогірський р-н,с. Біла Скеля"
25,"АР Крим","загальнодержавне","Гора Кішка","пам’ятка природи","комплексна",50,"Пост. РМ УРСР від 21.03.1984 р. № 139","Сімеїзська с/р","м. Ялта, смт. Сімеїз"
26,"АР Крим","загальнодержавне","Гірський масив Караул-Оба","пам’ятка природи","комплексна",100,"Пост. РМ УРСР від. 14.10.1975 р. № 780-р","ДП Судакське ЛМГ","Судакський р-н,с. Новий світ,Морське л-во, кв. 45"
27,"АР Крим","загальнодержавне","Гора останец Мангуп-Кале","пам’ятка природи","комплексна",90,"Пост. РМ УРСР від.14.10.1975 р. № 780-р","Бахчисарайський державний історико-культурний заповідник","Бахчисарайській р-н,с. Залісне"
28,"АР Крим","загальнодержавне","Гора Кара-Тау","пам’ятка природи","ботанічна",100,"Пост. РМ УРСР від.30.03.1981 р.№145","ДП Алуштинське ЛГ","м. Алушта с. Генеральське Сонячногірське л-во, кв.75"
29,"АР Крим","загальнодержавне","Карабі-яйлинська котловина","пам’ятка природи","ботанічна",32,"Пост. РМ УРСР від. 14.10.1975 р. № 780-р","ДП Білогірське ЛГ","Білогірський р-н, с. Новокленівка, Новокленівське л-во, кв.75, східна частина Карабі-Яйли"
