"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Черкаська","загальнодержавне","Канівський природний заповідник","природний заповідник",,8634.88,"Постанова РМ УРСР від 27.11.68 р. № 568, Указ Президента України від 01.01.2010 № 2","Державний університет ім.Т.Г.Шевченка","Адмінмежі м. Канів, Бубнівсько-Слобідської сільської ради Золотоніського району, Пекарівської, Прохорівської, Хмільнянської, Яблунівської сільських рад Канівського району"
2,"Черкаська","загальнодержавне","Білоозерський","національний природний парк",,3356.22,"Указ Президента України від 11.12.2009 № 1048",,"Канівський район, адміністративні межі Ліплявської сільської ради та Озерищанської сільських рад"
3,"Черкаська","загальнодержавне","Нижньосульський","національний природний парк",,7871.0083,"Указ Президента України від 10.02.2010 № 155",,"Чорнобаївський район, адмінмежі Мохнацької, Великобурімської, Лящівської сільських рад (створено на базі ландшафтного заказника загальнодержавного значення Сулинський)"
4,"Черкаська","загальнодержавне","Тарасів обрій","заказник","ландшафтний",405,"Постанова РМ УРСР від 18.01.90 р. № 4","Прохорівське л-во, КСП Дніпро","Канівський район, кв. 10, 12, 13, 15-17 Прохорівського л-ва, КСП Дніпро"
5,"Черкаська","загальнодержавне","Сулинський","заказник","ландшафтний",7871.0083,"Указ президента України від 09.12.98 № 134/98","Чорнобаївська РДА","Чорнобаївський район,Адмінмежі Мохнацької, Великобурімської, Кліщ енської сільських рад"
6,"Черкаська","загальнодержавне","Липівський заказник","заказник","орнітологічний",4500,"Постанова РМ УРСР від 28.10.74 р. № 500","МГ Вільхівська дача","Акваторія Кременчуцького водосховища в трикутнику с.Кедина гора – с.Чапаєвка – ст.Панське Золотоніського району"
7,"Черкаська","загальнодержавне","Русько-Полянський заказник","заказник","ботанічний",166,"Постанова РМ УРСР від 11.09.80 р. № 524","ДП Черкаське ЛМГ ","Черкаський район, Р.-Полянське л-во кв. 106 вид. 6, 9, 10, 13, 17, кв. 107 вид. 1, 2, 143, 15, 17, 19, 23"
8,"Черкаська","загальнодержавне","Шуляцьке болото","заказник","гідрологічний",940,"Ріш. Обл. ради від 28.04.93 р. № 14-21, Указ Президента України від 20.08.96 р.","СТОВ Шуляки","Жашківський район, с.Пугачівка, с.Бузівка, с.Шуляки"
9,"Черкаська","загальнодержавне","Закревський бір","пам’ятка природи","ботанічна",85,"Ріш. Обл ради від 22.05.90 р. № 95","ДП Черкаське ЛМГ","Городищенський район, кв. 11 Закревського л-ва кв. 1 вид. 2, кв. 8 вид. 14, кв 10 вид. 12, кв. 17 вид. 14"
10,"Черкаська","загальнодержавне","Урочище Школа","пам’ятка природи","зоологічна",5,"Розпорядж. РМ УРСР від 14.10.75 р. № 780-р","КСП Росава","Канівський район, с.Полствин р.Росава"
