"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Чернігівська","загальнодержавне","Ічнянський","національний природний парк",,9665.8,"Указ Президента України № 464/2004 від 21.04.2004 року","Мінприроди України","Ічнянський район"
2,"Чернігівська","загальнодержавне","Мезинський","національний природний парк",,31035.2,"Указ Президента України № 122/2006 від 10.02.2006 року","Мінприроди України","Коропський район"
3,"Чернігівська","загальнодержавне","Залісся","національний природний парк",,1287.5,"Указ Президента України № 1049/2009від 11.12.2009 року","Мінприроди України","Козелецький район"
4,"Чернігівська","загальнодержавне","Замглай","заказник","ландшафтний",4428,"Указ Президента України № 1207/2000 від 04.11.2000 року","Ріпкинська, Замглайська селищні ради ріпкинського району","Ріпкинський район, смт. Замглай, с. Ловинь"
5,"Чернігівська","загальнодержавне","Рихлівська дача","заказник","ландшафтний",789,"Указ Президента України № 750/94 від 10.12.1994 року","ДП Холминське лісове господарство","Коропський район, кв. 43-53 Понорницького лісництва Холминського держлісгоспу"
6,"Чернігівська","загальнодержавне","Брецький","заказник","ботанічний",200,"Указ Президента України № 715/96 від 20.08.1996 року","Брецька сільська рада Корюківського району","Корюківський район, с. Бреч, с. Лубенець"
7,"Чернігівська","загальнодержавне","Оболонський","заказник","ботанічний",400,"Указ Президента України № 715/96 від 20.08.1996 року","Приватне підприємство Оболонь","Коропський район, с. Оболоння"
8,"Чернігівська","загальнодержавне","Путивський","заказник","ботанічний",150,"Указ Президента України № 715/96 від 20.08.1996 року","Горбівська сільська рада Новгород-Сіверського району","Новгород-Сіверський район, с. Путивськ"
9,"Чернігівська","загальнодержавне","Середовщина","заказник","ботанічний",288,"Указ Президента України № 1207/2000 від 04.11.2000 року","ДП Ніжинське лісове господарство","Ніжинський район, кв. 1-7 Мринського ліництва"
10,"Чернігівська","загальнодержавне","Болото Мох","заказник","гідрологічний",98,"Постанова Ради Міністрів УРСР № 500 від 28.10.1974 року","ДП Корюківське лісове господарство","Щорський район, кв. 19, 20, 25, 26 Новгоборовицького лсництва Корюківського держлісгоспу"
