"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Чернівецька","загальнодержавне","Вижницький","національний природний парк",,11238,"Указ Президента України від 30.08.95. № 810/95,Указ Президента України від 04.09.07. № 818/2007","Адміністрація національного природного парку","Вижницький район"
2,"Чернівецька","загальнодержавне","Черемоський","національний природний парк",,7117.5,"Указ Президента України від 11.12.09. № 1043/2009","ДП Путильський лісгосп,Карпатський держспецлісгосп АПК","Путильський район:"
3,"Чернівецька","загальнодержавне","Хотинський","національний природний парк",,9446.1,"Указ Президента України від 22.01.2010.№ 56/2010","ДП хотинський лісгосп,ДП Хотинське спеціалізоване лісництво АПК, ДП Сокірянський лісгосп, ДП Кельмінецьке спеціалізоване лисництва АПК, Дністровське прутське басейнове управління водних ресурсів","Хотинський, Кельменецький , Сокирянський райони"
4,"Чернівецька","загальнодержавне","Цецино","заказник","ландшафтний",430,"Постанова Ради Міністрів УРСР від 28.10.74 № 500","ДП Чернівецький лісгосп","Кіцманський район:ДП Чернівецький лісгосп Ревнянське л-во кв.21-25"
5,"Чернівецька","загальнодержавне","Чорний Діл","заказник","ландшафтний",263,"Постанова Ради Міністрів УРСР від 25.02.80 № 132","ДП Путильський лісгосп","Путильський район: ДП Путильський лісгосп Перкалабське лісництво кв.2-6, 8, 15-18"
6,"Чернівецька","загальнодержавне","Кадубівська стінка","заказник","ландшафтний",22.8,"Указ Президента України від 10.12.94 № 750/94","Веренчанська сільська рада","Заставнівський район с.Веренчанка"
7,"Чернівецька","загальнодержавне","Совицькі болота","заказник","ландшафтний",105,"Указ Президента Українивід 10.12.94 № 750/94","Кліводинська сільська рада, Веренчанська сільська рада","Кіцманський район с.Кліводинпл.72,6 га, Заставнівський район с.Веренчанкапл.32,4 га"
8,"Чернівецька","загальнодержавне","Товтрівська стінка","заказник","ландшафтний",15.7,"Указ Президента України від 10.12.94 № 750/94","Товтрівська сільська рада","Заставнівський район с.Товтри"
9,"Чернівецька","загальнодержавне","Лунківський","заказник","лісовий",106,"Постанова Ради Міністрів УРСР від 28.10.74№ 500","ДП Сторожинець-кий лісгосп","Сторожинецький район:ДП Сторожинецький лісгосп Красноїльське л-во кв.28 вид.7-9, 11-13"
10,"Чернівецька","загальнодержавне","Петрівецький","заказник","лісовий",170,"Постанова Ради Міністрів УРСР від 12.12.83№ 495","ДП Сторожинець-кий лісгосп","Сторожинецький район:ДП Сторожинецький лісгосп В-Петрівецьке лісництво кв. 55, 67"
11,"Чернівецька","загальнодержавне","Драницький","заказник","орнітологічний",80,"Постанова Ради Міністрів УРСР від 02.11.84 № 434","Драницька сільська рада","Новоселицький район с.Драниця"
12,"Чернівецька","загальнодержавне","Молочнобратський карстовий масив","заказник","карстово-спелеологічний",20.3,"Указ Президента Українивід 10.12.94 № 750/94","ДП Путильський лісгосп","Путильський район: ДП Путильський лісгосп Перкалабське лісництво кв.17 вид.1, 3-10"
13,"Чернівецька","загальнодержавне","Чорнопотоцький","заказник","карстово-спелеологічний",49,"Указ Президента Українивід 10.12.94 № 750/94","Погорилівська сільська рада,Юрковецька сільська рада,Боянчуцька сільська рада","Заставнівський район між селами Погорилівка і Юрківці:Погорилівська сільська рада- 19,2 га;Юрковецька сільська рада- 5,2 га;Боянчуцька сільська рада – 24,6 га."
14,"Чернівецька","загальнодержавне","Борівецька","пам’ятка природи","комплексна",20.4,"Указ Президента Українивід 20.08.96№ 715/96","Борівецька сільська рада","Кіцманський район с.Борівці"
15,"Чернівецька","загальнодержавне","Шилівський ліс","пам’ятка природи","ботанічна",60,"Постанова Ради МіністрівУРСР від 30.03.81№ 145 -Р","ДП Хотинський лісгосп","Хотинський район:ДП Хотинський лісгоспКолінківське лісництвокв.60 вид.1"
16,"Чернівецька","загальнодержавне","Рухотинський ліс","пам’ятка природи","ботанічна",49,"Постанова Ради Міністрів УРСР від 10.10.75№ 780 -Р","ДП Хотинський лісгосп","Хотинський район:ДП Хотинський лісгоспРухотинське лісництвокв.55 вид.8"
17,"Чернівецька","загальнодержавне","Тисовий яр","пам’ятка природи","ботанічна",10,"Постанова Ради Міністрів УРСР від 30.03.81№ 145 -Р","ДП Чернівецький лісгосп","Сторожинецький район:ДП Чернівецький лісгоспКучурівське лісництвокв. 10 вид.16, кв.11 вид.1"
18,"Чернівецька","загальнодержавне","Урочище Білка","пам’ятка природи","ботанічна",6,"Постанова Ради Міністрів УРСР від 30.03.81 № 145Р","Панківська сільська рада","Сторожинецький районс. Панка"
19,"Чернівецька","загальнодержавне","Печера Буковинка","пам’ятка природи","геологічна",14.7,"Постанова Ради Міністрів УРСР від 30.03.81 № 145","Стальнівецька сільська рада","Новоселицький район, с. Стальнівці"
20,"Чернівецька","загальнодержавне","Печера Попелюшка","пам’ятка природи","геологічна",24,"Постанова Ради Міністрів УРСР від 30.03.81 № 145,Р Указ Президента України від 09.12.98 №1341/98","Сільськогосподар-ський виробничий кооператив ім.Суворова","Новоселицький район, с. Подвірне"
21,"Чернівецька","загальнодержавне","Печера Баламутівська","пам’ятка природи","геологічна",1,"Постанова Ради Міністріввід 21.07.65 № 711","Баламутівська сільська рада","Заставнівський район,с.Баламутівка"
22,"Чернівецька","загальнодержавне","Печера Піонерка","пам’ятка природи","геологічна",1,"Постанова Ради Міністріввід 30.03 81 № 145","Погорилівська сільська рада","Заставнівський районс. Погорилівка"
23,"Чернівецька","загальнодержавне","Сторожинецький","дендрологічний парк",,17.5,"Постанова Ради Міністрів УРСР від 01.11.68 № 1035-р","Сторожинецький лісовий коледж","Сторожинецький район м. Сторожинець"
24,"Чернівецька","загальнодержавне","Чернівецький","дендрологічний парк",,4.8,"Постанова Ради Міністрів УРСР від 07.07.63№ 1180-р","ЧНУ ім..Ю.Федьковича","м. Чернівці вул.Коцюбинського, 2"
25,"Чернівецька","загальнодержавне","Чернівецький","ботанічний сад",,3.5,"Постанова Ради Міністрів УРСР від 07.07.63 № 1180-р","ЧНУім..Ю.Федьковича","м. Чернівцівул. Федьковича, 11"
26,"Чернівецька","місцеве","Чернівецький","регіональний ландшафтний парк",,21487.5,"Розпоряд-ження облдержадміністрації від 08.02.96 № 87-р; рішення 20-ї сесії обласної ради ІV скликання від 28.04.05.№ 66-20/05; рішення 14-ї сесії обласної ради ХХІV скликання від 10.06.04 № 65-14/04та рішення 7-ї сесії обласної ради V скликання від 16.10.06 № 105-7/06","ДП Сторожинець-кий лісгосп,Сторожинецький держспецлісгосп АПК,ДП Чернівецький лісгосп,ДП Кіцманський ліс АПК","Сторожинецький район: (5775 га) ДП Сторожинецький лісгосп: Сторожинецьке лісництво кв.1-35- 3026,0 гаСторожинецький держспецлісгосп АПК:Сторожинецьке лісництвокв.1-18,кв.19 вид.1-12,20,кв.28 вид.1, 4, 12, 14, 32-46 – 1608,0 гаДП Чернівецький лісгосп:Кучурівське л-во кв. 1-17- 1141,0 га.Глибоцький район:(3539га)ДП Чернівецький лісгосп:Кузьминське лісництвокв. 1-42, 44-54 крім кв.35 л.д.1 і кв.48 л.д.3- 2599,0га.Кучурівське л-во кв. 18-36- 940,0 га.Кіцманський район: (3487га)ДП Чернівецький лісгосп:Ревнянське лісництво кв.1-20,26,27- 2123,0гаДП Кіцманський ліс АПККіцманське лісництвокв.9-11 – 222,0 гаДрачинецьке лісництво кв.12-24 – 1142,0 гаЗаставнівський район: (5989га)ДП Чернівецький лісгосп:Чорнівське лісництво кв. 1-89,90 - 4917,0 га Садгірське лісництвокв.1-20.- 1072,0 гаНовоселицький район: (242га)Садгірське лісництвокв.61-64.- 242,0 гаЧернівецька міська рада:(2505 га) 2455,5Ревнянське лісництво кв.21-25- 430,0га(Чорнівське лісництво кв. 90 - 149,0 га)Садгірське лісництвокв.21-60.- 1926,0 га"
27,"Чернівецька","місцеве","Березовий гай","регіональний ландшафтний парк",,14985.8,"Розпоряд-ження облдержадміністрації від 04.03.97№ 124-р;рішення 15-ї сесії обласної ради ІV скликаннявід 12.08.04№ 103-15/04","ДП Путильський лісгосп, Карпатський держспецлісгосп АПК","Путильський район:ДП Путильський лісгосп,Перкалабське лісницт-во пл. 4699,0 га,Усть-Путильське лісництво пл. 690,0 га,Путильське лісництво пл. 1305,0 га,Сергіївське лісництво пл. 1054,0 га,Плосківське лісництво пл. 2174,0 га,Селятинське лісництво пл. 1557,0 га,Шепітське лісництво пл. 2943,0 га,Черемоське лісництвопл. 2776,0 га, Яблуницьке лісництво пл. 1487,0 га..Карпатський держспецлісгосп АПК:Ялівецьке лісництво,Шурдинське лісництво,Путильське лісництво,Карпатське лісництво,Конятинське лісництво, пл.. 3445, 3 га."
28,"Чернівецька","місцеве","Шебутинський яр","заказник","ландшафтний",794,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","ДП Сокирянський лісгосп","Сокирянський район: ДП Сокирянський лісгосп Романківське лісництво кв. 10-17,19, 21-22, 26-28,66, 68"
29,"Чернівецька","місцеве","Галицька стінка","заказник","ландшафтний",119.4,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","ДП Сокирянський лісгосп","Сокирянський район: ДП Сокирянський лісгосп Ломачинське лісництво кв. 1 вид.1-7кв.2 вид.1-2 кв.3 вид.1-3кв. 4 вид.1-2, 4, 6-10 кв.5 вид.11-13 кв.6 вид.9-10 кв.8 вид.3-6"
30,"Чернівецька","місцеве","Василівський яр","заказник","ландшафтний",497,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","ДП Сокирянський лісгосп","Сокирянський район: ДП Сокирянський лісгосп Сокирянське лісництво кв. 6, 7, 14-19, 72"
31,"Чернівецька","місцеве","Бабинська стінка","заказник","ландшафтний",1405,"Рішення облвиконкому від 16.01.91 № 22, рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01. № 171-17/01","ДП Сокирянський лісгосп","Кельменецький район:ДП Сокирянський лісгоспКельменецьке лісництво кв. 1-28, 31, 55, 56"
32,"Чернівецька","місцеве","Молодівський яр","заказник","ландшафтний",267.3,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","ДП Сокирянський лісгосп","Кельменецький,Сокирянський райони: ДП Сокирянський лісгоспІванівецьке лісництво кв.55-56 кв.8 вид.2, 3; кв.6"
33,"Чернівецька","місцеве","Поливанів яр","заказник","ландшафтний",411,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","ДП Сокирянський лісгосп","Кельменецький район:ДП Сокирянський лісгосп Іванівецьке лісництвокв.1-5, 58"
34,"Чернівецька","місцеве","Гриняцька стінка -1","заказник","ландшафтний",25.1,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","Хотинське держспецлісництво АПК","Хотинський районс.ГринячкаХотинське держспецлісництво АПКкв.6 вид.1-4"
35,"Чернівецька","місцеве","Гриняцька стінка -2","заказник","ландшафтний",41.4,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","Хотинське держспецлісництво АПК","Хотинський районс. Зелена ЛипаХотинське держспецлісництво АПКкв.4 вид.1-5"
36,"Чернівецька","місцеве","Прутська заплава","заказник","ландшафтний",805.1,"Рішення 18-ї сесії обласної ради XXI скликання від 12.12.93,рішення 17-ї сесії обласної ради ХХІІІ від 20.12.01№ 171-17/01","Новоселицьке держспецлісництво АПК","Новоселицький район: с.с. Костичани, Драниця,Тарасівці,Ванчиківці, Мамалига,Новоселицьке держспецлісництво АПК"
37,"Чернівецька","місцеве","Баламутівська стінка","заказник","ландшафтний",78.7,"Рішення 18-ї сесії обласної ради XXI скликання від 12.12.93","Баламутівськасільська радаХотинське держспецлісництвоАПК","Заставнівський район:Баламутівська сільська рада пл.35,0 га.Хотинський район:с. ПеребиківціХотинське ДСП АПК пл. 43,7 га."
38,"Чернівецька","місцеве","Совицький рів","заказник","ландшафтний",5.3,"Рішення Облвиконкому від 17.03.92 № 72","Кліводинська сільська рада","Кіцманський район с.Кліводин"
39,"Чернівецька","місцеве","Буковинські водоспади","заказник","ландшафтний",38.5,"Рішення Облвиконкому від 16.01.91 № 22","Розтоківська сільська рада","Путильський районс.Розтоки"
40,"Чернівецька","місцеве","ГарячийУрбан","заказник","ландшафтний",108,"Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03.99№ 14-6/99","Чоловічий монастир Різдва Пресвятої Богородиці Горєча, департамент ЖКГм.Чернівці","м. Чернівцівул. М.Олімпіади чоловічий монастир Різдва Пресвятої Богородиці Горєча пл.20,0 га ; департамент ЖКГ м.Чернівці пл.88,0 га . "
41,"Чернівецька","місцеве","Хотинська фортеця","заказник","ландшафтний",22,"Рішення 14-ї сесії обласної ради ХХІV скликаннявід 10.06.04 № 65-14/04","Адміністрація держ. архітектурного заповідника Хотинська фортеця","м. Хотин Державний історико-архітектурний заповідник Хотинська фортеця"
42,"Чернівецька","місцеве","Красноїльський","заказник","ландшафтний",1129,"Рішення 7-ї сесії обласної ради V скликання від 16.10.06 № 105-7/06","Сторожинецький держспецлісгоспАПКДП Сторожинець-кий лісгосп","Сторожинецькийрайон:Сторожинецький Держспецлісгосп АПККрасноїльське лісництвокв.21 вид.1-13,кв.27 вид. 1-14 пл.134,0 га;ДП Сторожинець-кий лісгосп Красноїльське лісництво кв.4, 5, 7-11, 13, 14 пл.995,0 га"
43,"Чернівецька","місцеве","Бернівський острів","заказник","іхтіологічний",25,"Роз поряд-ження облвикон-кому від 08.02.96 № 87-р","Дністровсько-Прутське БУВР","Кельменецький район, с.Берново"
44,"Чернівецька","місцеве","Дарабанське плесо","заказник","іхтіологічний",32,"Рішення 2-ї сесії обласної ради XXII скликання від 16.12.94","Анадольська сільська рада","Хотинський районс. Анадоли"
45,"Чернівецька","місцеве","Орестовський","заказник","іхтіологічний",156,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01 № 171-17/01","Пригородоцька сільська рада","Хотинський район:с.Орестівка, с.Пригородок"
46,"Чернівецька","місцеве","Василівська вирва","заказник","іхтіологічний",7,"Рішення облвиконкому від 17.03.92 № 72","Василівська сільська рада","Заставнівський район, с.Василів"
47,"Чернівецька","місцеве","Репужинські острови","заказник","іхтіологічний",14,"Рішення облвиконкому від 17.03.92 № 72","Репужинецька сільська рада","Заставнівський район, с.Репужинці"
48,"Чернівецька","місцеве","Митківський","заказник","іхтіологічний",369,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01 № 171-17/01","Митківська, Мусо-рівська,Самушинсь-ка сільські ради","Заставнівський район: с.Митків-109га, с.Мусорівка-150га, с.Самушин-110га"
49,"Чернівецька","місцеве","Непоротівський","заказник","іхтіологічний",9,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01 № 171-17/01","Дністровсько-Прутське басейнове управління водних ресурсів","Сокирянський район с.Непоротове"
50,"Чернівецька","місцеве","Куютинський","заказник","іхтіологічний",16,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01 № 171-17/01","Дністровсько-Прутське БУВР","Сокирянський район, с.Ломачинці"
51,"Чернівецька","місцеве","Сіретський","заказник","іхтіологічний",5019,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01№ 171-17/01","Сторожинецький район:сільські ради сіл: Ст. Жадова, Панка,Комарівці, Ропча,Н.Бросківці, Чудей,Ст.Бросківці, Банилів Підгірний,Давидівці, Буде-нець, Н.Петрівці, В.Петрівці, Іжівці,Красноїльськ;Вижницький район:сільські ради сіл:Берегомет,Долішній Шепіт, Мигово, Лукавці","Ділянка р.Сірет з притоками від с.Панка Сторожинецького району вгору по течії в межах Черні-вецької області.Вижницький район-1095,0га, Сторожинецький район - 3924,0га."
52,"Чернівецька","місцеве","Черемоський","заказник","іхтіологічний",3288,"Рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01№ 171-17/01","Вижницький район: Вижницька міська рада;Путильський район:сільські ради сілПідзахаричі, Розто-ки, Мариничі, Усть-Путила,Довгопілля,Конятин, Яблуниця","Вижницький район:ділянка р.Черемошз притоками від м. Вижниця вгору по течії в межах Чернівецької області"
53,"Чернівецька","місцеве","Неполоківець-кий","заказник","іхтіологічний",26.8,"Рішення 6-ї сесії обласної ради ХХІV скликаннявід 27.12. 02№ 127-6/02","Неполоківецька селищна рада","Кіцманський район:ділянка р.Прут в місці впадіння р.Черемош в межах с. Неполо-ківці"
54,"Чернівецька","місцеве","Глиницький","заказник","іхтіологічний",15.6,"Рішення 6-ї сесії обласної ради ХХІV скликаннявід 27.12. 02 № 127-6/02","Глиницька сільська рада","Кіцманський район:ділянка р.Прут в межах с .Коросту-вата"
55,"Чернівецька","місцеве","Чапля","заказник","орнітологічний",8.3,"Рішення облвиконкому від 19.01.83№ 15,від 17.10.84 № 216","ДП Хотинський лісгосп","Хотинський район:ДП Хотинський лісгоспРухотинське лісництвокв.18 вид.15"
56,"Чернівецька","місцеве","Дністровський","заказник","орнітологічний",13.5,"Рішення облвиконкому від 17.10.84 № 216","Бабинська сільська рада","Заставнівський район с.Бабин"
57,"Чернівецька","місцеве","Кліводинський","заказник","орнітологічний",1.1,"Рішення облвиконкому від 19.01.83№ 15,від 17.10.84 № 216","Чернівецька дистанція захисних лісонасаджень Львівської залізниці","Кіцманський район:залізничний перегінКіцмань-Кліводинкм.81, ПК 7-км.82, ПК 5"
58,"Чернівецька","місцеве","Чорний лелека","заказник","орнітологічний",17.1,"Розпоряд-ження облдержад-міністраціївід 08.02.96№ 87-р","Чернівецький військовий лісгосп","Сторожинецькийрайон: Чернівецький військовий лісгоспкв.12 вид.5, кв.23 вид.1"
59,"Чернівецька","місцеве","Чорторийський","заказник","орнітологічний",57.9,"Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03. 99№ 14-6/99","ТзОВ Либідь,Брусницька сільська рада","Кіцманський район:с.ЧорторияТзОВ Либідь-пл.50,28 га;Брусницька сільська рада-пл.7,62 га.."
60,"Чернівецька","місцеве","Василишине","заказник","орнітологічний",22,"Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03. 99 № 14-6/99","Рідківецька сільська рада","Новоселицький район с.Рідківці"
61,"Чернівецька","місцеве","Юрківський карст","заказник","карстово-спелеологічний",12.1,"Рішення облвиконкому від 16.01.91 № 22","Юрківецька сільська рада","Заставнівський район, с.Юрківці"
62,"Чернівецька","місцеве","Джерело","заказник","лісовий",149,"Рішення облвикон-комувід 17.10.84 № 216","ДП Чернівецький лісгосп","Глибоцький район: ДП Чернівецький лісгосп, Кузьмінське л-вокв.9 вид.1, 3, 7, 8, кв.10 , 15, 18"
63,"Чернівецька","місцеве","Еталонне насадження бука","заказник","лісовий",69,"Розпорядження облдержадміністрації від 08.02.96 № 87-р, рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01 № 171-17/01","Чернівецький військовий лісгосп","Сторожинецький район: Чернівецький військовий лісгоспкв.20, вид.3,кв.22, вид 1,2,3,4,5,кв.23, вид 3"
64,"Чернівецька","місцеве","Боргиня","заказник","лісовий",470,"Рішення облвиконкому від 17.10.84№ 216","ДП Путильський лісгосп","Путильський район:ДП Путильський лісгоспПлосківське л-во кв. 1-4"
