"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Дніпропетровська","загальнодержавне","Дніпровсько-Орільський","природний заповідник",,3766.2,"Постанова РМ УРСР 15.09.1990 № 262","Дніпровсько-Орільський природний заповідник Дніпропетровське обласне управління лісового та мисливського господарства","Дніпропетровський та Петриківський райони, Орільське лісництво"
2,"Дніпропетровська","загальнодержавне","Приорільський","заказник","ландшафтний",8377,"Указ Президента України 09.12.1998 № 1341/98","Магдалинівська, Новомосковська райдержадміністрації, Новомосковський держлісгосп","Між селами Орілька, Багате та Перещепине Новомосковського району та між селами Личкове,Бузівка, Ковпаківка, Котовка, Степанівка, Заплавка, Гупалівка Магдалинівського району"
3,"Дніпропетровська","загальнодержавне","Богданівський","заказник","ландшафтний",1387,"Указ Президента України 09.12.1998 № 1341/98","ВАТ ОГЗК Марганецький держлісгосп","Нікопольський район"
4,"Дніпропетровська","загальнодержавне","Балка Північна Червона","заказник","ландшафтний",28,"Постанова РМ УРСР 12.12.1983 №495","Управління містобудування і архітектури виконкому Криворізької міськради","Північно-західна околиця м. Кривий Ріг"
5,"Дніпропетровська","загальнодержавне","Кільченський","заказник","ландшафтний",100,"Постанова РМ УРСР 28.10.1974 №500","Дніпропетровська райдержадміністрація","м. Підгородне Дніпропетровського району"
6,"Дніпропетровська","загальнодержавне","Комарівщина","заказник","ландшафтний",288,"Постанова РМ УРСР 12.12.1983 №495","Новомосковський держлісгосп","Відрадне лісництво кв.38,39,45,46,47"
7,"Дніпропетровська","загальнодержавне","Солоний лиман","заказник","ландшафтний",341,"Постанова РМ УРСР 25.02.1980 №132","Новомосковська райдержадміністрація","Між с. Новотроїцьке, Знаменівка Новомосковського району"
8,"Дніпропетровська","загальнодержавне","Інгулецький степ","заказник","ландшафтний",65.6,"Указ Президента України від 21.02.2002 №167/2002","Криворізька райдержадміністрація","с. Недайвода Криворізького району"
9,"Дніпропетровська","загальнодержавне","Бакаї","заказник","ландшафтний",690,"Указ Президента України від 12.09.2005 № 1238/2005","Васильківська райдержадміністрація","смт. Васильківка, с. Вовчанське Васильківського району"
10,"Дніпропетровська","загальнодержавне","Преображенський","заказник","ландшафтний",312.6,"Указ Президента України від 12.09.2005 № 1238/2005","Васильківський держлісгосп, Васильківська райдержадміністрація","с. Богданівка, селище Правда, с. Преображенське Васильківського району"
11,"Дніпропетровська","загальнодержавне","Дебальцевські лимани","заказник","ландшафтний",429.3,"Указ Президента України від 12.09.2005 № 1238/2005","Васильківська райдержадміністрація","с. Дебальцеве, с. Перевальське Васильківського району"
12,"Дніпропетровська","загальнодержавне","Вишневський","заказник","ландшафтний",615,"Указ Президента України від 12.09.2005 № 1238/2005","Криничанська райдержадміністрація","с. Семенівка, с. Барвінок Криничанського району"
13,"Дніпропетровська","загальнодержавне","Мар’їн гай","заказник","ландшафтний",2803,"Указ Президента України від 12.09.2005 № 1238/2005","Павлоградський держлісгосп, Петропавлівська райдержадміністрація","с. Дмитрівка, с. Бажани, с. Миколаївка, с. Катеринівка Петропавлівського району"
14,"Дніпропетровська","загальнодержавне","Петропавлівські лимани","заказник","ландшафтний",4193,"Указ Президента України від 12.09.2005 № 1238/2005","Павлоградський держлісгосп, Петропавлівська райдержадміністрація","с. Коханівка, с. Брагинівка, с. Самарське, смт. Петропавлівка, с. Петрівка, с. Миколаївка Петропавлівського району"
15,"Дніпропетровська","загальнодержавне","Кам’янський прибережно-річковий комплекс","заказник","ландшафтний",2615,"Указ Президента України від 25.11.2008 № 1078/2008","Апостолівська райдержадміністрація","Михайлівка, Кам’янка, Токівське, Ленінське Апостолівського району"
16,"Дніпропетровська","загальнодержавне","Урочище Яцево","заказник","лісовий",175,"Постанова РМ УРСР 19.04.1977 №198","Дніпропетровський держлісгосп","с. Любимівка Дніпропетровського району, Любимівське лісництво кв.18-20"
17,"Дніпропетровська","загальнодержавне","Велика Западня","заказник","лісовий",157,"Постанова РМ УРСР 28.10.1974 №500","Верхньодніпровський держлісгосп","с. Зарічне, Верхньодніпровського району Верхньодніпровське лісництво кв.3,4"
18,"Дніпропетровська","загальнодержавне","Грушеватський","заказник","лісовий",598,"Постанова РМ УРСР 28.10.1974 №500","Верхньодніпровський держлісгосп","с. Іванівка П’ятихатського району П’ятихатське лісництво кв.58-90"
19,"Дніпропетровська","загальнодержавне","Комісарівський","заказник","лісовий",947,"Постанова РМ УРСР 28.10.1974 №500","Верхньодніпровський держлісгосп","с. Новоукраїнка П’ятихатського району П’ятихатське лісництво кв.9-46"
20,"Дніпропетровська","загальнодержавне","Дібрівський","заказник","лісовий",1079,"Постанова РМ УРСР 28.10.1974 №500","Васильківський держлісгосп","с. Великомихайлівка, Покровського району Великомихайлівське лісництво кв.1-24,26-29,31-39"
21,"Дніпропетровська","загальнодержавне","Грабівський","заказник","ботанічний",207,"Постанова РМ УРСР 28.10.1974 №500","Верхньодніпровський держлісгосп","с. Біленщина, П’ятихатського району Мишурінорізьке лісництво кв.45-47"
22,"Дніпропетровська","загальнодержавне","Балка Бандурка","заказник","ботанічний",125,"Постанова РМ УРСР 28.10.1974 №500","Новомосковський військлісгосп","с. Євецько-Миколаївка, Новомосковського району Новомосковський військлісгосп кв.47,48"
23,"Дніпропетровська","загальнодержавне","Булахівський лиман","заказник","орнітологічний",100,"Постанова РМ УРСР 19.04.1977 №198","Павлоградська райдержадміністрація","с. Булахівка Павлоградського району"
24,"Дніпропетровська","загальнодержавне","Волошанська дача","заказник","орнітологічний",648,"Постанова РМ УРСР 28.10.1974 №500","Павлоградський держлісгосп","с. Преображенка Юр’ївського району, Юр’ївська виробнича ділянка кв.1-12"
25,"Дніпропетровська","загальнодержавне","Урочище Лелія","пам’ятка природи","комплексна",30,"Розпорядження РМ УРСР 14.10.1975 №780-Р","Царичанська райдержадміністрація","Біля с. Турово Царичанського району"
26,"Дніпропетровська","загальнодержавне","Урочище Паськове","пам’ятка природи","ботанічна",56,"Розпорядження РМ УРСР 14.10.1975 №780-Р","Верхньодніпровський держлісгосп","В 4 км південніше с. Івашкове Верхньодніпровського району Бородаївське лісництво, кв.47"
27,"Дніпропетровська","загальнодержавне","Скелі Мопра","пам’ятка природи","геологічна",62,"Розпорядження РМ УРСР 14.10.1975 №780-Р","Управління містобудування і архітектури виконкому Криворізької міськради","м. Кривий Ріг"
28,"Дніпропетровська","загальнодержавне","Ботанічний сад Дніпропетровськ-кого національного університету","ботанічний сад",,33,"Постанова Держкомприроди УРСР 26.07.72 №22 /зміни Указ Президента України від 20.08.1996 №715/96","Дніпропетровський ботанічний сад Дніпропетровського національного університету Міносвіти України","м. Дніпропетровськ, пр. Гагаріна, 72"
29,"Дніпропетровська","загальнодержавне","Криворізький ботанічний сад НАН України","ботанічний сад",,75,"Постанова Президії Академії наук України 20.05. 1992 №144","Криворізький ботанічний сад НАН України","м. Кривий Ріг, Тернівський район"
30,"Дніпропетровська","загальнодержавне","Парк ім.Шевченка","парк-пам’ятка садово-паркового мистецтва",,45,"Постанова РМ УРСР 26.07.1972. №22","Управління культури та мистецтв Дніпропетровської міськради","м. Дніпропетровськ пл.ім. Шевченка, 1"
31,"Дніпропетровська","місцеве","Придніпровський","регіональний ландшафтний парк",,4917.9,"Рішення обласної ради від 25.09.2008 № 443-16/V","Дніпропетровський держлісгосп Солонянська райдержадміністрація","Солонянського району Микільське лісництво"
32,"Дніпропетровська","місцеве","Дніпровські ліси","регіональний ландшафтний парк",,4437.465,"Рішення обласної ради від 22.09.2010 №783-27/V","Дніпропетровський держлісгосп; Дніпропетровська райдержадміністрація; Дніпропетровська міська рада","смт. Кіровське, с. Балівка Дніпропетровського району, м. Дніпропетровськ Кіровське лісництво"
33,"Дніпропетровська","місцеве","Самарські плавні","регіональний ландшафтний парк",,2800.7,"Рішення обласної ради від 03.02.2012 №247-11/VI","Новомосковська районна державна адміністрація","біля с. Орлівщина Новомосковського району"
34,"Дніпропетровська","місцеве","Балка Кобильна","регіональний ландшафтний парк",,1844,"Рішення Дніпропетровської обласної ради від 05.12.2014 №597-28/VI","Широківська районна державна адміністрація","біля сел Чапаєвка, Григоріївка, Шестерня та Ганнівка Широківського району"
35,"Дніпропетровська","місцеве","Балка Північна Червона","заказник","ландшафтний",26,"Рішення облвиконкому від 09.06.1988 №231","Управління містобудування і архітектури виконкому Криворізької міськради","Північно-західна околиця м. Кривого Рогу"
36,"Дніпропетровська","місцеве","Балка Кирпична","заказник","ландшафтний",2.5,"Розпорядження облдержадміністрації 28.09.1992 №473","Дніпропетровське заводоуправління будматеріалів","с. Новоолександрівка Дніпропетровського району"
37,"Дніпропетровська","місцеве","Старовишневець-кий","заказник","ландшафтний",113.4,"Рішення облвиконкому 07.12.1985 №703, /зміни Розпорядженням 19.12.1995 №50-Р/","Синельниківська райдержадміністрація","с. Старовишневецьке Синельниківського району"
38,"Дніпропетровська","місцеве","Отченашкові наділи","заказник","ландшафтний",400,"Розпорядження облдержадміністрації 19.12.1995 №50-Р","Дніпропетровська райдержадміністрація","м. Підгородне Дніпропетровського району"
39,"Дніпропетровська","місцеве","Вершина","заказник","ландшафтний",48.4,"Рішення обласної ради 16.10.1998 №70-3/XXIII","ВАТ Просянський гірничо-збагачувальний комбінат","Біля хутора Вершина та смт. Просяна Покровського району"
40,"Дніпропетровська","місцеве","Візирка","заказник","ландшафтний",121,"Рішення облради від 28.12.2001 № 502-19/XXIII","ВАТ ІнГЗК","На північній околиці м. Інгулець"
41,"Дніпропетровська","місцеве","Урочище Хорошево","заказник","ландшафтний",15,"Рішення облради від 28.12.2001 № 502-19/XXIII","ФГ ВЕК","Біля с. Хорошеве Синельниківського району"
42,"Дніпропетровська","місцеве","Тернівський","заказник","ландшафтний",2156.4,"Рішення обласної ради від 25.09.2008 № 442-16/У","Павлоградська райдержадміністрація","с. Нова Дача, Нова Русь, Зелене, Поперечне Павлоградського району"
43,"Дніпропетровська","місцеве","Балка Городище","заказник","ландшафтний",1053.58,"Рішення обласної ради від 27.11.2008 № 482-17/V","Павлоградська райдержадміністрація","с. Привовчанське та Троїцьке Павлоградського району"
44,"Дніпропетровська","місцеве","Урочище Могила Баба","заказник","ландшафтний",625.7,"Рішення обласної ради від 29.01.2009 № 521-18/V","Павлоградська райдержадміністрація","с. Межиріч та Булахівка Павлоградського району"
45,"Дніпропетровська","місцеве","Річка Соломчина","заказник","ландшафтний",385.09,"Рішення обласної ради від 18.12.2009 №657-22/V","Васильківська райдержадміністрація","Між селами Рубанівське, Аврамівка та Червона Долина Васильківського району"
46,"Дніпропетровська","місцеве","Гришаї","заказник","ландшафтний",134.24,"Рішення обласної ради від 18.12.2009 №657-22/V",,"Між селами Лиса Балка, Гришаї та Дубовики Васильківського району"
47,"Дніпропетровська","місцеве","Новогригорівський","заказник","ландшафтний",338.87,"Рішення обласної ради від 18.12.2009 №657-22/V",,"На захід від с. Павлівка Васильківського району"
48,"Дніпропетровська","місцеве","Чаплино-Васильківський","заказник","ландшафтний",825.58,"Рішення обласної ради від 18.12.2009 №657-22/V",,"На південь від с. Григорівка Васильківського району"
49,"Дніпропетровська","місцеве","Річка Чаплина","заказник","ландшафтний",733.25,"Рішення обласної ради від 18.12.2009 №657-22/V",,"На захід від сел. Зелена Роща та Зелений Гай Васильківського району"
50,"Дніпропетровська","місцеве","Надвовчанський","заказник","ландшафтний",1059.47,"Рішення обласної ради від 18.12.2009 №657-22/V",,"смт. Васильківка, с. Письменне Воскресенівка, Великоолександрівка та Богданівка Васильківського району"
51,"Дніпропетровська","місцеве","Воронівський","заказник","ландшафтний",664.4,"Рішення Дніпропетровської облради від 22.09.2010 №783-27/V","Покровська райдержадміністрація","с. Великомихайлівка та Березове Покровського району"
52,"Дніпропетровська","місцеве","Річка Гайчур","заказник","ландшафтний",1254.5,"Рішення Дніпропетровської облради від 22.09.2010 №783-27/V",,"с. Андріївка, смт. Покровське та с. Олександрівка Покровського району"
53,"Дніпропетровська","місцеве","Річка Янчур","заказник","ландшафтний",978.4,"Рішення Дніпропетровської облради від 22.09.2010 №783-27/V",,"с. Андріївка, Вишневе, Олександрівка та Березове Покровського району"
54,"Дніпропетровська","місцеве","Березово-Вишневський","заказник","ландшафтний",1076.9,"Рішення Дніпропетровської облради від 25.03.2011 №89-5/VI","Покровська райдержадміністрація","с. Березове та Вишневе Покровського району"
55,"Дніпропетровська","місцеве","Балка Горіхова","заказник","ландшафтний",1297.1,"Рішення Дніпропетровської облради від 25.03.2011 №89-5/VI","Межівська райдержадміністрація","с. Новопавлівка Межівського району"
56,"Дніпропетровська","місцеве","Балка Скелька","заказник","ландшафтний",507.1,"Рішення Дніпропетровської облради від 25.03.2011 №89-5/VI","Межівська райдержадміністрація","с. Слов'янка Межівського району"
57,"Дніпропетровська","місцеве","Антонівський","заказник","ландшафтний",1874.1,"Рішення Дніпропетровської облради від 21.10.2011 №179-9/VI","Межівська райдержадміністрація","с. Іанівка та Богданівка Межівського району"
58,"Дніпропетровська","місцеве","Сухий Бичок","заказник","ландшафтний",1278.7,"Рішення Дніпропетровської облради від 21.10.2011 №179-9/VI","Межівська райдержадміністрація","с. Зоряне Межівського району"
59,"Дніпропетровська","місцеве","Малотернівський","заказник","ландшафтний",975,"Рішення Дніпропетровської облради від 21.10.2011 №179-9/VI","Павлоградська райдержадміністрація","с. Вербки Павлоградського району"
60,"Дніпропетровська","місцеве","Троїцько-Вишневецький","заказник","ландшафтний",681.8,"Рішення Дніпропетровської облради від 21.10.2011 №179-9/VI","Павлоградська райдержадміністрація","с. Привовчанске та Троїцьке Павлоградського району"
61,"Дніпропетровська","місцеве","В'язівоцький","заказник","ландшафтний",374.6,"Рішення Дніпропетровської облради від 21.10.2011 №179-9/VI","Павлоградська райдержадміністрація","с. В'язівок та Кочережки Павлоградського району"
62,"Дніпропетровська","місцеве","Старокасьянівсь-кий","заказник","ландшафтний",3504.2,"Рішення Дніпропетровської облради від 27.12.2011 №218-10/VI","Покровська райдержадміністрація","с. Катеринівка та смт. Покровське"
63,"Дніпропетровська","місцеве","Грушівка","заказник","ландшафтний",137.5,"Рішення Дніпропетровської облради від 27.12.2011 №218-10/VI","ВАТ Марганецький ГЗК","с. Новокиївка Томаківського району"
64,"Дніпропетровська","місцеве","Голубівський","заказник","ландшафтний",120.66,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Юр’ївська райдержадміністрація","с. Преображенка, Юр’ївського району"
65,"Дніпропетровська","місцеве","Варламівський","заказник","ландшафтний",801.34,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Юр’ївська райдержадміністрація","с. Жемчужне, Юр’ївського району"
66,"Дніпропетровська","місцеве","Урочище Приорільське","заказник","ландшафтний",945.46,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Юр’ївська райдержадміністрація","с. Чернявщина, Юр’ївського району"
67,"Дніпропетровська","місцеве","Івано-Межиріцький","заказник","ландшафтний",66.9,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Юр’ївська райдержадміністрація","с. Новомиколаївка, Юр’ївського району"
68,"Дніпропетровська","місцеве","Витоки річки Губинихи","заказник","ландшафтний",117,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Новомосковська райдержадміністрація","с. Губиніха, Новомосковського району"
69,"Дніпропетровська","місцеве","Мар’яно-Кулебівський","заказник","ландшафтний",1456,"Рішення Дніпропетровської облради від 03.02.2012 №247-11/VI","Новомосковська райдержадміністрація","с. Мар’янівка, Новомосковського району"
70,"Дніпропетровська","місцеве","Мости","заказник","ландшафтний",2330.9,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Верхньоднпровська райдержадміністрація","Верхньоднпровський район"
71,"Дніпропетровська","місцеве","Домотканські валуни","заказник","ландшафтний",826.7,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Верхньоднпровська райдержадміністрація","Верхньоднпровський район"
72,"Дніпропетровська","місцеве","Верхньочаплинський","заказник","ландшафтний",232.5,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Магдалинівська райдержадміністрація","Магдалинівський район"
73,"Дніпропетровська","місцеве","Середньочаплинський","заказник","ландшафтний",107.6,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Магдалинівська райдержадміністрація","Магдалинівський район"
74,"Дніпропетровська","місцеве","Заплавка","заказник","ландшафтний",448.4,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Магдалинівська райдержадміністрація","Магдалинівський район"
75,"Дніпропетровська","місцеве","Верхньокільченський","заказник","ландшафтний",909.6,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Магдалинівська та Новомосковська райдержадміністрація","Магдалинівський та Новомосковський райони"
76,"Дніпропетровська","місцеве","Річка Багатенька","заказник","ландшафтний",1653.4,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Новомосковська райдержадміністрація","Новомосковський райони"
77,"Дніпропетровська","місцеве","Річка Кільченька","заказник","ландшафтний",499.36,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI","Новомосковська райдержадміністрація","Новомосковський райони"
78,"Дніпропетровська","місцеве","Долина річки Бик","заказник","ландшафтний",2758.3,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI",,
79,"Дніпропетровська","місцеве","Балка Свідовок","заказник","ландшафтний",793.1,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI",,
80,"Дніпропетровська","місцеве","Сухарева балка","заказник","ландшафтний",617.4,"Рішення Дніпропетровської облради від 30.08.2013 №465-20/VI",,
81,"Дніпропетровська","місцеве","Рекалівський","заказник","ландшафтний",631,"Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI",,
