"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Донецька","загальнодержавне","Український степовий: Хомутовський степ","природний заповідник",,1030.4,"Постанова Маріупольського Окрвиконкому від 24.08.26 Постанова РМ УРСР №1118 від 22.07.61","Український степовий природний заповідник","Новоазовський р-н, с. Хомутове"
2,"Донецька","загальнодержавне","Український степовий: Кам’яні Могили","природний заповідник",,289.2,"Постанова Президії Маріупольського Окрвиконкому від 05.04.27, постанова РМ УРСР №1118 від 22.07.61","Український степовий природний заповідник","Володарський р-н,"
3,"Донецька","загальнодержавне","Український степовий: Крейдяна флора","природний заповідник",,1134,"Розпорядження РМ УРСР №310 - Р від 14.07.88","Український степовий природний заповідник","Новокраснівська сільска рада, біля с. Назарівка Слов’янський р-н, біля с. Піскунівка, Краснолиманський р-н , біля с. Закітне та с. Крива Лука Слов’янський (634,0 га) та Краснолиманський р-ни (500,0 га)"
4,"Донецька","загальнодержавне","Український степовий: Кальміуське","природний заповідник",,579.6,"Указ Президента України від 19.08.08 №723/2008","Український степовий природний заповідник","Тельманівський р-н, с.Стара Ласпа"
5,"Донецька","загальнодержавне","Святі Гори","національний природний парк",,40605.5,"Указ Президента України №135/97 від 13.02.97,","Слов’янський р-н, ДП Слов'янське лісове господарство, Долинська сільська рада Краснолиманський р-н, Краснолиманська міська рада, Криволуцька сільська рада, м. Святогірськ","Слов’янський та Краснолиманський р-ни, м. Слов’яногірськ"
6,"Донецька","загальнодержавне","Меотида","національний природний парк",,20720.9531,"Указ Президента України № 1099/2009 від 25.12.09","ДП Приазовське лісове господарство, Володарська райдержадміністрація, риболовецьке колективне господарство Прибой, Новоазовська райдержадміністрація","Володарський, Новоазовський та Першотравневий райони"
7,"Донецька","загальнодержавне","Бердянський","заказник","лісовий",413,"Постанова РМ УРСР №500 від 28.10.74","ДП Амвросіївське лісове господарство","Амвросіївський р-н, ДП Амвросіївське лісове господарство, Благодатнівське л-во, кв. 10-14; Степано-Кринське л-во, кв.31-35"
8,"Донецька","загальнодержавне","Великоанодольський","заказник","лісовий",2543,"Постанова РМ УРСР №500 від 28.10.74","ДП Великоанодольське лісове господарство","Волноваський р-н,ДП Великоанодольське лісове господарство, Великоанодольське л-во, кв. 1-90"
9,"Донецька","загальнодержавне","Білосарайська коса","заказник","ландшафтний",616,"Постанова РМ УРСР №132 від 25.02.80","ДП Приазовське лісове господарство","Першотравневий р-н, ДП Приазовське лісове господарство, Стародубівське л-во, кв. 51-58, акваторія Азовського моря –200,0 га"
10,"Донецька","загальнодержавне","Роздольненський","заказник","геологічний",100,"Постанова РМ УРСР №500 від 28.10.74","Роздольненська сільська рада","Старобешівський р-н, с. Роздольне"
11,"Донецька","загальнодержавне","Приазовський чапельник","заказник","орнітологічний",100,"Указ Президента України №1207/2000 від 04.11.2000","Першотравнева районна рада","Першотравневий р-н, смт. Ялта,"
