"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Івано-Франківська","загальнодержавне","Горгани","природний заповідник",,5344.2,"Указ Президента України від 12.09.1996 р. № 831/96","Міністерство еколгії та природних ресурсів України","Надвірнянський район, Бистрицька та Зеленська сільські ради"
2,"Івано-Франківська","загальнодержавне","Карпатський","національний природний парк",,50495,"Постанова РМ УРСР від 03.06.1980 р. № 376","Міністерство еколгії та природних ресурсів України","Яремчанська міська рада"
3,"Івано-Франківська","загальнодержавне","Гуцульщина","національний природний парк",,32271,"Указ Президента України від 14.05.2002 р. № 456/2002","Міністерство еколгії та природних ресурсів України","Косівський район"
4,"Івано-Франківська","загальнодержавне","Галицький","національний природний парк",,14684.8,"Указ Президента України від 09.08.2004 р. № 877/2004","Держкомлісгосп України","Галицький район"
5,"Івано-Франківська","загальнодержавне","Синьогора","національний природний парк",,10866,"Указ Президента України від 21.12.2009р. № 1083/2009",,"Богородчанський район"
6,"Івано-Франківська","загальнодержавне","Верховинський","національний природний парк",,12022.9,"Указ Президента України від 22.01.2010 р. № 58/2010","Міністерство еколгії та природних ресурсів України","Верховинський район"
7,"Івано-Франківська","загальнодержавне","Грофа","заказник","ландшафтний",2533.8,"Указ Президента України від 20.08.1996 р. № 715/96","ДП Осмолодський держлісгосп","Рожнятівський район, Довгополянське лісництво,кв.21,36,38; Менгільське лісництво, кв.8,13,22,23,26; Осмолодське лісництво, кв.30,31,36; Різарнянське лісництво, кв.12; Піскавське лісництв, кв.39"
8,"Івано-Франківська","загальнодержавне","Козакова долина","заказник","ландшафтний",953,"Постанова РМ УРСР від 16.12.1982 р. № 617","ДП Івано-Франківський держлісгосп","Тисменицький район, Дністровське лісництво, кв.3-16"
9,"Івано-Франківська","загальнодержавне","Урочище Скит Манявський","заказник","лісовий",362,"Постанова РМ УРСР від 16.12.1982 р. № 617","ДП Солотвинський держлісгосп","Богородчанський район, Манявське лісництво, кв. 32-37"
10,"Івано-Франківська","загальнодержавне","Бредулець-кий","заказник","лісовий",106,"Постанова РМ УРСР від 28.10.1974 р.№ 500","ДП Надвірнянський держлісгосп","Надвірнянський район, Зеленське лісництво, кв.5, вид.1-6; 8-23; 25"
11,"Івано-Франківська","загальнодержавне","Яйківський","заказник","ботанічний",263,"Постанова РМ УРСР від 28.10.1974 р. № 500","ДП Осмолодський держлісгосп","Рожнятіваський район, Мшанське лісництво, кв.35, вид.1-71"
12,"Івано-Франківська","загальнодержавне","Тавпишир-ківський","заказник","ботанічний",424,"Постанова РМ УРСР від 28.10.1974 р.№ 500","ДП Надвірнянський держлісгосп","Надвірнянський район, Бистрицьке лісництво, кв. 36,39,53,57"
13,"Івано-Франківська","загальнодержавне","Кливський","заказник","ботанічний",111.5,"Постанова РМ УРСР від 28.10.1974 р. № 500","ДП Делятинський держлісгосп","Надвірнянський район, Любіжнянське лісництво, кв.20, вид.4-8; 12-17; 24 -28; 30; 31; 33-38"
14,"Івано-Франківська","загальнодержавне","Княждвірсь-кий","заказник","ботанічний",208,"Постанова РМ УРСР від 28.10.1974 р. № 500","ДП Коломийський держлісгосп","Коломийський район, Печеніжинське лісництво кв.1-3,6,7"
15,"Івано-Франківська","загальнодержавне","Пожератульський","заказник","орнітологічний",207.5,"Постанова РМ УРСР від 28.10.1974 р. № 500 (внесені зміни Постановою РМ УРСР № 5 від 07.01.1985 р.)","ДП Делятинський держлісгосп","Надвірнянський район, Поляницьке лісництво, кв.35, вид. 2, 8, 10, 11; кв.36, вид. 4, 5, 6, 9; кв. 37, вид.1-6, 12-17, кв. 38, вид.18, 19, 22, 29"
16,"Івано-Франківська","загальнодержавне","Турова дача","заказник","гідрологічний",255,"Постанова РМ УРСР від 28.10.1974 р.№ 500","ДП Осмолодський держлісгосп","Рожнятівський район, Краснянське лісництво, кв. 8,9,10"
17,"Івано-Франківська","загальнодержавне","Скелі Довбуша","пам’ятка природи","комплексна",100,"Постанова РМ УРСР від 30.03.1981 р. № 145","ДП Болехівський держлісгосп","Долинський район, Поляницьке ллісництво, кв. 9,14"
18,"Івано-Франківська","загальнодержавне","Урочище Верхнє Озерище","пам’ятка природи","комплексна",48,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Надвірнянський держлісгосп","Надвірнянський район, Річанське лісництво, кв.20, вид.23-33; кв. 23, вид.32-34, кв.24, вид. 1"
19,"Івано-Франківська","загальнодержавне","Касова гора","пам’ятка природи","комплексна",65,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","Бовшівська сільська рада","Голицький район с. Бовшів"
20,"Івано-Франківська","загальнодержавне","Урочище Масьок","пам’ятка природи","ботаннічна",18,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","Острівецька сільська рада","Городенківський район, с. Острівець"
21,"Івано-Франківська","загальнодержавне","Чортова гора","пам’ятка природи","ботаннічна",13,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","Підвиннянська сільська рада; Пуківська сільська рада","Рогатинський район село Підвиння (9,5 га); село Пуків (3,5 га)"
22,"Івано-Франківська","загальнодержавне","Урочище Осій","пам’ятка природи","ботаннічна",13.5,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Вигодський держлісгосп","Долинський район, Мало-Тур’янське лісництво, кв.2, вид. 33, 34, 37, 38, 39, 40"
23,"Івано-Франківська","загальнодержавне","Урочище Сокіл","пам’ятка природи","ботаннічна",29,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Осмолодський держлісгосп","Рожнятівський район, Ангелівське лісництво, кв. 34, вид.9-16, 22, 23, 27, 35-37; кв.35, вид 1, 4, 6"
24,"Івано-Франківська","загальнодержавне","Урочище Тарниці","пам’ятка природи","ботаннічна",60,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Делятинський держлісгосп","Надвірнянський район, Микуличинське лісництво, кв. 20, вид. 1- 3, 6, 12, 14, 18, 19, 20"
25,"Івано-Франківська","загальнодержавне","Болото Висяче","пам’ятка природи","гідрологічна",0.5,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Верховинський держлісгосп","Верховинський район, Буркутське лісництво, кв. 37, вид. 25"
26,"Івано-Франківська","загальнодержавне","Болото Ширковець","пам’ятка природи","гідрологічна",12,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Вигодський держлісгосп","Долинський район Мізунське лісництво, кв.13, вид.18"
27,"Івано-Франківська","загальнодержавне","Болото Лисак","пам’ятка природи","гідрологічна",14.4,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Вигодський держлісгосп","Долинський район Свічівське лісництво, кв. 12, вид.20; кв. 15, вид. 2, 3 ,6, 8, 10, 11"
28,"Івано-Франківська","загальнодержавне","Болото Мшана","пам’ятка природи","гідрологічна",6,"Розпорядження РМ УРСР від 14.10.1975 р. № 780-р","ДП Осмолодський держлісгосп","Рожнятівський район, Мшанське лісництво, кв.33, вид. 101,102"
29,"Івано-Франківська","загальнодержавне","Старуня","пам’ятка природи","геологічна",60,"Постанова РМ УРСР від 21.03.1984 р. № 139","Старунська сільська рада","Богородчанський район, село Старуня"
30,"Івано-Франківська","загальнодержавне","Високогір-ний","дендрологічний парк",,124,"Постанова РМ УРСР від 22.07.1983 р. № 311","ДП Надвірнянський держлісгосп","Надвірнянський район, Бистрицьке лісництво, кв.62"
31,"Івано-Франківська","загальнодержавне","Діброва","дендрологічний парк",,8,"Постанова РМ УРСР від 22.07.1983 р. № 311","ДП Солотвинський держлісгосп","Богородчанський район, Богородчанське лісництво, кв.27"
32,"Івано-Франківська","загальнодержавне","Дружба","дендрологічний парк",,10,"Постанова РМ УРСР від 22.07.1983 р. № 311","Прикарпатський держуніверситет ім. В. Стефаника","Тисменицький район, с. Угринів Івано-Франківська міська рада"
33,"Івано-Франківська","загальнодержавне","Парк партизанської слави","парк-пам’ятка садово-паркового мистецтва",,7,"Постанова Держкомітету УРСР з охорони природи від 17.08.1983 р. № 37","ДП Делятинський держлісгосп","Надвірнянський район, Зарічанське лісництво, кв.24"
34,"Івано-Франківська","місцеве","Дністровський","регіональний ландшафтний парк",,19656,"Рішення сесії обласної ради від 15.07.93 р.","Городенківська, Тлумацька районні ради","Городенківський район, Тлумацький район вздовж ріки Дністер"
35,"Івано-Франківська","місцеве","Гуцульщина","регіональний ландшафтний парк",,17729,"Розпорядження облдержадміністрації від 23.06.97 р. № 443","Косівська районна рада, Кутський держлісгосп, Косівський МГЛ","Косівський район"
36,"Івано-Франківська","місцеве","Поляницький","регіональний ландшафтний парк",,1032,"Розпорядження облдержадміністрації від 15.07.96 р. № 451","ДП Болехівський держлісгосп","Долинський район, Поляницьке лісництво вк.9,10,14-16,22-26"
37,"Івано-Франківська","місцеве","Чивчино-Гринявський","заказник","ландшафтний",7243,"Розпорядження облдержадміністрації від 23.06.97 р. № 443","ДП Верховинський держлісгосп, ДП Гринявський держлісгосп, Верховинська районна рада","Верховинський район, Чивчинське лісництво, кв. 11, 13-16, 24, 26-42 Буркутське лісництво, кв.14-19,23-25, 32-35 Паркалабське лісництво, кв.8,9,14,16-20 . Полонини: алузька, Прелуки, Ретундул, Лустун, Мале Пір’є, Попадя,Гнітеса, Чивчин, Штевйора"
38,"Івано-Франківська","місцеве","Ріка Свіча з притокою Мізунькою","заказник","ландшафтний",5940,"Рішення обласної ради від 15.07.93 р.","Долинська районна рада, сільські ради","Долинський район"
39,"Івано-Франківська","місцеве","Саджавський","заказник","ландшафтний",328.6,"Рішення обласної ради від 15.07.93 р.","Княжелуцька сільська рада","Долинський район, межиріччя рр. Свічі та Саджави"
40,"Івано-Франківська","місцеве","Цапове","заказник","ландшафтний",6,"Розпорядження облдержадміністрації від 15.07.93 р. № 451","Болехівський держлісгосп","Долинський район, Церківнянське лісництво, кв.8, вид 38"
41,"Івано-Франківська","місцеве","Яськів потік","заказник","ландшафтний",20,"Рішення обласної ради від 15.07.93 р.","Калуський держлісгосп","Калуський район, Войнилівське лісництво, кв.1,вид.1,3,5,6,16,17"
42,"Івано-Франківська","місцеве","Ріка Лімниця з водоохоронною смугою вздовж берегів шириною 100 м","заказник","ландшафтний",2064,"Рішення облвиконкому від 15.01.79 р. № 13","Калуська, Рожнятівська районні ради","Калуський район Рожнятівський район"
43,"Івано-Франківська","місцеве","Негрова","заказник","ландшафтний",47,"Рішення обласної ради від 17.01.08 № 490-18/2008","ДП Надвірнянське лісове господарство","Надвірнянський район, Бистрицьке лісництво, кв. 1, вид 1"
44,"Івано-Франківська","місцеве","Фарфанянка","заказник","ландшафтний",58,"Рішення обласної ради від 17.01.08 № 490-18/2008","ДП Надвірнянське лісове господарство","Надвірнянський район, Довбушанське лісництво, кв. 20, вид. 4; кв. 21, вид. 10"
