"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Харківська","загальнодержавне","Гомільшанські ліси","національний природний парк",,14314.8,"Указ Президента України від 06.09.2004 № 1047/2004","Державний комітет лісового господарства України Харківське обласне управління лісового господарства дирекція НПП Гомільшанські ліси, землекористувачі та землевласники","с. Коробів Хутір, с. Задонецьке, с. Гомольша Зміївського району, с. Нижньобишків, с. Гайдари Первомайського району"
2,"Харківська","загальнодержавне","Дворічанський","національний природний парк",,3131.2,"Указ Президента України від 11.12.2009 № 1044/2009","Дирекція НПП Дворічанський, землекористувачі та землевласники","с. Камянка, с.Тополі Дворічанський район"
3,"Харківська","загальнодержавне","Слобожанський","національний природний парк",,5244,"Указ Президента України від 11.12.2009 № 1047/2009","Дирекція НПП Слобожанський","Краснокутський район"
4,"Харківська","загальнодержавне","Катеринівський","заказник","загальнозоологічний",527,"Постанова РМ УРСР від 19.04.1977 № 198","ТОВ Катеринівка-318,0 га; ПСП Малинівка-209,0га.","с.с. Катеринівка, Андріївка,Великобурлуцький район"
5,"Харківська","загальнодержавне","Бурлуцький","заказник","загальнозоологічний",326,"Постанова РМ УРСР від 19.04.1977 № 198","Великобурлуцька селищна рада – 66,2 га;ТОВ Катеринівка-107,0 га; ПСП Маяк-152,8 га.","cмт. Великий Бурлук, с.с. Горяне, Катеринівка,Великобурлуцький район"
6,"Харківська","загальнодержавне","Вовчанський","заказник","ботанічний",185,"Указ Президента України від 10.12.1994 № 750/94","Вовчанська райдержадміністрація","с.с. Мала Вовча, II Жовтневе, Волохівка, Землянки, Нестерне, Охрімівка,Вовчанський район"
7,"Харківська","загальнодержавне","Шарівський","парк-пам’ятка садово-паркового мистецтва",,39.3,"Постанова Ради Міністрів від 29.01.1960 №105","Обласний туберкульозний санаторій Шарівка","тубсанаторій Шарівка смт. Шарівка-1,Богодухівський район"
8,"Харківська","загальнодержавне","Старомерчицький","парк-пам’ятка садово-паркового мистецтва",,69,"Постанова Держкомекології від 30.08.1990 № 18","Управління містобудування та архітектури Харківської облдержадміністрації","смт. Старий Мерчик,Валківський район"
9,"Харківська","загальнодержавне","Краснокутський","парк-пам’ятка садово-паркового мистецтва",,13.6,"Постанова Держкомекології від 30.08.1990 № 18","Краснокутський науково-дослідний центр садівництва інституту садівництва ААНУ","смт. Краснокутськ,Краснокутський район"
10,"Харківська","загальнодержавне","Наталіївський","парк-пам’ятка садово-паркового мистецтва",,48,"Постанова Держкомекології від 30.08.1990 № 18","Обласний туберкульозний санаторій Володимирівський","с. Володимирівка,Краснокутський район"
11,"Харківська","загальнодержавне","Харківський зоопарк","зоологічний парк",,22,"Постанова РМ УРСР від 22.07.1983 № 311","Харківський міськвиконком, Харківський зоопарк","м. Харків, вул. Сумська, 35"
12,"Харківська","загальнодержавне","Ботанічний сад Харківського національного університету ім. В.Н. Каразіна","ботанічний сад",,41.9,"Указ Президента України від 09.12.1998 № 1341/98","Харківський національний університет ім. В.Н. Каразіна","м. Харків, вул..Клочківська, 52;вул. Отакара Яроша, 24"
13,"Харківська","загальнодержавне","Дендрологічний парк Харківського національного аграрного університету ім. В.В.Докучаєва","дендрологічний парк",,22.8,"Постанова РМ УРСР від 22.02.1991 № 33","Харківський національний аграрний університет ім. В.В.Докучаєва","с. РоганьХарківський район"
14,"Харківська","місцеве","Печенізьке поле","регіональний ландшафтний парк",,5166.13,"Рішення облради від 23.02.1999, Рішення Харківської обласної ради від 19.12.2013 №919-VI","Еко-Агрофірма Фауна","с.с. Мартова, .Артемівка, Борщова, Печенізький район"
15,"Харківська","місцеве","Великобурлуцький степ","регіональний ландшафтний парк",,2042.6,"Рішення облради від 27.06.2000","Шипуватська сільська рада–77,0га,Великобурлуцька селищна рада - 81,1га, ПСП Маяк - 137,9га,ТОВ Катеринівка-590,5га,ПСП Нива-160,0га, ДП ДГ Червона хвиля-192,9га, ПСП Малинівка-403,8га, ДП Куп’янське лісове господарство – 399,4га","смт. Великий Бурлук, с.с. Катериніка, Червона хвиля, Шипувате, Андріївка, Горяне, Плоске, Великобурлуцьке лісництво, кв.кв. 79-82, 89 (вид.1-12), 130-132, 138, 159Великобурлуцький район"
16,"Харківська","місцеве","Ізюмська лука","регіональний ландшафтний парк",,5002,"Рішення облради від 23.12.2003, межі змінені рішенням облради від 23.12.2005","ДП Ізюмське лісове господарство","Петрівське лісництво, кв.кв. 140-143, 148-152, 164, 165, 169, 186-188, 213-215, 242, 273, 274;Завгороднівське лісництво, кв.кв. 323, 324, 365, 366, 406, 407, 449, 604-623, сс. Петрівське, Завгородне, ПротопопівкаБалаклійський район;Завгороднівське лісництво кв. 624-632Піщанське лісництво кв. 582-587Придонецьке лісництво кв. 554-561,574-576,581Петрівське лісництво кв. 144-147,153-157,170,171Ізюмське лісництво кв. 158-163Ізюмський район"
17,"Харківська","місцеве","Парк дикої природи Ольхова балка","регіональний ландшафтний парк",,465.5,"Рішення обласної ради від 29.01.09 № 1098-V","Квартирно-експлуатаційний відділ м. Харкова Збройних сил України","Дергачівський район"
18,"Харківська","місцеве","Червонооскільський","регіональний ландшафтний парк",,6623,"Рішення обласної ради від 23.12.10 № 56-VІ","Борівська районна державна адміністрація -4000, 0 га, ДП Куп’янське лісове господарство - 2623,0 га","Борівський район, Червонооскільське водосховище – 4000,0га, ДП Куп’янське лісове господарство Борівське лісництво кв. 8, 9, 12, 18-20, 22, 23, 26, 27, 32-35, 37, 50, 51, 55, 56, 60-62, 66-68, 71-73, 75-88, 90, 91, 95-97, 100, 101, 130-132, 137 – 2623,0 га"
19,"Харківська","місцеве","Сокольники-Помірки","регіональний ландшафтний парк",,1104.6,"Рішення обласної ради від 30.08.2012 № 518-VІ",,
20,"Харківська","місцеве","Фельдман-Екопарк","регіональний ландшафтний парк",,140.5,"Рішення Харківської обласної ради від 20.06.2013 №762-VІ та від 29.08.2013 №826-VI",,
21,"Харківська","місцеве","Савинська лісова дача","заказник","ландшафтний",1711,"Розпорядження облдержадміністрації від 29.05.96р. № 581","ДП Балаклійське лісове господарство","Савинське лісництво, кв.кв. 31-40,42-63, Балаклійський район"
22,"Харківська","місцеве","Крейдянська лісова дача","заказник","ландшафтний",1477.7,"Рішення облради від 20.03.2001","ДП Балаклійське лісове господарство, Балаклійська районна спілка пайовиків Кооператор","Балаклійське лісництво, кв.кв. 18-21,24-30,30,32-3852-67, частина кв.51, Балаклійський район"
23,"Харківська","місцеве","Новодмитрівський","заказник","ландшафтний",209.2,"Рішення облради від 24.09.2002","Барв інківська райдержадміністрація","с. Нова Дмитрівка,Барвінківський район"
24,"Харківська","місцеве","Новодонівський","заказник","ландшафтний",203.1,"Рішення обласної ради від 10.12.2002, межі змінено рішеннями облради від 23.12.2003, 08.02.2007 №172-V, 28.02.2008 №611-V","ТОВ Фортуна-Сервіс","Старосалтівське лісництво, кв. 115 (вид. 8-12, 14-16, 20-2), кв.116 (вид.12-14, 16, 17, 22, 23, 28, 29), кв. 117 (вид.3,4,7-9), 119, 121, 123 (вид. 4-5, 9-11), 124(вид.1,8,10,11,15) Вовчанський район"
25,"Харківська","місцеве","Соколята","заказник","ландшафтний",501,"Рішення облвиконкому від 07.02.1992 № 35","ДП Вовчанське лісове господарство","Хотімлянське лісництво, кв. кв. 1-15; Старосалтівське лісництво, кв.кв. 73, 74, 79, Вовчанський район"
26,"Харківська","місцеве","Сіверськодонець-кий","заказник","ландшафтний",2531,"Рішення облради від 25.09.2001","ДП Вовчанське лісове господарство","Чайківське лісництво, кв.кв. 1-39, 43-46, Вовчанський район"
27,"Харківська","місцеве","Гомільшанська лісова дача","заказник","ландшафтний",9092,"Рішення облвиконкому від 03.12.1984 № 562","ДП Зміївське лісове господарство","Гомільшанське лісництво, кв.кв. 1-125; Задонецьке лісництво, кв.кв. 173 – 207, 215;Таранівське лісництво, кв.кв. 105-115, Зміївський район"
28,"Харківська","місцеве","Павлівський","заказник","ландшафтний",108.5,"Рішення облради від 30.10.2001","Павлівська сільська рада","с. Павлівка, Кегичівський район"
29,"Харківська","місцеве","Піщаний","заказник","ландшафтний",124.77,"Рішення облради від 27.01.2005","Великобабчанська сільська рада","біля с. ПіщанеЧугуївський район."
