"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Херсонська","загальнодержавне","Асканія-Нова ім. Ф.Е. Фальц-Фейна","біосферний заповідник",,33307.6,"Указ Президента України від 26.11.93 р. №563/93","НААНУ","вул. Фрунзе,13 смт Асканія-Нова, Чаплинський район"
2,"Херсонська","загальнодержавне","Чорноморський","біосферний заповідник",,106513.8,"Указ Президента України від 26.11.93 р. №563/93Розширено Указом Президента України від 25.02.09 р. №100/2009","НАНУ","вул. Лермонтова,1 м. Гола ПристаньГолопристанський район"
3,"Херсонська","загальнодержавне","Азово-Сиваський","національний природний парк",,52154,"Указ Президента України від 25.02.93 р. №62/93","Державне управління справами Президента України","вул. Петровського 54, м. Генічеськ; Генічеський і Новотроїцький райони"
4,"Херсонська","загальнодержавне","Джарилгацький","національний природний парк",,10000,"Указом Президента України від 11.12.09 р.№ 1045/2009",,"Адміністрація створюється"
5,"Херсонська","загальнодержавне","Олешківські піски","національний природний парк",,8020.36,"Указом Президента України від 23.02.10 р.№ 221/2010","Міністерство екології та природних ресурсів України","вул. Заводська, 1в, с. Раденськ, Цюрупинського району"
6,"Херсонська","загальнодержавне","Саги","заказник","ландшафтний",500,"Постанова РМ УРСР від 19.11.74 р.№500","Державне підприємство Степовий ім. В.М. Виноградова філіал УкрНДІЛГА","кв.кв.2-9, Дослідного лісництва Державного підприємства Степовий ім. В.М. Виноградова філіал УкрНДІЛГА Цюрупинський район"
7,"Херсонська","загальнодержавне","Олександрівський","заказник","ландшафтний",996,"Указ Президента України від 21.02.02 р. №167/2002","Олександрівська сільська рада","с. Олександрівка Білозерського району"
8,"Херсонська","загальнодержавне","Станіславський","заказник","ландшафтний",659,"Указ Президента України від 21.02.02 р. №167/2002","Станіславська сільська рада","с. Станіслав Білозерського району"
9,"Херсонська","загальнодержавне","Бакайський","заказник","лісовий",420,"Постанова РМ УРСР від 19.11.74 р.№500","ДП Херсонське ЛМГ","кв.кв.60,61 Білозерського лісництва ДП Херсонське ЛМГ, Білозерський район"
10,"Херсонська","загальнодержавне","Березові колки","заказник","лісовий",1312,"Постанова РМ УРСР від 19.11.74 р.№500","ДП Збур’ївське ЛМГ","кв.кв.14-16, 23, 24, 28-30 Іванівського лісництво; кв.кв. 11, 28, 34, 40, 41, 47, 48 Рибальчанського лісництво ДП Збур’ївське ЛМГ, Голопристанський район"
11,"Херсонська","загальнодержавне","Джарилгацький","заказник","ботанічний",300,"Постанова РМ УРСР від 19.11.74 р.№500","ДП Скадовське ЛМГ","кв.кв. 109, 110, 124, 125 ДП Скадовське ДЛМГ Скадовського району"
12,"Херсонська","загальнодержавне","Ягорлицький","заказник","орнітологічний",30300,"Постанова РМ УРСР від 19.11.74 р.№500","Чорноморський біосферний заповідник","акваторія Ягорлицької затоки Чорного моря та входить частково до буферна зона (18 620 га) та заповідної зони (11 680 га) ЧБЗ"
13,"Херсонська","загальнодержавне","Асканія-Нова","дендрологічний парк",,183.2,"Постанова РМ УРСР №311 від 22.07.83 р.","Біосферний заповідник Асканія-Нова ім. Ф.Е.Фальц-Фейна","вул. Фрунзе, 13 смт Асканія-Нова, Чаплинський район"
14,"Херсонська","місцеве","Інгулець","заказник","ландшафтний",937,"Рішення облвиконкому від 03.03.78 р. №160/5,перезатверджено від 19.08.83 р. 144/16","ДП Великоолександрівське ЛМГ","кв.кв. 7-21, 24, 27-29, 33, 35, 41-44, 50, 56, 60-65 Великоолександрівського лісництва ДП Великоолександрівське ЛМГВеликоолександрівського району"
15,"Херсонська","місцеве","Каїрська балка","заказник","ландшафтний",664.9,"Рішення ХІХ сесії 23 скликання обласної ради від 26.07.01р. №424","Каїрська сільська рада","с. КаїриГорностаївського району"
16,"Херсонська","місцеве","Балка Великі Сірогози","заказник","ландшафтний",636,"Рішенням Херсонської обласної ради ХІХ сесії V скликання від 04.10.07р. № 412","Нижньосірогозька районна рада","на території Нижньоторгіївської, Верхньосірогозької, Першопокровської, Новоолександрівської сільської ради та Нижньосірогозької селищної ради Нижньосірогозького району"
