"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Хмельницька","загальнодержавне","Подільські Товтри","національний природний парк",,261316,"Указ Президента України від 27 червня 1996 року № 474/96","Дирекція НПП Подільські Товтри","Кам’янець-Подільський, Чемеровецький, Городоцький райони"
2,"Хмельницька","загальнодержавне","Мале Полісся","національний природний парк",,8762.7,"Указ Президента України від 02.08.2013 № 420/2013","Дирекція НПП Мале Полісся","Славутський, Ізяславський райони"
3,"Хмельницька","загальнодержавне","Кошарнинський","заказник","ландшафтний",120,"Постанова Ради міністрів УРСР від 29 грудня 1981 року № 646","ГСЛП Горліс Городоцького р-ну","Урочище Кошарна між с. м. Городок Городоцького району"
4,"Хмельницька","загальнодержавне","Іванковецький","заказник","ландшафтний",1014.5,"Постанова Ради Міністрів УРСР №495 від 12.12.1983 року розширений рішенням ОВК № 181 від 16.10.1991 р.","ДП Ярмолинецький лісгосп","Сатанівське л-вокв. 17, 20, 23, 26, 30, 34, 36, 38, 39, 42, 45, 50, 52, 54, 60, 62 Городоцький район"
5,"Хмельницька","загальнодержавне","Івахновецький","заказник","ландшафтний",155,"Постанова Ради Міністрів УРСР №646 від 29.12.1981 року","Івахновецька сільська рада","Чемеровецький р-н поблизу с.Івахнівці"
6,"Хмельницька","загальнодержавне","Кармалюкова гора","заказник","ландшафтний",765,"Постанова Ради Міністрів УРСР№500 від 28.10.1974 року Розширений Постановою Ради Міністрів УРСР №5 від 7.01.1985 року.","ДП Кам’янець-Подільський лісгосп","Маківське л-во кв. 44, 45, 48-51, 54, 58, 61, 67, вид. 1-8, 17-31, кв. 69 вид. 8-22, 25-28, кв. 68 вид. 1, 10, 11, кв. 70 вид. 4-15, кв.71 вид 4-9, кв. 52, 53, 55, 63, вид. 1-11 кв.65 вид 1-4 кв.66 вид 1-6"
7,"Хмельницька","загальнодержавне","Совий яр","заказник","ландшафтний",827,"Постанова Ради Міністрів УРСР від 3.08.1978 року № 383","ДП Кам’янець-Подільський лісгосп","Подільське л-во кв. 20-32"
8,"Хмельницька","загальнодержавне","Княжпільський","заказник","ландшафтний",821,"Постанова Ради Міністрів УРСР вів 12.12.1983 року № 495, розширений рішенням ОВК № 194 від 26.10.1990 р.","ДП Кам’янець-Подільський лісгосп","Подільське л-во кв 7-25"
9,"Хмельницька","загальнодержавне","Циківський","заказник","ландшафтний",290,"Постанова Ради Міністрів УРСР№ 646 від 29.12.1981 року","ДП Кам’янець-Подільський лісгосп","Вербецьке л-во кв. 5,6"
10,"Хмельницька","загальнодержавне","Сокіл","заказник","ландшафтний",56,"Постанова Ради Міністрів УРСР№53 від 13.02.1989 року","Циківська сільська рада","Поблизу с.Цикова Чемеровецького р-ну"
11,"Хмельницька","загальнодержавне","Велика і Мала Бугаїха","заказник","ландшафтний",66,"Указом Президента України від 20.08.1996 р. № 715/96","СЛО Агроліс","Побл. С. Голени-щево Чемеровець-кого р-ну"
12,"Хмельницька","загальнодержавне","Долина","заказник","ландшафтний",255.9,"Указ Президента України від 12.09.2005 року № 1238 / 2005","Летичівська районна рада Українського товариства мисливців та рибалок;Летичівське СЛКП","Поблизу смт. ЛетичівЛетичівського району"
13,"Хмельницька","загальнодержавне","Чапля","заказник","ботанічний",177,"Постанова Ради Міністрів УРСР№53 від 13.02.1989 року","Калачковецька сільська радаКам’янець-Подільський район","Схил р.Тернава на південь від с.Демшин"
14,"Хмельницька","загальнодержавне","Панівецька дача ","заказник","ботанічний",923,"Постанова Ради Міністрів УРСР№ 500 від 28.10.1974 року","ДП Кам’янець-Подільський лісгосп","Панівецьке л-во кв. 17-31"
15,"Хмельницька","загальнодержавне","Товтри Вербецька","заказник","ботанічний",9.3,"Указ Президента України№ 715/96 від 20.08.1996 року","Ніжинська сільська рада","Поблизу с.Гуменці Кам’янець-Подільський р-н"
16,"Хмельницька","загальнодержавне","Нижні Патринці","заказник","ботанічний",80,"Указ Президента України № 715/96 від 20.08.1996 року","ДП Кам’янець-Подільський лісгосп","Староушицьке л-во кв. 41 вид. 1-24"
17,"Хмельницька","загальнодержавне","Довжоцький","заказник","ботанічний",655,"Указ Президента України № 715/96 від 20.08.1996 року","ДП Кам’янець-Подільський лісгосп","Кадієвецьке л-во кв. 48-57, 59-61"
18,"Хмельницька","загальнодержавне","Карабчіївський","заказник","ботанічний",111,"Указ Президента України № 715/96 від 20.08.1996 року","ГСЛП исляГородоцького району","Поблизу с.Великий Карабчіїв Городоцького р-ну"
19,"Хмельницька","загальнодержавне","Городоцький","заказник","ботанічний",150,"Постановою Ради Міністрів УРСР від 12.12.1983 року № 495","ДП Ярмолинецький лісгосп","Ярмолинецьке л-во кв.51 вид 23-29, кв. 53, 54, 56 вид 1-7, 10"
20,"Хмельницька","загальнодержавне","Зарудка зелена","заказник","ботанічний",244,"Указ Президента України від 20.08.1996 року № 715 / 96","ДП Кам’янець-Подільський лісгосп","Дунаєвецьке л-во кв. 58, 59."
21,"Хмельницька","загальнодержавне","Теребіжі","заказник","ботанічний",32.1,"Указ Президента України від 12.09.2005 року № 1238 / 2005","ДП Славутський лісгосп","Голицьке лісництво кв. 64, вид. 8,13, 14, 21, 27, 31, 33, 34"
22,"Хмельницька","загальнодержавне","Сатанівський","заказник","лісовий",1778,"Постанова Ради Міністрів УРСР№ 500 від 28.10.1974 року","ДП Ярмолинецький лісгосп","Сатанівське л-вокв. 21, 22, 24, 25, 27, 28, 29, 31-33, 35-37, 40,41, 43, 44, 46, 47-49,51, 53, 55-59, 61, 63, 64"
23,"Хмельницька","загальнодержавне","Моначинський","заказник","гідрологічний",206,"Постановою Ради Міністрів УРСР від 25 лютого 1980 року№ 132.","Хмельницький облрибокомбінат","Поблизу с.Рябіївка Волочиського р-ну"
24,"Хмельницька","загальнодержавне","Башта","заказник","гідрологічний",250,"Постановою Ради Міністрів УРСР від 25 лютого 1980 року№ 132.","Требуховецька сільська рада Летичівського району","Заплава р.Південний Буг між селами Ставищани, Трибухівка та Головченці"
25,"Хмельницька","загальнодержавне","Моломолинецький","заказник","гідрологічний",410,"Постановою Ради Міністрів УРСР від 25 лютого 1980 року№ 132.","Западинська с/р Красилівського району, Аркадієвецька с\р, Гнатовецька с/р, Терешовенцька с/р, Печеськівська с/р Хмельницького району","Заплава р.Бужок від с.Печеське до с. Редвинці"
26,"Хмельницька","загальнодержавне","Михельський","заказник","гідрологічний",109,"Указом ПрезидентаУкраїни від 20.08.1996 року№ 715 / 96","ДП Ізяславський лісгосп","Михельське л-во кв.6"
27,"Хмельницька","загальнодержавне","Луг і Круглик","заказник","гідрологічний",156,"Указом Президента України від 21.02.2002 р № 167/2002","ДП Летичівський лісгосп","Поблизу села Голенищево"
28,"Хмельницька","загальнодержавне","Китайгородське відслонення","пам’ятка природи","геологічна",60,"Постановою Ради Міністрів Української РСР від 21.03.1984 року№139","Китайгородська с/р Кам’янець-Подільського р-ну","Поблизу с. Китайгород Кам’янець-Подільського району"
29,"Хмельницька","загальнодержавне","Смотрицький каньйон","пам’ятка природи","геологічна",80,"Постановою Ради Міністрів Української РСР від 21.03.1984 року№139","Виконкому Кам’янець-Подільської міської ради-49,0 га, Устянська с/р-24,0 га. Цибулівська с/р -7 га.","Від с. Голосків до с. ЦибулівкаКам’янець-Подільського р-ну"
30,"Хмельницька","загальнодержавне","Печера Атлантида","пам’ятка природи","геологічна",10,"Розпорядженням Ради Міністрів УРСР від 14.10.1979 року № 780-р","Хмельницька обласна рада по туризму і екскурсій","Поблизу с. Завалля Кам’янець-Подільського р-ну"
31,"Хмельницька","загальнодержавне","Товтра Самовита","пам’ятка природи","ботанічна",15,"Розпорядженням Ради Міністрів УРСР від 14.10.1979 року № 780-р","Більська сільська рада Чемеровецького р-ну.","Поблизу с.Залуччя Чемеровецького р-ну"
32,"Хмельницька","загальнодержавне","Озеро Святе","пам’ятка природи","гідрологічна",8.2,"Указом Президента України від 20.08.1996 року № 715/96","ДП Ізяславський лісгосп","Михельське лісництвокв. 3, діл. 20, кв.8, діл.8."
33,"Хмельницька","загальнодержавне","Кам’янець-Подільський","ботанічний сад",,17.5,"Розпорядженням Ради Міністрів УРСР відроку№ 1180 р.","Подільська державна аграрно-технічна академія","м.Кам’янець-Подільськійвул. Лесі Українки, 64"
34,"Хмельницька","загальнодержавне","Новоселицький парк","парк-пам’ятка садово-паркового мистецтва",,44.4,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","СПТУ-41 с.Новоселиця Старокостянтинівського р-ну","с.Новоселиця"
35,"Хмельницька","загальнодержавне","Малієвецький","парк-пам’ятка садово-паркового мистецтва",,17.2,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Обласний тубдиспансер с.Малієвці Дунаєвецького р-ну","с.Малієвці"
36,"Хмельницька","загальнодержавне","Михайлівський","парк-пам’ятка садово-паркового мистецтва",,15,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Михайлівська сільська радаДунаєвецького р-ну","с.Михайлівка"
37,"Хмельницька","загальнодержавне","Голозубинецький","парк-пам’ятка садово-паркового мистецтва",,21,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Обласна протитуберкульозна лікарня с.ГолозубенціДунаєвецького р-ну","с.Голозубенці"
38,"Хмельницька","загальнодержавне","Антонінський","парк-пам’ятка садово-паркового мистецтва",,14.4,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","Антонінська селищна рада смт. Антоніни Красилівського р-ну","смт. Антоніни"
39,"Хмельницька","загальнодержавне","Полонський","парк-пам’ятка садово-паркового мистецтва",,37,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","СПТУ-35, Церквам.Полонне Полонського р-ну","м. Полонне"
40,"Хмельницька","загальнодержавне","Великоновоселицький","парк-пам’ятка садово-паркового мистецтва",,10.1,"Постановою Ради Міністрів УРСР від 29.01.1960 року № 105","ВСАТ Новоселиця с.Новоселиця Полонського р-ну","с.Новоселиця"
