"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Кіровоградська","загальнодержавне","Войнівський","заказник","ландшафтний",50,"Указом Президента України №750/94 від 10.12.94р.","Новоукраїнська районна державна адміністрація","Новоукраїнський р-н, поблизу с. Новоолександрівка"
2,"Кіровоградська","загальнодержавне","Когутівка","заказник","ландшафтний",120,"Указом Президента України №750/94 від 10.12.94р.","Новоархангельська р районна державна адміністрація - 39 га, ДП Голованівський лісгосп – 81га","Новоархангельський р-н, с.Ятрань"
3,"Кіровоградська","загальнодержавне","Миколаївський","заказник","ландшафтний",133,"Указом Президента України №750/94 від 10.12.94р.","Червононерубаївське лісництво – 91 га, Олександрівська районна державна адміністрація – 42 га","Олександрівський р-н, поблизу с. Миколаївка"
4,"Кіровоградська","загальнодержавне","Монастирище","заказник","ландшафтний",15.3,"Указом Президента України №750/94 від 10.12.94р.","ВК 305/37 Кіровоградського обласного УВС","Устинівський р-н, с.Завтурове"
5,"Кіровоградська","загальнодержавне","Чорноліський","заказник","ландшафтний",3491,"Постановою Ради Міністрів УРСР №524 від 11.09.1980р.","ДП Чорноліський НВЛГ","Знам’янський р-н, Богданівське лісництво"
6,"Кіровоградська","загальнодержавне","Чорноташлицький","заказник","ландшафтний",15,"Указом Президента України №750/94 від 10.12.94р.","Вільшанська районна державна адміністрація","Вільшанський р-н, поблизу с.Синюха"
7,"Кіровоградська","загальнодержавне","Шумок","заказник","ландшафтний",20.1,"Указом Президента України №750/94 від 10.12.94р.","Бобринецька районна державна адміністрація","Бобринецький р-н, поблизу с.Великодрюкове"
8,"Кіровоградська","загальнодержавне","Велика стінка","заказник","лісовий",43.5,"Указом Президента України №750/94 від 10.12.94р.","ДП Онуфріївський лісгосп","Онуфріївський р-н, поблизу с.Вишнівці"
9,"Кіровоградська","загальнодержавне","Садківський степ","заказник","ботанічний",362.3,"Указом Президента України №1238/2005 від 12.09.2005р.","Устинівська районна державна адміністрація","Устинівський р-н, поблизу с.Садки"
10,"Кіровоградська","загальнодержавне","Богданівська балка","заказник","ботанічний",25.2,"Указом Президента України №750/94 від 10.12.94р.","Бобринецька районна державна адміністрація","Бобринецький р-н, поблизу с.Фрунзе"
11,"Кіровоградська","загальнодержавне","Боковеньківська балка","заказник","ботанічний",15,"Указом Президента України №715/96 від 20.08.96р.","Дослідно-селекційний дендрологічний лісовий центр Веселі Боковеньки","Долинський р-н, поблизу с.Нагірне"
12,"Кіровоградська","загальнодержавне","Бузове","заказник","ботанічний",50.7,"Указом Президента України №750/94 від 10.12.94р.","ДП Онуфріївський лісгосп","Онуфріївський р-н, поблизу с.Попівка"
13,"Кіровоградська","загальнодержавне","Власівська балка","заказник","ботанічний",130.7,"Указом Президента України №750/94 від 10.12.94р.","Петрівська районна державна адміністрація","поблизу смт Петрово"
14,"Кіровоградська","загальнодержавне","Гранітний степ","заказник","ботанічний",13.3,"Указом Президента України №1238/2005 від 12.09.2005р.","Долинська районна державна адміністрація","Долинський р-н, поблизу с.Олександрівка"
15,"Кіровоградська","загальнодержавне","Лікарівський","заказник","ботанічний",70,"Указом Президента України №750/94 від 10.12.94р.","Олександрівська районна державна адміністрація","Олександрівський р-н, поблизу с.Лікарівка"
16,"Кіровоградська","загальнодержавне","Цюпина балка","заказник","ботанічний",36,"Указом Президента України №715/96 від 20.08.96р.","Світловодська районна державна адміністрація","Світловодський р-н, поблизу с.Велика Андрусівка"
17,"Кіровоградська","загальнодержавне","Шурхи","заказник","ботанічний",38.3,"Указом Президента України №750/94 від 10.12.94р.","Новгородківська районна державна адміністрація","Новгородківський р-н, поблизу с.Новомиколаївка"
18,"Кіровоградська","загальнодержавне","Бандурівські ставки","заказник","орнітологічний",385.6,"Указом Президента України №750/94 від 10.12.94р.","Гайворонська районна державна адміністрація","Гайворонський р-н, поблизу с.Бандурове"
19,"Кіровоградська","загальнодержавне","Редьчине","заказник","орнітологічний",118,"Постановою Ради Міністрів Української РСР від 12.12.83р.","ДП Олександрівський лісгосп","Олександівський р-н, Кримчанське лісництво"
20,"Кіровоградська","загальнодержавне","Полозова балка","заказник","загальнозоологічний",27,"Указом Президента України №1238/2005 від 12.09.2005р.","ДП Долинський лісгосп","Устинівський р-н, поблизу с.Любовичка"
21,"Кіровоградська","загальнодержавне","Велика Вись","заказник","гідрологічний",568,"Указом Президента України №750/94 від 10.12.94р.","Новомиргородська районна державна адміністрація","Новомиргородський р-н, с.Лікареве, с.Листопадове"
22,"Кіровоградська","загальнодержавне","Витоки ріки Інгулець","пам’ятка природи","комплексна",7.1,"Указом Президента України №715/96 від 20.08.96р.","ДП Чорноліський НВЛГ","Знам’янський район, Богданівське лісництво"
23,"Кіровоградська","загальнодержавне","Болото Чорний ліс","пам’ятка природи","гідрологічна",2,"Розпорядження Ради Міністрів УРСР від 14.10.1975р.","ДП Чорноліський НВЛГ","Знам’янський район, Богданівське лісництво"
24,"Кіровоградська","загальнодержавне","Онуфріївський парк","парк-пам’ятка садово-паркового мистецтва",,53.7,"Постановою Ради Міністрів УРСР №105 від 29.01.60р.","Управління архітектури та містобудування обласної державної адміністрації","Онуфріївський р-н, смт.Онуфріївка"
25,"Кіровоградська","загальнодержавне","Хутір Надія","парк-пам’ятка садово-паркового мистецтва",,10,"Постановою Колегії Держкомітету УРСР по охороні природи №15 від 30.07.75р.","Кіровоградський обласний краєзнавчий музей","Кіровоградський р-н, с. Миколаївка"
26,"Кіровоградська","загальнодержавне","Веселі Боковеньки","дендрологічний парк",,109,"Постановою Ради Міністрів УРСР №105 від 29.01.60р.","Дослідно-селекційний дендрологічний лісовий центр Веселі Боковеньки","Долинський р-н, с.Іванівка"
27,"Кіровоградська","місцеве","Боковеньківський ім. М.Л.Давидова","регіональний ландшафтний парк",,17530.7,"Рішенням Кіровоградської обласної ради від 04.11.2005р. № 507","Адміністрація не створена","Долинський район"
28,"Кіровоградська","місцеве","Світловодський","регіональний ландшафтний парк",,60320,"Рішенням Кіровоградської обласної ради від 18.02.2011 р. № 89","Адміністрація не створена","Світловодський район"
29,"Кіровоградська","місцеве","Балка Новоолександрівська","заказник","ландшафтний",21.8,"Рішення Кіровоградської обласної ради від 17.11.2000р. № 198","Долинська районна державна адміністрація","Долинський р-н, поблизу с.Новоолександрівка"
30,"Кіровоградська","місцеве","Булгаківська балка","заказник","ландшафтний",78,"Рішенням Кіровоградської обласної ради №187 від 19.02.1993р.","Бобринецька районна державна адміністрація","Бобринецький р-н, поблизу с.Піщане"
