"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"місто Київ","загальнодержавне","Голосіївський","національний природний парк",,4525.52,"Указ Президента України від 27.08.07 №794/2007 Указ Президента України від 30.10.08 №976/2008","НПП Голосіївський","Голосіївський район"
2,"місто Київ","загальнодержавне","Лісники","заказник","ботанічний",1110.2,"Постанова Р.М. УРСР від 25.08.89р. №223","РЛП Голосіївський","Голосіївський район"
3,"місто Київ","загальнодержавне","Романівське болото","пам’ятка природи","ботанічна",30,"Постанова Р.М. УРСР від 26.03.79р. №143","Святошинське ЛПГ","Святошинський район"
4,"місто Київ","загальнодержавне","Національний ботанічний сад ім. М.Гришка","ботанічний сад",,130.2,"ПостановаР.М. УРСР від 22.07.83р.№311","НАН України","Печерський район"
5,"місто Київ","загальнодержавне","Ботанічний сад ім. І.Фоміна","ботанічний сад",,22.5,,"Нац. університет ім. Т.Шевченка","Шевченківський район"
6,"місто Київ","загальнодержавне","Ботанічний сад НАУ","ботанічний сад",,53,"ПостановаР.М. УРСР від 13.02.89р.№53","Нац. аграрний університет","Голосіївський район"
7,"місто Київ","загальнодержавне","Сирецький","дендрологічний парк",,6.5,"ПостановаР.М. УРСР від 22.07.83р.№311","Агрофірма Квіти України","Подільський район"
8,"місто Київ","загальнодержавне","Київський зоопарк","зоологічний парк",,39.5,"ПостановаР.М. УРСР від 22.07.83р.№311","Адміністрація зоопарку","Шевченківський район"
9,"місто Київ","загальнодержавне","Володимирська гірка","парк-пам’ятка садово-паркового мистецтва",,16.9,"ПостановаР.М. УРСР від 29.01.60р.№105 Рішення Київради від 17.02.94р. №14","КП УЗН Шевченківського району","Шевченківський район"
10,"місто Київ","загальнодержавне","Маріїнський","парк-пам’ятка садово-паркового мистецтва",,14.6,"ПостановаР.М. УРСР від 29.01.60р.№105 Рішення Київради від 17.02.94р. №14","КП УЗН Печерського р-ну","Печерський район"
11,"місто Київ","загальнодержавне","Сирецький гай","парк-пам’ятка садово-паркового мистецтва",,194,"Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22 Рішення Київради від 17.02.94р. №14","КП УЗН Печерського та Подільського р-н","Шевченківський, Подільський райони"
12,"місто Київ","загальнодержавне","Парк Нивки (східна частина)","парк-пам’ятка садово-паркового мистецтва",,46.1,"Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22 Рішення Київради від 17.02.94р. №14","КП УЗН Шевченківського р-ну","Шевченківський район"
13,"місто Київ","загальнодержавне","Феофанія","парк-пам’ятка садово-паркового мистецтва",,150,"Рішення Київради від 11.11.69р. №206","НАН України ДЗГ Феофанія","Голосіївський район"
14,"місто Київ","загальнодержавне","Голосіївський парк ім.. М.Рильського","парк-пам’ятка садово-паркового мистецтва",,140.9,"ПостановаР.М. УРСР від 29.01.60р.№105","КП УЗН Голосіївського району","Голосіївський район"
15,"місто Київ","загальнодержавне","Голосіївський ліс","парк-пам’ятка садово-паркового мистецтва",,769.23,"ПостановаР.М. УРСР від 29.01.60р.№105 Рішення Київради від 17.02.94 №14 та Указ Президента України від 30.10.08 №976/2008","РЛП Голосіївський","Голосіївський район"
16,"місто Київ","загальнодержавне","Святошинський лісопарк","парк-пам’ятка садово-паркового мистецтва",,240,"Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22","Святошинське ЛПГ","Святошинський район"
17,"місто Київ","загальнодержавне","Пуща-Водицький лісопарк","парк-пам’ятка садово-паркового мистецтва",,360,"Постанова колегії Держкомітету УРСР по ох. Природи від 26.07.72р. №22 Указ Президента України від 04.11.00р №1207/00","Святошинське ЛПГ","Оболонський район"
18,"місто Київ","місцеве","Партизанська Слава","регіональний ландшафтний парк",,115,"Рішення Київради від 17.02.94р. №14","КП УЗН Дарницького району","Дарницький район"
19,"місто Київ","місцеве","Лиса Гора","регіональний ландшафтний парк",,137.1,"Рішення Київради від 17.02.94р. №14","КП УЗН Голосіївського району","Голосіївський район"
20,"місто Київ","місцеве","Дніпровські острови","регіональний ландшафтний парк",,1214.99,"Рішення Київради від 23.12.04 №878/2288","ДКП Плесо","Деснянський, Дніпровський, Дарницький р-ни"
21,"місто Київ","місцеве","Голосіївський","регіональний ландшафтний парк",,1184.51,"Рішення Київради від 20.02.95р. №45","КП ЛПГ Конча-Заспа","Голосіївський район"
22,"місто Київ","місцеве","Рибне","заказник","лісовий",4,"Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173","Дарницьке ЛПГ","Дарницький район"
23,"місто Київ","місцеве","Березовий гай","заказник","лісовий",2,"Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173","Дарницьке ЛПГ","Деснянський район"
24,"місто Київ","місцеве","Біла діброва","заказник","лісовий",3,"Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173","Деснянський район","Деснянський район"
25,"місто Київ","місцеве","Межигірське","заказник","лісовий",5,"Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173","Святошинське ЛПГ","Оболонський район"
26,"місто Київ","місцеве","Дачне","заказник","лісовий",6,"Спільне рішення виконкомів міської та обласної Рад від 10.04.78р. №522/173","РЛП Голосіївський","Голосіївський район"
27,"місто Київ","місцеве","Межигірсько-Пуща-Водицький","заказник","лісовий",1987,"Рішення Київради від 27.10.05 №255/3716","КП Святошинське ЛПГ","Оболонський"
28,"місто Київ","місцеве","Березовий гай","заказник","іхтіологічний",31,"Рішення Київради від 17.02.94р. №14","ДКП Плесо","Оболонський район"
