"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Київська","загальнодержавне","Залісся","національний природний парк",,13548.5,"Указ Президента України від 11.12.2009р. № 1048/2009","Державна резиденція Залісся","Літочківська, Літківська, Семиполківська, Рожнівська, Богданівська, Жердівська сільські ради Броварського району"
2,"Київська","загальнодержавне","Білоозерський","національний природний парк",,3658.22,"Указ Президента України від 11.12.2009р. № 1048/2009","ДО ЛГ Білоозерське","Хоцьківська, Циблівська сільські ради Переяслав-Хмельницького району"
3,"Київська","загальнодержавне","Дніпровсько-Деснянський","заказник","ландшафтний",1400,"Постанова Ради Міністрів УРСР від 25.02.1980р.","ДП Вище-Дубечанське лісове господарство, Жулинський та Деснянський радгоспи","Сувидська, Деснянська та Жукинська сільські ради Вишгородського району"
4,"Київська","загальнодержавне","Калитянська дача","заказник","ландшафтний",1162,"Указ Президента України від 20.08.96р. №715/96","ДП Київське лісове господарство","Калитянська та Заворицька сільські ради Броварського району"
5,"Київська","загальнодержавне","Козинський","заказник","ландшафтний",967,"Указ Президента України від 10.12.94р. №750/94","Обухівська райдержадміністрація","Козинська селищна рада та Українська міська рада Обухівського району"
6,"Київська","загальнодержавне","Ржищівський","заказник","ландшафтний",1288,"Постанова Ради Міністрів УРСР від 26.12.85р. №451","ДП Ржищівське лісове господарство","Стайківська, Стритівська, Гребенівська, Кузьминська сільські ради та Ржищівська міська рада Кагарлицького району"
7,"Київська","загальнодержавне","Хутір Чубинського","заказник","ландшафтний",10,"Указ Президента України від 10.02.94р. №750/94","Великоолександрівська сільська рада","Великоолександрівська сільська рада Бориспільського району"
8,"Київська","загальнодержавне","Урочище Мутвицьке","заказник","ландшафтний",785,"Указ Президента України від 20.08.96р. №715/96","ДП Макарівське лісове господарство","Забуянська сільська рада Макарівського району"
9,"Київська","загальнодержавне","Журавлиний","заказник","орнітологічний",399.7,"Указ Президента України від 10.12.94р. №750/94","ДП Вище-Дубечанське лісове господарство","Сувидська сільська рада Вишгородського району"
10,"Київська","загальнодержавне","Жорнівський","заказник","орнітологічний",90,"Постанова Ради Міністрів УРСР від 28.10.1974р. №500","ВП НАУ Боярська лісова дослідна станція","Жорнівська сільська рада, Києво-Святошинський район"
