"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Луганська","загальнодержавне","Луганський природний заповідник відділення Стрільцівський степ","природний заповідник",,1036.5164,"Рішення Луганської облради від 15.12.1998; Указ Президента України від 21.04.2004 № 466/2004","національна академія наук України","Міловський район с.Криничне, Великоцька с/р, на південь від с.Журавське"
2,"Луганська","загальнодержавне","Луганський природний заповідник відділення Провальський степ","природний заповідник",,587.5,"Постанова Ради Міністрів УРСР від 22.12.1975 № 1003-р","національна академія наук України","Свердловський район,с. Провалля Провальська с/р"
3,"Луганська","загальнодержавне","Луганський природний заповідник відділення Станично-Луганське","природний заповідник",,498,"Постанова Ради Міністрів УРСР від 12.11.1968 № 568","національна академія наук України","Станично-Луганський район ст.Кондрашевська- Нова Станично-Луганська селищна рада"
4,"Луганська","загальнодержавне","Луганський природний заповідник відділення Трьохізбенський степ","природний заповідник",,3281,"Рішення Луганської облради від 12.10.2007 № 16/17 Указ Президента України від 07.12.2008 № 1169/2008","національна академія наук України","Трьохізбенська с/р Словяносербського р-ну Гречишкінська с/р Новоайдарського р-ну"
5,"Луганська","загальнодержавне","Сіверсько-Донецький","національний природний парк",,7007,"Указ Президента України № 1040/2009 від 11.12.2009 Постанова Вищого адміністративного суду України від 21.10.2010 у справі № П-155/10","визначається","Кремінський район"
6,"Луганська","загальнодержавне","Юницький","заказник","ботанічний",1065,"Рішення виконкому Ворошиловградської о/р від 07.12.1971 № 402; Рішення виконкому Ворошиловградської о/р від 01.08.1972 № 251(в.ч.); Постанова Ради Міністрів від 28.10.1974 № 500; Указ Президента України від 12.09.2005 № 1238/2005","Луганська агролісомеліоративна науково-дослідна станція","Біловодський район с.Городище с.Первомайськ Юницьке лісництво"
7,"Луганська","загальнодержавне","Конгресів яр","пам’ятка природи","геологічна",20,"Рішення виконкому Луганської обласної ради від 04.02.1969 № 72;(в.ч.) Рішення виконкому Ворошиловградської обласної ради від 01.08.1972 № 251; (в.ч.), Розпорядження Ради Міністрів УРСР від 14.10.1975 № 780-р; Постанова держкомітету УРСР по екології і раціональному природокористуванню від 30.08.1990 № 18","Лисичанська геолого-розвідувальна експедиція","м. Лисичанськ"
8,"Луганська","загальнодержавне","Айдарська тераса","пам’ятка природи","комплексна",100,"Рішення виконкому Ворошиловградської обласної ради від 13.09.1977 № 370 (в.ч.) Рішення виконкому Ворошиловградської ської обласної ради від 12.07.1980; (в.ч.) Постанова Ради Міністрів УРСР від 30.03.1981 № 145; Постанова комітету УРСР по екології і раціональному природокористуванню від 30.08.1990 № 18","ДП Новоайдарське ЛМГ","Новоайдарський район; ДП Новоайдарське ЛМГ Новоайдарське лісництво урочище Денежникове кв. 34-35"
9,"Луганська","загальнодержавне","Гостра Могила","парк-пам’ятка садово-паркового мистецтва",,86,"Рішення виконкому Ворошиловградської обласної ради від 13.09.1977 № 370 (в.ч.) Постанова Держкомітету УРСР по охороні природи від 26.02.1980 № 14","ДП Луганське ЛМГ","м. Луганськ Луганське лісництво кв. 33,34"
10,"Луганська","загальнодержавне","Парк Дружби","парк-пам’ятка садово-паркового мистецтва",,50,"Рішення виконкому Ворошиловградської обласної ради від 13.09.1977 № 370 (в.ч.) Постанова Держкомітету УРСР по охороні природи від 26.02.1980 № 14","Побєдівська с/р Новоайдарський район","Новоайдарський район с. Побєда"
11,"Луганська","місцеве","Біловодський","регіональний ландшафтний парк",,14011,"Рішення Луганської обласної ради від 25.12.2001 № 20/20","Луганська агролісомеліоративна науково-дослідна станція, Данилівська с/р, Городищенська с/р Біловоського району ДП Біловодське ЛМГ, ЗАТАгротон від.Лан Луганська обласна організація УТМР","біля с. Городище"
12,"Луганська","місцеве","Боково-Платово","заказник","ландшафтний",598,"Розпорядження Луганської облдержадміністрації від 31.05.1996 № 599","ДПІванівське ЛМГ","ДПІванівське ЛМГ "
13,"Луганська","місцеве","ставок м. Антрацит","заказник","ландшафтний",23.8,"рішення виконкому Луганської обласної ради від 04.02.1969 № 72 (в.ч.); рішення виконкому Ворошиловградської обласної ради від 01.08.1972 № 251 (в.ч.) рішення виконкому Ворошиловградської обласної ради від 12.07.1980 № 300 (в.ч.) рішення виконкому Ворошиловградської обласної ради від 28.06.1984 № 247","Єсаулівська селищна рада Антрацитівського району","Єсаулівська селищна рада Антрацитівського району"
14,"Луганська","місцеве","Самсонівська заводь","заказник","ландшафтний",505.8888,"Рішення Луганської обласної ради від 24.02.1995 №5/9","Лизинська с/р, ТОВ Весна, ДП Білокуракинське ЛМГ","Лизинська с/р"
15,"Луганська","місцеве","Краснянське водосховище","заказник","ландшафтний",1323,"Рішення Луганської облради народних депутатів від 24.02.1995 №5/9 Рішення Луганської обласної ради від 25.02.2011 № 3/42","Великологівська селищна рада, Новоолександрівська с/р Краснодонського р-ну ДП Свердловське ЛМГ, Луганська о/о УТМР ТОВ Краснодон Агро ","Великологівська с/р в 1 км на південь від с. Великий Лог на території Краснодонського лісництва ДП Свердловське ЛМГ"
16,"Луганська","місцеве","Міус","заказник","ландшафтний",180,"рішення Луганської обласної ради від 18.05.1995 № 6/8","ДП Іванівське ЛМГ ","Перевальський район, землі Чорнухинського лісництва ДП Іванівське ЛМГ"
17,"Луганська","місцеве","Молодогвардійський","заказник","ландшафтний",8,"рішення виконкому Ворошиловградської обласної ради від 01.08.1972 № 251 (в.ч.) рішення виконкому Ворошиловградської облас-ної ради від 28.06.1984 № 247","ДП Свердловське ЛМГ","м. Ровеньки Ровеньківське лісництво"
18,"Луганська","місцеве","Шарів кут","заказник","ландшафтний",732,"Рішення Луганської обласної ради від 04.09.1998 № 3/18","ДПСтанично-Луганське ДЛМГ","Станично-Луганський район, на схід від с.Сизоє"
19,"Луганська","місцеве","Першозванівський","заказник","ландшафтний",425.48,"Рішення Луганської обласної ради від 30.12.2010 № 2/21","Першозванівська сільська рада ДП Іванівське ЛМГ, Луганська ООУТМР ","Лутугинський район Першозванівська сільська рада"
