"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Львівська","загальнодержавне","Розточчя","природний заповідник",,2084.5,"Постанова Ради Міністрів УРСР від 05.10.84р. № 403","Львівський національний лісотехнічний університет України","Яворівський район, смт. Івано-Франкове"
2,"Львівська","загальнодержавне","Яворівський","національний природний парк",,7078.6,"Указ президента України від 04.07.1998 р. № 744/98","Міністерство екології та природних ресурсів України","Яворівський район, смт. Івано-Франкове"
3,"Львівська","загальнодержавне","Сколівські Бескиди","національний природний парк",,35684,"Указ президента України від 11.02.1999 р. № 157","Львівське обласне управління лісового та мисливського господарства","Сколівський, Дрогобицький, Турківський райони"
4,"Львівська","загальнодержавне","Північне Поділля","національний природний парк",,15587.9,"Указ президента України від 10.02.2010 р. №156/2010","Державний комітет лісового господарства України","Бродівський, Буський, Золочівський райони"
5,"Львівська","загальнодержавне","Бердо","заказник","ландшафтний",1085,"Постанова Ради Міністрів УРСР від 02.11.1984 р. № 434","ДП Славський лісгосп","Сколівський район, Верхняцьке лісництво,кв. 1 (в.23,26,32,33) кв.2 (в.6,14,16); кв.3 (в.36-39); кв.4 (в.21,24); Климецьке л-во кв.9 (в.13-17); кв.11 (в.5-9); кв.12,14 (в.5,10-12,14); кв.17 (в.1-5,7-9); кв.18 (в.1,2,5,7,9,13); кв.19 (в.2,7,9-11,14); кв20,кв.23."
6,"Львівська","загальнодержавне","Пікуй","заказник","ландшафтний",711,"Постанова Ради Міністрів УРСР від 02.11.84 р. № 434","Турківський міжгосподарський лісгосп, ДП Боринський лісгосп","Турківський район, Верховинське л-во,кв.22,26-28 (427 га); Боринський лісгосп Либохорівське л-во,кв.38-40 (284 га)"
7,"Львівська","загальнодержавне","Стариці Дністра","заказник","ландшафтний",70,"Постанова Ради Міністрів від 13.02.89 р. УРСР № 53","Веринська с\р (30 га); Крупська с\р (40 га)","Миколаївський район, між селами Веринь і Крупське"
8,"Львівська","загальнодержавне","Лопатинський","заказник","лісовий",109,"Постанова Ради Міністрів УРСР від 02.11.84 р. № 434","ДП Радехівський лісгосп","Радехівський район, Лопатинське л-во, кв. 63 (в.4,11), 64 (12,13,16)"
9,"Львівська","загальнодержавне","Діброва","заказник","загальнозоологічний",839,"Постанова Ради Міністрів від 28.10.74 р. УРСР № 500","ДП Стрийський лісгосп","Жидачівський район, Ходорівське л-во, кв. 1-13"
10,"Львівська","загальнодержавне","Лешнівський","заказник","ботанічний",58,"Постанова Ради Міністрів УРСР від 03.08.78 р. № 383","ДП Бродівський лісгосп","Бродівський район, Лешнівське л-во, кв. 34, 35, 49, 51, 42 (в.6,7)"
