"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Миколаївська","загальнодержавне","ділянки Чорноморського біосферного заповідника: Волижин ліс, о-в.Довгий, о-в.Круглий","біосферний заповідник",,2741,"Постанова Ради Народних комісарів УРСР від 14.07.27 № 172 , Указ Президента України від 26.11.93 р. №563/93 Розширено Указом Президента України від 25.02.09 р. №100/2009 ","НАНУ","Очаківський р-н"
2,"Миколаївська","загальнодержавне","Єланецький степ","природний заповідник",,1675.7,"Указ Президента України від 17.07.96 № 575/96","Міністерство екології та природних ресурсів","Єланецький, Новоодеський"
3,"Миколаївська","загальнодержавне","Бузький Гард","національний природний парк",,6138.13,"Указ Президента України від 30.04.09 № 279/2009","Міністерство екології та природних ресурсів","Кривоозерський, Первомайський, Арбузинський, Вознесенський, Доманівський, Братський р-ни"
4,"Миколаївська","загальнодержавне","Білобережжя Святослава","національний природний парк",,35223.15,"Указ Президента України від 16.12.2009 № 1056/2009","Міністерство екології та природних ресурсів","Очаківський, Березанський р-ни"
5,"Миколаївська","загальнодержавне","заказник Рацинська дача","заказник","лісовий",1782,"Постанова Ради Міністрів УРСР від 28.10.74 № 500; ","ДП Вознесенське лісове господарство","Вознесенський р-н"
6,"Миколаївська","загальнодержавне","Мостівський парк","парк-пам’ятка садово-паркового мистецтва",,28,"Постанова Ради Міністрів УРСР № 105 від 29.01.60; ","ДП Веселинівське лісове господарство","Доманівський р-н"
7,"Миколаївська","загальнодержавне","Степок","пам’ятка природи","ботанічна",11,"Розпорядження Ради Міністрів СССР від 14.10.75 № 780;","ДП Володимирівське лісове господарство","Казанківський р-н"
8,"Миколаївська","загальнодержавне","Миколаївський зоопарк","зоологічний парк",,18.48,"Постанова Ради Міністрів СРСР від 22.07.83 № 311","Миколаївський зоопарк","м. Миколаїв"
9,"Миколаївська","місцеве","Кінбурнська коса","регіональний ландшафтний парк",,17890.2,"Рішення облради №16 від 15.10.92","Покровська сільська рада, ДП Очаківське лісомисливське господарство та ін..","Очаківський р-н"
10,"Миколаївська","місцеве","Гранітно-степове Побужжя","регіональний ландшафтний парк",,7394.3,"Рішення облради № 10 від 06.07.06 № 3 від 27.05.05 №5 від 23.12.99 №7 від 25.10.96 №10 від 28.04.95 №27 від 18.03.94","Грушівська, Мигійська, Романо-Балківська, Кумарівська, Кам’яномостівська, Врадіївська, Кумарівська, Березківська, Семенівська, Іванівська, Костянтинівська, Богданівська, Прибузька, Трикратська, Петропавловська сільради, Южноукраїнська міська рада, ДП Врадіївське лісове господарство, ДП Вознесенське лісове господарство, ДП Веселинівське лісове господарство, Южноукраїнська АЕС та ін.","Врадіївський, Кривоозерський, Первомайський, Арбузинський, Вознесенський, Доманівський, Братський р-ни"
11,"Миколаївська","місцеве","Тилігульський","регіональний ландшафтний парк",,8195.4,"№ 8 від 28.04.95","Ташинська, Краснопільська, Анатоліївська, Червоноукраїнська, Коблевська сільради, ДП Очаківське лісомисливське господарство","Березанський район"
12,"Миколаївська","місцеве","Приінгульський","регіональний ландшафтний парк",,3152.7,"№ 6 від 17.12.02","Новобузька міська рада, Кам’янська, Софіївська, Розанівська сільради та ін.","Новобузький район"
