"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Одеська","загальнодержавне","Дунайський","біосферний заповідник",,51547.9,"Укази Президента України від 10.08.98 р. № 861/98, від 02.02.04 р.№ 117/2004","НАН України","Кілійський р-н, м. Вилкове, вул. Татарбунарського повстання, 132 а"
2,"Одеська","загальнодержавне","Нижньодністровський","національний природний парк",,21311.1,"Указ Президента України від 13.11. 08 р. № 1033/2008","Мінприроди України","Білгород-Дністровський, Біляївський та Овідіопольський райони"
3,"Одеська","загальнодержавне","Тузловські лимани","національний природний парк",,27865,"Указ Президента України від 01.01.2010 р. № 1/2010","Мінприроди України","Татарбунарський район"
4,"Одеська","загальнодержавне","Петровський","заказник","загальнозоологічний",340,"Постанова Ради Міністрів України від 28.10.74 р. № 500","ДП Одеське лісове господарство","Комінтернівський р-н, Красносільське лісництво кв. 1-5, урочище Петрівка "
5,"Одеська","загальнодержавне","Острів Зміїний","заказник","загальнозоологічний",232,"Указ Президента України від 09.12.98 р. № 1341/98","КП Острівне","Кілійський р-н, о. Зміїний"
6,"Одеська","загальнодержавне","Савранський ліс","заказник","ландшафтний",8397,"Постанова Ради Міністрів України від 28.10.74 р. №500, від 07.01.85 р. № 5","ДП Савранське лісове господарство","Савранський р-н, Савранське л-во кв. 1-40, Слюсарівське л-во кв.1-3, 5-16, 19-71, Осичанського л-во кв.1-34"
7,"Одеська","загальнодержавне","Коса Стрілка","заказник","орнітологічний",394,"Постанова Ради Міністрів України від 28.10.74 р. № 500, від 07.01.85 р. № 5","Петровський державний аграрний технікум","Комінтернівський р-н, біля с. Петрівка, Петровський державний аграрний технікум"
8,"Одеська","загальнодержавне","Дальницький","заказник","ботанічний",1204,"Постанова Ради Міністрів України від 28.10.74 р. № 500","ДП Одеське лісове господарство","Овідіопольський р-н, Великодолинське лісництво кв. 1-15, ур. Дальницьке"
9,"Одеська","загальнодержавне","Староманзирський","заказник","ботанічний",128,"Постанова Ради Міністрів України від 28.10.74 р. № 500","ДП Саратськелісове господарство","Тарутинський р-н, Бородинське лісництво, кв.1-2, ур. Старий Манзир"
10,"Одеська","загальнодержавне","Долинський","заказник","ботанічний",815,"Указ Президента Українивід 09.12.98 р. № 1341/98","ДП Ананьївське лісове господарство","Ананьївський р-н, Долинське лісництво кв. 24-30, 35-45, 47-51, 53-59, 61, ур. Глибокий яр"
11,"Одеська","загальнодержавне","Павловський","заказник","ботанічний",403,"Указ Президента України від 09.12.98 р. №1341/98","ДП Великомихайлівське лісове господарство","Фрунзівський р-н, Павлівське лісництво кв. 50-58, ур. Соше"
12,"Одеська","загальнодержавне","Михайлопільський","пам’ятка природи","ботанічна",5.5,"Постанова Кабінету Міністрів України від 21.03.84 р. №139","ДП Ширяївське лісове господарство","Іванівський р-н., біля села Михайлополь"
