"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Рівненська","загальнодержавне","Рівненський","природний заповідник",,42289,"Указ ПрезидентаУкраїни № 356/99 від 03.04.1999р. (зі змінами постанова КМУ № 1271 від 14.08.2003р.)","Рівненський природний заповідник","Володимирецький, Дубровицький, Рокитнівський, Сарненський райони"
2,"Рівненська","загальнодержавне","Дермансько-Острозький","національний природний парк",,5448.3,"Указ Президента України від 11.12.2009р. № 1039",,"Здолбунівський, Острозький"
3,"Рівненська","загальнодержавне","Почаївський","заказник","ландшафтний",905,"Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Висоцький лісгосп, ДП СЛАП Дубровмицький держспецлісгосп","Висоцьке лісництво: кв.67 вид.1-16; кв.75, кв.76 вид. 1-21, кв. 77; Людинське л-тво: кв.10, 11 кв. 8 вид. 22-44, 47; кв.9 вид. 9-29; кв.11 вид 1-32"
4,"Рівненська","загальнодержавне","Висоцький","заказник","лісовий",110,"Постанова РМ УРСР № 434 від 02.11.1984р.","ДП Висоцький лісгосп","Більське л-во: кв. 1 вид. 1-17"
5,"Рівненська","загальнодержавне","Хіноцький","заказник","ботанічний",2267,"Постанова РМ УРСР № 132 від 25.02.1980р.","ДП Володимирецький лісгосп","Хіноцьке лісництво: кв. 1, 2, 4, 5, 9; Степангородське лісництво: кв. 30, 33, 34, 37, 38, 41, 42;"
6,"Рівненська","загальнодержавне","Озерський","заказник","ботанічний",1276,"Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р.)","ДП Висоцький лісгосп, Лісівська сільська рада , ДП СЛАП Дубровмицький держспецлісгосп","Дубровицький район Людинське лісництво: кв. 1, 14-16, 20-23, 26, 27; Золотинське лісництво: кв.1-3; Лісівська сільська рада кв. 28 вид. 1-10"
7,"Рівненська","загальнодержавне","Сварицевицький","заказник","ботанічний",2210,"Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Зарічненський лісгосп","Дубровицький район Сварицевицьке лісництво: кв. 26-45"
8,"Рівненська","загальнодержавне","Золотинський","заказник","ботанічний",3016,"Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р.)","ДП Висоцький лісгосп ДП Дубровицький лісгосп","Дубровицький район Золотинське лісництво: кв. 31, 32, 39, 40, 41, 47, 48; Висоцьке л-во: кв. 30, 31, 32, 39, 41, 47, 51, 52; Лісівське л-во: кв. 1-5, 18-20, 33-35, 51, 52; Літвицьке л-во: кв. 1, 2, 11-13, 22-24, 33;"
9,"Рівненська","загальнодержавне","Вичівський","заказник","ботанічний",2752,"Постанова РМ УРСР № 646 від 29.12.1981р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Зарічненський лісгосп Вичівська сільська рада","Вичівське л-во: кв.19-21, 25, 29, 34, 35, 39, 40, 43, 44; кв. 3, 4, 10, 16"
10,"Рівненська","загальнодержавне","Суський","заказник","ботанічний",298,"Постанова РМ УРСР № 434 від 02.11.1984р.","ДП Клеванський лісгосп","Костопільський район Суське л-во: кв. 9-11"
11,"Рівненська","загальнодержавне","Бущанський","заказник","ботанічний",385,"Постанова РМ УРСР № 434 від 02.11.1984р.","ДП СЛП Острозький держспецлісгосп, Кутянківська сільська рада","Острозький район кв.29 вид.1-7, 9-14, 16-28, 30-33; кв.30 вид.1-32 "
12,"Рівненська","загальнодержавне","Вишнева гора","заказник","ботанічний",97,"Постанова РМ УРСР № 500 від 28.10.1974р.","Шпанівська сільська рада","Рівненський район"
13,"Рівненська","загальнодержавне","Урочище Брище","заказник","загальнозоологічний",100,"Постанова РМ УРСР № 500 від 28.10.1974 р.","ДП Березнівський лісгосп","Березнівський район Князівське лісництво: кв. 16 вид.6-49"
14,"Рівненська","загальнодержавне","Острівський","заказник","гідрологічний",2423,"Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Зарічненський лісгосп, Кух.Вільська сільська рада","Зарічненський район Острівське л-во: кв. 14-34; Локницьке л-во: кв. 58, 59, 61, 62"
15,"Рівненська","загальнодержавне","Дібрівський","заказник","гідрологічний",881,"Постанова РМ УРСР № 132 від 25.02.1980р. (зі змінами Постанови РМ УРСР № 5 від 7.01.85р. та зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Зарічненський лісгосп, ДП СЛАП Зарічненський держспецлісгосп, Дібрівська сільська рада","Зарічненський район Дібрівське л-во: кв.1-4, 6-8; Серницьке л-тво кв. 20 вид. 24-28"
16,"Рівненська","загальнодержавне","Урочище Теремно","пам’ятка природи","комплексна",91,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 584 від 27.05.05р.)","ДП Острозький лісгосп","Острозький район Новомалинське л-во: кв. 48 вид. 8, 18-21; кв. 49 вид.1, 25-30; кв.54 вид.1, 7, 8, 11, 12,16; кв. 55 вид. 1-3"
17,"Рівненська","загальнодержавне","Урочище Хвороща","пам’ятка природи","ботанічна",37.2,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Млинівський лісгосп","Млинівський район Млинівське л-тво: кв. 42 вид. 1, 5, 8, 9, 10, 11 ,12, 15, 17, 19/1"
18,"Рівненська","загальнодержавне","Урочище Острожчин","пам’ятка природи","ботанічна",54,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р. та рішення облради № 584 від 27.05.05р.)","ДП Острозький лісгосп","Острозький район Хорівське л-во: кв.26 вид. 1-4"
19,"Рівненська","загальнодержавне","Юзефінська дача","пам’ятка природи","ботанічна",100,"Розпорядження РМ УРСР № 780-р від 14.10.75 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Рокитнівський лісгосп","Рокитнівський район Глинівське л-во: кв. 14 крім вид. 5, 7, 8, 10, 12, 12.1, 13, 14, 33, 35, 36, 63"
20,"Рівненська","загальнодержавне","Урочище Нетреба","пам’ятка природи","ботанічна",52,"Розпорядження РМ УРСР № 780-р від 14.10.75 р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Рокитнівський лісгосп","Рокитнівський район Борівське л-во: кв. 5 вид. 1, 1.1"
21,"Рівненська","загальнодержавне","Урочище Олександрівка","пам’ятка природи","зоологічна",13,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Дубенський лісгосп","Дубенський район Мирогощанське л-во: кв. 26 вид.10"
22,"Рівненська","загальнодержавне","Озеро Велике Почаївське","пам’ятка природи","гідрологічна",58,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Висоцький лісгосп","Дубровицький район Висоцьке л-во: кв. 67 вид.14; кв.75 вид. 5; кв.76 вид. 1"
23,"Рівненська","загальнодержавне","Озеро Стрільське","пам’ятка природи","гідрологічна",15,"Розпорядження РМ УРСР № 780-р від 14.10.75р. (зі змінами рішення облвиконкому № 98 від 18.06.1991р.)","ДП Сарненський лісгосп","Сарненський район Карпилівське л-во: кв. 17, 18, 27, 28"
24,"Рівненська","загальнодержавне","Дендрологічний парк Березнівського лісового коледжу","дендрологічний парк",,29.5,"Постанова РМ УРСР № 53 від 13.02.1989р.","Березнівський лісовий коледж","м.Березне"
25,"Рівненська","загальнодержавне","Рівненський зоопарк","зоологічний парк",,11.6,"Указ ПрезидентаУкраїни № 1341/98 від 09.12.1998р.","ДКП Рівненський зоопарк Рівненського міськвиконкому","м.Рівне"
26,"Рівненська","загальнодержавне","Рівненський парк культури і відпочинку ім.Т.Г.Шевченка","парк-пам’ятка садово-паркового мистецтва",,32,"Постанова колегії Держкомприроди УРСР № 14 від 25.07.1973р. (Постанова Держкомприроди УРСР № 18 від 30.08.90р.)","Державне комунальне п-во міського об’єднання парків культури та відпочинку","м.Рівне"
