"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"місто Севастополь","загальнодержавне","Байдарський","заказник","ландшафтний",24295,"Постанова Ради МіністрівУкраїнської РСР від 31.05.1990 р. № 120 Про організацію ландшафтного державного заказника республіканського значення Байдарський в м. Севастополі","1. Державне підприємство Севастопольське досвідне лісомисливське господарство - на кв. 1-4, 6-13, 39-53, 55-56, 68-76, 78-81 Чорноріченського лісництва, кв. 1-6, 8, 10-11, 14, 19, 24-25, 27-62 Орлинівського лісництва, кв. 40-41, 43, 34, 36, 38-39 Тернівського лісництва2. Виробниче управління водопровідно-каналізаційного господарства м.Севастополя(ГКП Севміськводоканал СМР) - Територія, прилегла до Чорноріченського водосховища3. Державне підприємство Куйбишевське лісове господарство - кв. 70-71 вид. 1-7, 9, 12, 15, 16; кв. 68 вид. 2, 8, 12-14; кв. 74 вид. 1-10; кв. 80 вид. 1-7, 9, 11; кв. 82 Соколинського лісництва; кв. 44 вид. 14, 17, 18, 20, 21; кв. 46 вид. 1, 13-18, 19-23; кв. 47 вид. 8-11, 13, 14; кв. 48 вид. 1, 12-17; кв. 49 в. 13, 16-22; кв. 50 вид. 1, 2, 5, 9; кв. 54 вид. 1-5, 8-19; кв. 56 вид. 2-6; кв. 57 вид. 1; кв. 62 вид. 1, 2, 4-6, 15, 19; кв. 66-86; кв. 52-54, 58, 60, 61 Куйбишевського лісництва4. Колективне сільськогосподарське підприємство Агрофірма Красный октябрь - Балаклавський район, м.Севастополь","Розташований на південному заході Гірського Криму. З півдня на північ територія заказнику простирається на 15 км, з заходу на схід – на 22 км. На півдні територія заказнику охоплює північний макросхил головної Кримської гряди (межі стикуються з ландшафтним заказником загальнодержавного значення Мис Айя), виходить до Байдарського перевалу та проходить уздовж межі Ялтинського гірсько-лісового заповідника. Північніше цієї межі Байдарський заказник охоплює практично весь водозбір Чорної річки. На заході межа заказнику простирається від території заказнику Мис Айя по хребтам лівобережжя долини Сухої річки до гори Гасфорта. Звідти північна межа проходить по водороздільним хребтам до перевалу Бичку. Східна межа проходить по водороздільним хребтам, що оточують правобережні притоки Чорноріченської системи, до Ай-Петринської яйли на південному сході.Чорноріченське лісництво: всі виділи в межах кварталів 1-4, 6-13, 16-36, 39-53, 55-66, 68-76, 78-81.Орлинівське лісництво: всі виділи в межах кварталів 1-6, 8, 10, 11, 14, 19, 24, 25, 27-62.Тернівське лісництво: всі виділи в межах кварталів 34, 36, 38, 39-41,43"
2,"місто Севастополь","загальнодержавне","Мис Айя","заказник","ландшафтний",1340,"Постанова Ради Міністрів Української РСР від 16.12.1982р. № 617 Про доповнення переліку державних заказниківУкраїнської РСР","Повна земельно-кадастрова інформація щодо складу землекористувачів (землевласників) відсутня. Охоронні зобов’язаняя оформлені:Державне підприємство Севастопольське досвідне лісомисливське господарство - Балаклавський район м.Севастополя на землях держлісфонду; кв. 54, 67, 77, 82, 83 Чорноріченського лісництва, кв. 9 та урочище Батиліман Орлинівського лісництва, прилегла акваторія Чорного моря завширшки 300 м.","Заказник Мис Айя розташований на крайньому заході Південного берегу Криму. Масив мису Айя утворений скелястою громадою Кокія-Кала. З півночі до неї примикає гора Самналих-Бурун, зі сходу – гора Куш-Кая, утворюючи єдину систему гірських хребтів. З заходу скелясте узбережжя переходить в урочище Аязьма. Природний комплекс заказнику Мис Айя включає сам мис Айя, урочища Аязьма та Батилиман, а також акваторію уздовж узбережжя, завширшки приблизно 300 м.Чорноріченське лісництво: всі виділи в межах кварталів 54, 67, 77, 82, 83.Орлинівське лісництво: всі виділи в межах кварталу 9."
3,"місто Севастополь","загальнодержавне","Мис Фіолент","заказник","ландшафтний",31.7,"Оголошено:Указ Президента Українивід 20.08.1996р. № 715/96 Про оголошення територій і об'єктів природно-заповідного фонду загальнодержавного значення.Примітка:Межі заказника встановлені державним актом на право постійного користування землею серії I-КМ № 005179, рег. № 876 від 08.10.1999р. з віднесенням земель до категорії земель природоохоронного призначення. Проект землеустрою з організації та встановлення меж заказнику не розроблено.","Науково-дослідницький центр ЗСУ Державний океанаріум(в/ч А 1845) - Балаклавський район м.Севастополя, на південному сході Гераклейського півострова","Межі заказника Мис Фіолент встановлені у державному акті на право постійного користування земельною ділянкою, наданою в постійне користування в/ч А 1845 (НВЦ ЗСУ Державний океанаріум) в районі м. Фіолент"
4,"місто Севастополь","загальнодержавне","Бухта Козача","заказник","загальнозоологічний",23.2,"Указ Президента України від 09.12.1998р. № 1341/98 Про території та об’єкти природно-заповідного фонду загальнодержавного значення.Примітка:Межі заказника установлені державним актом на право постійного користування землею серії II-КМ № 002761, рег. № 522 від 19.09.1997р. з віднесенням земель до категорії земель природоохоронного призначення. Проект землеустрою з організації та встановлення меж заказнику не розроблено.","Науково-дослідницький центр ЗСУ Державний океанаріум(в/ч А 1845) - Західний берег бухти Козачої","Земельна ділянка, надана в постійне користування в/ч А 1845 (НВЦ ЗСУ Державний океанаріум України) в районі бухти Козачої з оформленням державного акту. При цьому межі та площа заказника Бухта Козача цілком збігаються з межами і площею зазначеної земельної ділянки, установлених державним актом на право користування землею."
5,"місто Севастополь","місцеве","Регіональний ландшафтний парк Максимова дача","регіональний ландшафтний парк",,83.9,"Рішення Севастопольської міськради від 18.06.2013 року №5678","Розташований на землях не переданих у власність або користування. Спец. Адміністрацій згідно із ст. 12 ЗУ про ПЗФ не створена","Ленінський район міста Севастополя, балка Хомутова в зоні зелених насаджень загального користування і частково в проектній зоні малоповерхової житлової забудови відповідно до Генерального плану розвитку міста Севастополя до 2025 року, затвердженого Рішенням сесії Севастопольської міської ради від 13.12.2005 №4114"
6,"місто Севастополь","місцеве","Прибережний аквальний комплекс біля мису Лукулл","пам’ятка природи","гідрологічна",128.5844,"Рішення Кримського облвиконкому від 22.02. 1979 р. № 97.Примітка:Підтверджено спільним рішенням Кримського облвиконкому і Севастопольського міськвиконкому від 13.12.1984р. № 22/896 Про мережу територій та об’єктів природно-заповідного фонду.Межі встановлені проектом землеустрою з організації та встановлення меж території пам’ятки природи, затвердженим Розпорядженням Севастопольської міської державної адміністрації від 07.11.2005р. № 1468-р Про затвердження проектів землеустрою з організації та встановлення меж територій природно-заповідного фонду місцевого значення м. Севастополя з віднесенням земель до категорії земель природно-заповідного фонду.","Військовий радгосп Благодатний;в/ч 53158 ЧФ РФ - суміжний землекористувачЗемлі водного фонду площею 113,4588 га не надані у власність або користуванняОхоронні зобов'язанняАндріївської сільської Радивід 10.06.1994р. №1","Знаходиться в 3 км на південний захід від устя р.Альми, в 3 км на північний захід від с.Углове. Севастопольська частина пам’ятника природи починається у 200 м до заходу від бази відпочинку, розташованої у с.Углове. На півдні межі пам’ятнику природи проходять у 600 м від пляжу с.Андрєєвка;"
7,"місто Севастополь","місцеве","Прибережний аквальний комплекс біля Херсонесу Таврійського","пам’ятка природи","гідрологічна",60.6616,"Рішення Кримського облвиконкому від 22.02. 1979 р. № 97.Примітка:Підтверджено спільним рішенням Кримського облвиконкому і Севастопольського міськвиконкому від 13.12.1984р. № 22/896 Про мережу територій та об’єктів природно-заповідного фонду.Межі встановлені проектом землеустрою з організації та встановлення меж території пам’ятки природи, затвердженим рішенням Севастопольської міської Ради від 04.07.2006р. № 393 Про межи частини територій природно-заповідного фонду місцевого значення та оголошення територій в цих межах територіями природно-заповідного фонду місцевого значення, які підлягають особливій охороні з віднесенням земельної ділянки площею 59,6606 га до категорії земель водного фонду з охоронним режимом об’єкту ПЗФ відповідно до проекту всановлення меж, земельну ділянку площею 1,001 га – до категорії земельісторико-культурного призначення з охоронним режимом відповідно до проекту встановлення меж.","Національний заповідник Херсонес Таврійський(сухопутна земельна ділянка в межах землекористування - 1,0010 га)Землі водного фонду площею 59,6606 га не надані у власність або користування","Розташована у центрі північного краю Гераклейського півострова, між бухтами Пісочною та Карантинною, на прибережній території, що зайнята античним та середньовічним містом Херсонес (нині – Національний археологічний заповідник Херсонес Таврійський) з прилеглою до неї акваторією Чорного моря. Західна межа визначена по існуючому молу, що відділяє Національний археологічний заповідник Херсонес Таврійський від пляжу Сонячний (бухта Пісочна). Східна межа визначена по межам існуючого яхтклубу на території Національного заповідника (бухта Карантинна);"
8,"місто Севастополь","місцеве","Прибережнийаквальний комплекс біля мису Фіолент","пам’ятка природи","гідрологічна",179.4303,":Рішення Кримського облвиконкому від 22.02.1972р. № 97*(ППМ 122-565)Змінено площу:Розпорядження Севастопольської міської держадміністрації від 07.11.2005 р.№ 1468-р Про затвердження проектів землеустрою з організації та встановлення меж територій природно-заповідного фонду місцевого значення м. Севастополя з віднесенням земель до категорії земель природно-заповідного фонду","Пам’ятка природі розташована на землях, не наданих у власність або користування.","Розташована у адміністративних межах м.Севастополя (Балаклавський район), на півдні Гераклейського півострова. Межі визначено від мису Лермонтова до Мармурової балки. Межує із комплексною пам’яткою природи місцевого значення Мис Фіолент та ландшафтним заказником загальнодержавного значення Мис Фіолент;"
9,"місто Севастополь","місцеве","Прибережний шквальний комплекс біля мису Сарич","пам’ятка природи","гідрологічна",62.2831,"Рішення Кримського облвиконкому від 22.02.1972р. № 97*(ППМ 124-565)Змінено площу та назву:Розпорядження Севастопольської міської держадміністрації від 07.11.2005 р.№ 1468-р Про затвердження проектів землеустрою з організації та встановлення меж територій природно-заповідного фонду місцевого значення м. Севастополя з віднесенням земель до категорії земель природно-заповідного фонду","Сухопутна земельна ділянка: Державне підприємствоСевастопольське досвідне лісомисливське господарство (Орлінівське лісництво) – 3,3720 га; в/ч 2382 МОУ – 0,1410 гаЗемлі водного фонду площею 58,7701га не надані у власність або користування","Розташована у адміністративних межах м.Севастополя (Балаклавський район), на північний схід від Ласпінської бухти, у 3,5 км на захід від смт Форос до мису Сарич;Орлинівське лісництво: всі виділи в межах кварталів 15, 16, 20, 22"
10,"місто Севастополь","місцеве","Ушакова балка","пам’ятка природи","ботанічна",11.92,"Рішення Кримського облвиконкому від 22.02. 1979 р. № 97.Примітка:Підтверджено спільним рішенням Кримського облвиконкому і Севастопольського міськвиконкому від 13.12.1984р. № 22/896 Про мережу територій та об’єктів природно-заповідного фонду.Межі встановлені проектом землеустрою з організації та встановлення меж території пам’ятки природи, затвердженим рішенням Севастопольської міської Ради від 04.07.2006р. № 393 Про межи частини територій природно-заповідного фонду місцевого значення та оголошення територій в цих межах територіями природно-заповідного фонду місцевого значення, які підлягають особливій охороні з віднесенням земель до категорії земель природно-заповідного фонду.","Пам’ятка природі розташована на землях, не наданих у власність або користування.","Розташована у Нахімовському районі м.Севастополя, на схід від Павлівського мису, на березі Севастопольської бухти, між Корабельною бухтою та Кілен-бухтою. З заходу, сходу та півдня Ушакова балка межує з житловою забудовою (вулиці Залізнодорожна, Надєждінцев, Папаніна, Матвія Вороніна, Робоча, Бутирська, Генерала Родіонова, Адмірала Макарова та ін.);"
