"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Сумська","загальнодержавне","Михайлівська цілина","природний заповідник",,882.9,"Указ Президента України від 11.12.2009 № 1035 Про створення природного заповідника Михайлівська цілина","ПЗ Михайлівська цілина Мінприроди України","Лебединський район: Катеринівська, Червленівська, Курганська, Пристайлівська с/р;Недригайлівський район: Козельненська. с/р"
2,"Сумська","загальнодержавне","Гетьманський","національний природний парк",,23360.1,"Указ Президента України від 27.04.2009 № 273 Про створення Гетьманського національного природного парку","1. Гетьманський НПП Мінприроди України2. В.-Писарівська райдержадміністрація3. ДП Великописарівський агролісгосп4. Охтирська райдержадміністрація5. ДП Охтирське лісове господарство6. ДП Охтирський агролісгосп7. Тростянецька райдержадміністрація8. ДП Тростянецьке лісове господарство9. ДП Тростянецький агролісгосп","В.-Писарівський р-н: Дмитрівська, Попівська, Вільненська, Ямненська, Добрянська, Солдатська, Рябинівська, Катанська, Кирилівська с/р, В.-Писарівська селищ./р; ДП Охтирський лісгосп: В.Писарівське л-во, кв. 31-45, 52-66. ДП Тростянецький лісгосп: Литовське л-во, кв. 25-27. ДП В.-Писарівський агролісгосп. Охтирський р-н: Бакирівська, Староіванівська, Пологівська, Кардашівська, Чернеччинська, Хухрянська, Лутищанська, В'язівська, Куземинська с/р; ДП Охтирський лісгосп: Охтирське л-во, кв. 1-42, 76-77; Хухрянське л-во, кв. 22, 27-28, 38-40, 51-60, 78, 84-85, 88-92, 97-98. ДП Тростянецький лісгосп: Литовське л-во, кв. 69.ДП Охтирський агролісгосп: кв. 28 (вид. 1-8, 13-21), 50 (вид. 1-6), 30 (вид. 1-12, 14-19), 31 (вид. 1, 5-9, 23), 92 (вид. 1-9, 18-19), 95 (вид. 1-13, 15, 17-20), 77 (вид. 14, 18-31), 78 (вид. 6-11, 13), 79 (вид. 1-17).Тростянецький р-н: Кам'янська, Зарічненська, Мащанська с/р, Тростянецька м/р; ДП Тростянецький лісгосп: Тростянецьке л-во, кв. 1-6, 13, 19-25; 27, 30, 33, 35-45, 78-79.ДП Тростянецький агролісгосп: кв. 95 (вид. 29-32, 36, 48, 50, 56), 104 (вид. 1-15), 105 (вид. 4) "
3,"Сумська","загальнодержавне","Деснянсько-Старогутський","національний природний парк",,16215.1,"Указ Президента України від 23.02.1999 № 196 Про створення національного природного парку Деснянсько-Старогутський","1. НПП Деснянсько-Старогутський Мінприроди України2. С.-Будська райдержадміністрація3. ДП С.-Будський агролісгосп4. Сільськогосподарські підприємства5. Громадяни, яким надані землі у власність і користування","Середино-Будський р-н: Зноб-Трубчевська, Старогутська, Стягайлівська, Очкинська, Нововасилівська, Кривоносівська, Кренидівська с/р; ДП С.-Будський агролісгосп: кв. 1-10, 12-14, 18, 20, 21 (вид. 1-11, 17), 22, 23 (вид. 1-12, 19), 51, 52 (вид. 10-46), 53, 76-77, 78 (вид. 1-27), 80 (вид. 1-22), 81 (вид. 23), 29, 31 (вид. 1-13, 17-41)"
4,"Сумська","загальнодержавне","Шалигинський","заказник","ландшафтний",2868.1,"Постанова Ради Міністрів УРСР від 25.02.1980 р. № 132, рішення облради від 13.10.1994 р.","1. Шалигинська селищна рада2. Стариківська сільська рада3. ДП Глухівське лісове господарство4. ДП Глухівський агролісгосп5. Філія Глухівський райавтодор","Глухівський р-н: Стариківська, Соснівська с/р, Шалигінська селищ./р; заплава р. Обести між селами Соснівка, Старикове, Шалигине. ДП Глухівський лісгосп: Шалигинське л-во, кв. 1-14, 16-25, 26 (діл. 3-5, 11-12), 27-42; ДП Глухівський агролісгосп: кв. 66 (вид. 5-31), 69 (вид. 1-17, 20-25), 70 (вид. 1-26), 79 (вид. 15-16), 80 (вид. 25-26)"
5,"Сумська","загальнодержавне","Середньосеймський","заказник","ландшафтний",2020.8,"Постанова Ради Міністрів УРСР від 07.01.1987 р. № 2, рішення облради від 13.10.1994 р.","1. Білопільська райдержадміністрація2. ДП Білопільський агролісгосп3. Пісківська сільська рада Буринського р-ну4. ДП Буринський агролісгосп5. Путивльська райдержадміністрація6. ДП Путивльський агролісгосп","Заплава р. Сейм від кордону з Росією до сіл Козлівка, Чаплині, між селами Бояро-Лежачі, Манухівка-Нові Вирки, Іванівка, Волинцеве-Піски. Білопільський р-н: Нововирківська, Рижівська с/р; ДП Білопільський агролісгосп: кв. 1-3, 4, 8. Буринський р-н: Пісківська с/р; ДП Буринський агролісгосп: кв. 14 (вид. 1-6, 17-29). Путивльський р-н: Волокитинська, Стрільниківська, Яцинська, Бобинська, Сафонівська, Зіннівська, Князівська, Октябрьська, Чорнобривківська с/р; ДП Путивльський агролісгосп: кв. 103 (вид. 15), 108, 112, 119, 124 (вид. 10-13), 129 (вид. 12-21), 133"
6,"Сумська","загальнодержавне","Банний яр","заказник","ботанічний",236,"Постанова Ради Міністрів УРСР від 28.10.1974 р. № 500, рішення облради від 13.10.1994 р. ***","ДП Сумське лісове господарство","Сумський р-н: Могрицька с/р; лісовий масив між смт. Кияниця та с. Мокриця. ДП Сумський лісгосп: Могрицьке л-во, кв. 26, 42-43, 52"
7,"Сумська","загальнодержавне","Журавлиний","заказник","орнітологічний",258,"Постанови Ради Міністрів УРСР від 16.12.1982 р. № 617 та від 12.10.1992 р. № 584","ДП Сумське лісове господарство","Сумський р-н: Низівська селищ./р; лісовий масив на надзаплавній терасі Псла на південний захід від смт. Низи.ДП Сумський лісгосп: Низівське л-во, кв. 41, 48, 57, 62, 69"
8,"Сумська","загальнодержавне","Урочище Великий бір","заказник","лісовий",1167,"Постанова Ради Міністрів УРСР від 03.08.1978 р. № 383","ДП Шосткинське лісове господарство","Шосткинський р-н: Собицька, Тиманівська с/р; лісовий масив на надзаплавній терасі Десни на південний захід від с.Собич. ДП Шосткинський лісгосп: Собицьке л-во, кв. 25-27, 29, 35-36, 39-41, 46"
9,"Сумська","загальнодержавне","Біловодський","заказник","гідрологічний",1515.7,"Постанова Ради Міністрів УРСР від 25.02.1980 р. № 132;рішення облради від 13.10.1994 р.***","1. Роменська райдержадміністрація2. ДП Роменський агролісгосп","Роменський р-н: Коржівська, Артюхівська, Біловодська, Глинська, Перекопівська с/р; заплава р. Сули від с.Бобрик до с.Перекопівка. ДП Роменський агролісгосп: Андріяшівське л-во, кв. 147 (вид. 25-29, 35-36, 38-42), 160 (вид. 31.1, 32, 34, 41.1, 42), 161 (вид. 42-43), 163 (вид. 18, 42-44), 164 (вид. 18-28), 165 (1-10, 18-25, 36-40), 166 (вид. 1-6, 8-9, 12-13, 18, 21, 33), 180 (вид. 46), 184 (вид. 13-15), 189"
10,"Сумська","загальнодержавне","Андріяшівсько-Гудимівський","заказник","гідрологічний",1509.6,"Постанова Ради Міністрів УРСР від 19.04.1977 № 198, рішення облради від 13.10.1994 р.***","1. Роменська райдержадміністрація2. ДП Роменський агролісгосп","Роменський р-н: Андріяшівська, Глинська с/р; заплава р. Сули від села Мельники до сіл Гудими – Чеберяки.ДП Роменський агролісгосп: Андріяшівське л-во, кв. 211 (вид. 1, 4-5, 13, 25, 51), 212 (вид. 1-5), 215 (вид. 1-8)"
