"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Вінницька","загальнодержавне","Кармелюкове Поділля","національний природний парк",,20203.4,"Указ Президента України № 1057/2009 від 16 грудня 2009 року","Мінприроди","Чечельницький районБондурівська, Бритавська, Вербська, Демівська, Куренівська, Любомирська, Лузька, Стратіївська, Тартацька, Червоногреблянська сільські ради Чечельницької селищної ради Чечельницького районуТростянецький районс.Торканівка"
2,"Вінницька","загальнодержавне","Урочище Устянська дача","заказник","ботанічний",173,"Постанова РМ УРСР від 16.12.82р. №617","Бершадський ДЛГ","Бершадський районПоташнянська с/р,Бершадське лісництво,кв. 54-55"
3,"Вінницька","загальнодержавне","Іллінецький","заказник","ботанічний",432,"Постанова РМ УРСР від2.11.84р. №434","Іллінецький ДЛГ","Іллінецький районІллінецька міська рада ,Васильківська сільська рада (кв.36,37),Іллінецьке лісництво,кв.35-37, кв.47-50"
4,"Вінницька","загальнодержавне","Дашівський","заказник","ботанічний",116,"Постанова РМ УРСР від2.11.84р. №434","Дашівське лісомисливське господарство","Іллінецький районБілківська сільська радаДашівське лісництво кв. 75,76"
5,"Вінницька","загальнодержавне","Урочище Сестринівська дача","заказник","ботанічний",48,"Постанова РМ УРСР від16.12.82р. №617","Хмільницький ДЛГ","Козятинська сільська рада,Козятинське лісництво,кв. 8"
6,"Вінницька","загальнодержавне","Дяківці","заказник","ботанічний",223,"Постанова РМ УРСР від2.11.84р. №434","Хмільницький ДЛГ","Літинський районДяковецька сільська рада"
7,"Вінницька","загальнодержавне","Бронницький","заказник","ботанічний",265,"Постанова РМ УРСР від28.10.74р. №500","Мог. - Подільськийрайагроліс","Мог. - Подільський район,Суботіївська сільська радас. Бронниця"
8,"Вінницька","загальнодержавне","Вендичанська дубина","заказник","ботанічний",373,"Постанова РМ УРСР від03.08.78р. № 383","Мог .- Подільський ДЛГ","Мог.- Подільський районВендичанська сільська радаЮрковецьке лісництво,кв.кв. 1-11,біля с. Вендичани"
9,"Вінницька","загальнодержавне","Гарячківська дача","заказник","ботанічний",774,"Указ Президента від 21.02.02 № 167/2002","Крижопільський ДЛГ","Піщанський районСтавківська та Миролюбівська сільські радиРудницьке лісництво кв. кв. 10 -16 ,21-24,28,29,31,33"
10,"Вінницька","загальнодержавне","Гайдамацька балка","заказник","ботанічний",1217,"Постанова РМ УРСР від13.02.89 р. №53","Ободівське ДЛМГ","Тростянецький район,Ободівська сільська рада,Цибулівське лісництвокв. . 28-38,43-49,55-58."
11,"Вінницька","загальнодержавне","Урочище Журавлівська дача","заказник","ботанічний",595,"Постанова РМ УРСР від16.12.82 р. №617","Тульчинське лісомисливське господарство","Тульчинський районСуворівська сільська радаЖуравлівське лісництвокв. кв . 24-27, 36 -39поблизу с. Журавлівка"
12,"Вінницька","загальнодержавне","Хмільницька дача","заказник","ботанічний",50,"Постанова Ради Міністрів УРСР від03.08.78 р.. № 383","Хмільницький ДЛГ","Хмільницький районШироко - Гребельська сільська радаХмільницьке лісництво,кв.29"
13,"Вінницька","загальнодержавне","Бритавський","заказник","ботанічний",3259,"Постанова Ради Міністрів УРСР від 02.06.90 р.№ 123","Чечельницький ДЛГ","Чечельницький районБритавська сільська рада Бритавське лісництво,кв.кв. 24-26,39-42,53-72,76-110"
