"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Волинська","загальнодержавне","Черемський","природний заповідник",,2975.7,"Указ Президента України від 19.12.2001 №1234/2001","Черемський природний заповідник","Маневицький район, Черемський природний заповідник"
2,"Волинська","загальнодержавне","Шацький","національний природний парк",,48977,"Указ Президента України від 16.08.1999 № 992/99","Шацький національний природний парк","Шацький національний природний парк,ДП Шацький учбово-досвідний лісгосп"
3,"Волинська","загальнодержавне","Прип’ять-Стохід","національний природний парк",,39315.5,"Указ Президента України від 13.08.07 № 699/2007","Національний природний парк Прип’ять-Стохід","Любешівський р-н, ДП Любешівське ЛМГ, ДП СЛАП Любешівагроліс, с/р"
4,"Волинська","загальнодержавне","Цуманська пуща","національний природний парк",,33475.34,"Указ Президента України від 22.02.2010 № 203/2010","Ківерцівський національний природний парк Цуманська пуща","Ківерцівський р-н, ДП Цуманське ЛГ, ДП МГ Звірівське, ДП КСЛП Ківерціліс, с/р"
5,"Волинська","загальнодержавне","Нечимне","заказник","ландшафтний",40,"Постанова Ради Міністрів України від 25.02.80 №132","ДП Ковельське ЛГ","Ковельський р-н, ДП Ковельське ЛГ, Скулинське л-во, кв.70"
6,"Волинська","загальнодержавне","Чахівський","заказник","ландшафтний",72.9,"Указ Президента України від 10.12.1994 № 750/94","ДП Любомльське ЛГ","Шацький р-н, ДП Любомльське ЛГ, Головненське л-во, кв.6, вид.6, вид.14,16,18,22-25, кв.7, вид.1,2,5"
7,"Волинська","загальнодержавне","Мошне","заказник","ландшафтний",73.3,"Указ Президента України від 10.12.1994 № 750/94","ДП Любомльське ЛГ","Любомльський р-н, ДП Любомльське ЛГ, Згоранське л-во, кв.21, вид.5,6,8,11,12,14"
8,"Волинська","загальнодержавне","Згоранські озера","заказник","ландшафтний",705.6,"Указ Президента України від 9.12.1998 № 1341/98","Любомльське МСЛП","Любомльський р-н, с.Згорани"
9,"Волинська","загальнодержавне","Кормин","заказник","ландшафтний",549,"Указ Президента України від 10.12.1994 № 750/94","ДП Цуманське ЛГ","Ківерцівський р-н, ДП Цуманське ЛГ, Берестян-ське л-во: кв.1, вид.1-6,13, кв.2, вид.1-10, кв.4, вид.19-31, кв.7, вид.40,41, кв.12, вид.1-19,43,49, кв.15, вид.25-33, 36-40, кв.20, вид.33, кв.21, 1-21, кв.25, вид.1-32, кв.29, вид.15-34, кв.35, вид.33-47, кв.36, вид.1-17, кв.44, вид.16-37, кв.43, вид.31-41, кв.52, вид.41-47"
10,"Волинська","загальнодержавне","Кручене озеро","заказник","ландшафтний",75.9,"Указ Президента України від 10.12.1994 № 750/94","ДП Городоцьке ЛГ","Маневицький р-н, ДП Городоцьке ЛГ, Трояні вське л-во, кв.28, вид.20-23,26, кв.29, вид.1,5,7"
11,"Волинська","загальнодержавне","Джерела","заказник","ландшафтний",90,"Указ Президента України від 10.12.1994 № 750/94","ДП Маневицьке ЛГ","Маневицький р-н, ДП Маневицьке ЛГ, Черевахівське л-во, кв.20, вид.3-6,9-11,15,16,18,25,26, кв.21, вид."
