"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Закарпатська","загальнодержавне","Карпатський","біосферний заповідник",,58035.8,"Укази Президента України від 26.11.1993 р. № 563/93, від 11.04.1997 № 325/97, від 14.01.2010 № 25/2010","КБЗ","Рахівський, Тячівський, Хустський, Виноградівський райони м. Рахів"
2,"Закарпатська","загальнодержавне","Синевир","національний природний парк",,42704,"ПРМ УРСР від 05.01.1989 р. № 7 Указ Президента України від 29.12.2009 р. № 1118/2009","НПП Синевир, с. Синевир-Остріки","Міжгірський, Хустський райони"
3,"Закарпатська","загальнодержавне","Ужанський","національний природний парк",,39159.3,"Указ Президента України від 27.09.1999 року № 1230/99","Ужанський НПП, смт. В. Березний","Великоберезнянський р-н"
4,"Закарпатська","загальнодержавне","Зачарований край","національний природний парк",,6101,"Указ Президента України від 21.05.2009 року № 343/2009","НПП Зачарований край","Іршавський р-н"
5,"Закарпатська","загальнодержавне","Брадульський","заказник","ландшафтний",1026,"ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253","ДП Мокрянське ЛМГ","Тячівський р-н, с. Руська Мокра, ДП Мокрянське ЛМГ, Брадульське л-во, квартали 1-5"
6,"Закарпатська","загальнодержавне","Росішний","заказник","лісовий",461,"Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253","ДП Воловецьке ЛГ","Воловецький р-н, ДП Воловецьке ЛГ, Нижньоволовецьке л-во квартали 19, 24, 25"
7,"Закарпатська","загальнодержавне","Діброва","заказник","лісовий",712,"Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500, Ріш.ОВК від 23.10.1984 р. № 253","ДП Великобичківське ЛМГ","Рахівський р-н, ДП Великобичківське ЛМГ, Лужанське л-во, квартали 5-10"
8,"Закарпатська","загальнодержавне","Кам’янка","заказник","лісовий",328,"ПРМ УРСР від 12.12.1983 р. № 495, Ріш.ОВК від 23.10.1984 р. № 253 (Увійшов до складу НПП Синевир, Постанова РМ УРСР від 5 січня 1989р. №7)","НПП Синевир","Міжгірський р-н, ДП Міжгірське ЛГ, Остріцьке л-во, кавартал 15, 6, 9, 10, 11"
9,"Закарпатська","загальнодержавне","Чорна гора","заказник","ботанічний",823,"Ріш.ОВК від 18.11.1969 року № 414, Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500 (747 га передано до складу КБЗ, Указ Президента від 11.04.1997 р. №325/97)","ДП Виноградівське ЛГ – 76,0 га","Виноградівський р-н, ДП Виноградівське ЛГ, Виноградівське л-во, квартал 16-18, 20-25"
10,"Закарпатська","загальнодержавне","Юлівська гора","заказник","ботанічний",176,"Ріш.ОВК від 18.11.1969 року № 414, Ріш. ОВК від 25.07.1972 р. № 243, ПРМ УРСР від 28.10.1974 р. № 500 (Передано до складу КБЗ б/в, Указ Президента від 11.04.1997 р. № 325/97)","ДП Виноградівське ЛГ","Виноградівський р-н, ДП Виноградівське ЛГ, Затисянське л-во, квартал 59, виділ 1-16"
