"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Запорізька","загальнодержавне","Кам’яні могили (частина ПЗ Український степовий – Донецька обл.)","природний заповідник",,100,"Постанова Ради Міністрів України від 08.05.1964р. №451","Академія наук України","Куйбишевський р-н, Шевченківська сільська рада, по кордону з Донецькою областю"
2,"Запорізька","загальнодержавне","Великий Луг","національний природний парк",,16756,"Указ Президента України від 10.08.2006 № 121/2006","Адміністрація НПП","Василівський район, м. Дніпрорудне, с. Скельки, Маячка, акваторія Каховського водосховища"
3,"Запорізька","загальнодержавне","Приазовський національний природний парк","національний природний парк",,78126.92,"Указ Президента України від 10.02.2010 №154/2010","Адміністрація НПП","Бердянський, Мелітопольський, Приазовський райони, міста Бердянськ та Мелітополь"
4,"Запорізька","загальнодержавне","Молочний лиман","заказник","гідрологічний",19000,"Постанова Ради МіністрівУкраїни від 28.10.1974р. №500 повністю увійшов до складу Приазовського НПП","Райдержадміністрації відповідних районів","Якимівський, Мелітопольський, Приазовський райони"
5,"Запорізька","загальнодержавне","Дніпровські пороги","заказник","загальногеологічний",1383,"Постанова Ради МіністрівУкраїни від 28.10.1974р. №500","Національний заповідник Хортиця","м. Запоріжжя, о.Хортиця, о.Байда та скелі посеред р.Дніпро"
6,"Запорізька","загальнодержавне","Алтагірський","заказник","загальнозоологічний",950,"Постанова Ради МіністрівУкраїни від 28.10.1974р. №500","ДП Мелітопольське лісомисливське господарство","Якимівський р-н, околиця с.Радивонівка, Богатирське лісництво, кв. від 1 до 117, без кв. 33, 40, 47, 54, 61"
7,"Запорізька","загальнодержавне","Старобердянський","заказник","ландшафтний",993,"Ради МіністрівУкраїни від 28.10.1974р. №500, Рішення Запорізької облради від 25.07.1989 № 205 (зміна площі)","ДП Мелітопольське лісомисливське господарство","Мелітопольський р-н с.НовоПилипівка по лівому березі р.Молочна"
8,"Запорізька","загальнодержавне","Заплава р.Берда","заказник","ландшафтний",1416.9,"Указ Президента України від 10.12. 1994р. №750/94 частково увійшов до складу Приазовського НПП","Бердянська міська рада, ДП Бердянське лісове господарство, Нововасилівська с/р","Бердянська міська рада - 564,6 га, ДП Бердянське лісове господарство - 620 га, Нововасилівська с/р - 232,3 га"
9,"Запорізька","загальнодержавне","Сівашик","заказник","ландшафтний",2800,"Указ Президента України від 20.08.1996р. №715/96 повністю увійшов до складу Приазовського НПП","Атманайська сільська рада народних депутатів Якимівського р-ну","Якимівський р-н на Схід від с.Атманай"
10,"Запорізька","загальнодержавне","Коса Федотова","заказник","ландшафтний",1910,"Указ Президента України від 20.08.1996р. №715/96 повністю увійшов до складу Приазовського НПП","Кирилівська сільська рада народних депутатів Якимівського р-ну","Якимівський р-н, на захід від с.м.т. Кирилівка, півострів Азовського моря"
11,"Запорізька","загальнодержавне","Коса Обіточна","заказник","ландшафтний",8863,"Постанова Ради Міністрів України від 11.09.1980 № 524","ДП Приморське ЛГ","Приморський р-н, Приморське лісництво ДП Приморське ЛГ, кв. № 1-56"
