"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
1,"Житомирська","загальнодержавне","Поліський","природний заповідник",,20104,"Постанова РМ УРСР від 12.11.1968 р. №584","Поліський природний заповідник Житомирського обласного управління лісового та мисливського господарства","Овруцький район, с. Селезівка, Копищанське і Перганське лісництва ДП Олевське ЛГ та Селезівське лісництво ДП Словечанське ЛГ"
2,"Житомирська","загальнодержавне","Древлянський","природний заповідник",,30872.84,"Указ Президента України від 11.12.09 №1038/2009 Про створення природного заповідника Древлянський","Міністерство екології та природних ресурсів України","Народицький район, ДП Народицький спецлісгосп, Народицьке лісництво – 8294 га, Кліщівське лісництво – 5034 га, Заліське лісництво – 3495 га (всього – 16823 га); ДП Народицький лісгосп АПК, Радчанське лісництво – 57,7 га (всього – 57, 7 га); землі запасу Народицької селищної ради, в тому числі землі населених пунктів – 753,6 га, сіножаті – 3919,14 га, пасовища – 5798 га (усього – 10470,74 га); землі запасу Мотійківської сільської ради, в тому числі землі населених пунктів – 78,3 га, сіножаті – 216,7 га, пасовища – 204,5 га, пасовища радіоактивно забруднені – 13,9 га, сіножаті радіоактивно забруднені – 159,9 га (всього – 673,3 га); землі запасу Селецької сільської ради, в тому числі землі населених пунктів – 18,3 га, сіножаті – 231,1 га, пасовища – 132 га, заболочені землі – 15,5 га, чагарники – 21 га (усього – 418,1 га); 2430 га радіоактивно забруднених земель, що знаходяться в розпорядженні Народицької районної ради (всього – 2430 га)"
3,"Житомирська","загальнодержавне","Плотниця","заказник","ландшафтний",460,"Постанова РМ УРСР від 25.02.1980 р. №132","ДП Білокоровицьке ЛГ","Олевський р-н, ДП Білокоровицьке ЛГ, Замисловицьке лісництво, кв. 1, 2, 5, 6, 7"
4,"Житомирська","загальнодержавне","Поясківський","заказник","лісовий",113,"Постанова РМ УРСР від 28.10.1974 р. №500","ДП Білокоровицьке ЛГ","Олевський р-н, ДП Білокоровицьке ЛГ, Поясківське лісництво, кв. 12"
5,"Житомирська","загальнодержавне","Туганівський","заказник","лісовий",245,"Постанова РМ УРСР від 28.10.1974 р. №500","ДП Новоград-Волинське ДЛМГ","Новоград-Волинський р-н, ДП Новоград-Волинське ДЛМГ, Ярунське лісництво, кв. 20, 21, 23, 25, 26"
6,"Житомирська","загальнодержавне","Городницький","заказник","ботанічний",352,"Постанова РМ УРСР від 28.10.1974 р. №500","ДП Городницьке ЛГ","Новоград-Волинський р-н, ДП Городницьке ЛГ, Городницьке лісництво, кв. 34, 35, 36"
7,"Житомирська","загальнодержавне","Казява","заказник","загальнозоологічний",1859,"Постанова РМ УРСР від 25. 02. 1980 р. №132","ДП Городницький лісгосп","Новоград-Волинський р-н, ДП Городницький лісгосп, Броницьке лісництво, кв.11, 12, 13, 17, 18, 19, 20, 21, 22, 27, 28, 29, 30, 31, 35, 36"
8,"Житомирська","загальнодержавне","Кутне","заказник","загальнозоологічний",922,"Постанова РМ УРСР від 12.12.1983 р. № 495","ДП Овруцький спецлісгосп","Овруцький р-н, ДП Овруцький спецлісгосп, Борутинське лісництво, кв. 49, 57, 58, 59, 60, 61, 62, 63, 64"
9,"Житомирська","загальнодержавне","Часниківський","заказник","орнітологічний",612,"Постанова РМ УРСР від 25.02.1980 р. № 132","ДП Ємільчинське ЛГ","Ємільчинський р-н, ДП Ємільчинське ЛГ, Кочичинське лісництво, кв. 45, 46, 47, 53, 45, 55"
10,"Житомирська","загальнодержавне","Дідове озеро","заказник","гідрологічний",294,"Постанова РМ УРСР від 25.02.1980 р. № 132","ДП Словечанське ЛГ","Овруцький р-н, ДП Словечанське ЛГ, Кованське лісництво, кв. 11, 12, 13, 14"
